Cluster,Model Type,MAE,RMSE,MAPE,Cities
0,holt,586.0593821972112,672.4573427082136,28.2471442767259,266
1,holt,6230.697254294799,7028.38397370269,22.099340003532554,19
2,holt,19057.47767738628,20524.133402703406,24.455005099735846,3
