城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
南阳市,2.0,3.0,4.0,7.0,12.0,17.0,18.0,24.0,27.0,28.0,37.0,46.0,55.0,69.0,105.0,158,219,284,381,498,710,1279,1847,2686,3354,4280,5085,5890,6695,7500,8306
厦门市,108.0,135.0,170.0,213.0,260.0,316.0,410.0,494.0,590.0,711.0,896.0,1103.0,1323.0,1639.0,2222.0,3031,3844,4781,5835,7123,10951,16970,21657,25874,29702,33531,37387,41244,45100,48957,52813
双鸭山市,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4,6,7,10,12,19,29,52,95,120,181,224,267,310,353,396
台州市,14.0,18.0,22.0,25.0,32.0,35.0,42.0,47.0,51.0,54.0,71.0,86.0,98.0,123.0,164.0,201,257,322,438,578,1283,1947,2472,3095,3562,4364,4986,5609,6231,6853,7476
合肥市,41.0,54.0,70.0,92.0,122.0,162.0,201.0,251.0,304.0,386.0,472.0,595.0,727.0,918.0,1298.0,1695,2291,3107,4190,5808,8461,14657,20324,26012,29922,37617,43417,49217,55017,60817,66616
吉安市,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,12.0,15.0,25.0,31.0,40.0,56.0,78,109,144,185,264,605,963,1289,1650,1908,2337,2682,3028,3373,3719,4065
吉林市,7.0,9.0,11.0,12.0,16.0,19.0,25.0,29.0,31.0,37.0,49.0,56.0,69.0,87.0,103.0,125,174,221,278,329,397,619,822,1066,1284,1537,1776,2015,2254,2493,2732
吕梁市,,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,6.0,9.0,12.0,16.0,18.0,29.0,42,52,78,98,119,166,349,510,653,805,924,1065,1207,1348,1489,1630
吴忠市,,,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,7.0,7.0,10.0,11.0,16.0,26,34,49,60,75,107,169,248,299,354,401,452,503,554,605,656
周口市,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,9.0,10.0,12.0,21.0,42.0,64,101,122,177,234,370,769,1122,1662,2122,2650,3155,3660,4165,4670,5175
呼伦贝尔市,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,10.0,15.0,15.0,16.0,22.0,36,46,60,80,101,128,212,323,427,498,635,739,843,947,1051,1155
呼和浩特市,11.0,15.0,20.0,25.0,35.0,43.0,54.0,63.0,75.0,91.0,100.0,118.0,147.0,181.0,281.0,382,501,656,801,984,1251,1965,2892,3929,4901,6001,7037,8074,9110,10146,11183
咸宁市,1.0,1.0,2.0,2.0,3.0,5.0,5.0,8.0,9.0,12.0,15.0,23.0,28.0,30.0,48.0,64,87,114,152,191,247,505,754,1074,1477,1695,2008,2321,2634,2947,3260
咸阳市,6.0,7.0,8.0,10.0,13.0,13.0,16.0,18.0,24.0,29.0,39.0,46.0,52.0,62.0,93.0,122,164,233,312,419,664,1033,1803,4524,5389,9921,12625,15328,18032,20735,23439
哈尔滨市,40.0,46.0,55.0,66.0,79.0,91.0,99.0,122.0,142.0,167.0,204.0,239.0,276.0,331.0,433.0,550,697,891,1140,1541,2336,3512,4903,6398,7705,9254,10698,12142,13586,15030,16473
唐山市,8.0,12.0,15.0,22.0,28.0,32.0,36.0,45.0,55.0,69.0,80.0,92.0,108.0,123.0,164.0,211,267,329,422,562,701,876,1213,1855,2600,3102,3729,4355,4982,5609,6236
商丘市,,,1.0,1.0,1.0,1.0,2.0,3.0,4.0,8.0,11.0,12.0,18.0,21.0,30.0,39,55,72,112,157,247,568,844,1246,1618,1981,2357,2734,3110,3486,3863
商洛市,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,13,19,29,36,48,91,146,201,275,335,378,434,491,547,603,660
嘉兴市,26.0,31.0,39.0,46.0,50.0,58.0,73.0,86.0,98.0,120.0,142.0,178.0,205.0,253.0,327.0,422,549,751,955,1264,2341,3369,4253,5134,5897,7068,8035,9002,9969,10936,11903
嘉峪关市,,,,,,,,,,1.0,2.0,6.0,8.0,10.0,15.0,21,31,48,56,70,88,127,167,219,240,321,373,424,475,527,578
四平市,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,7.0,12.0,17.0,22,32,37,50,63,88,140,209,261,306,365,417,469,521,573,625
固原市,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,7.0,8.0,10.0,12.0,18.0,29,43,55,66,86,113,167,227,279,323,383,435,487,539,591,643
大同市,4.0,5.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,10.0,15.0,17.0,21.0,25.0,35.0,42,52,72,98,146,208,379,557,714,897,1028,1185,1342,1499,1656,1813
大庆市,6.0,8.0,9.0,11.0,13.0,15.0,18.0,24.0,28.0,35.0,42.0,49.0,54.0,61.0,77.0,98,126,161,204,266,324,454,676,946,1166,1485,1755,2025,2295,2565,2834
大连市,26.0,33.0,45.0,63.0,83.0,105.0,124.0,154.0,196.0,239.0,294.0,350.0,414.0,491.0,617.0,778,981,1214,1526,1938,3012,4733,6434,8033,8859,11283,12907,14531,16155,17779,19403
天水市,2.0,2.0,2.0,4.0,5.0,9.0,9.0,9.0,11.0,15.0,18.0,21.0,30.0,37.0,46.0,60,78,95,117,140,176,271,387,502,601,732,847,962,1077,1192,1307
天津市,101.0,136.0,173.0,215.0,268.0,315.0,387.0,459.0,540.0,654.0,765.0,929.0,1095.0,1343.0,1779.0,2365,3085,4045,5243,6838,12162,16934,21438,26876,31053,37738,43170,48602,54033,59465,64897
太原市,41.0,46.0,57.0,77.0,91.0,115.0,133.0,162.0,192.0,221.0,268.0,316.0,392.0,468.0,589.0,757,963,1220,1533,2124,2999,5411,7746,10171,12329,15019,17443,19867,22291,24715,27139
威海市,7.0,9.0,10.0,14.0,19.0,19.0,23.0,30.0,33.0,43.0,53.0,64.0,84.0,105.0,149.0,194,264,344,450,597,917,1600,2112,2680,3007,3726,4262,4799,5335,5871,6407
娄底市,1.0,1.0,3.0,6.0,7.0,10.0,12.0,14.0,16.0,18.0,24.0,29.0,31.0,38.0,46.0,52,69,98,131,165,212,288,520,751,1069,1213,1444,1675,1906,2137,2368
孝感市,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,11.0,15.0,21.0,26.0,34.0,44.0,54.0,64,89,118,156,205,250,453,635,876,1152,1332,1564,1796,2028,2260,2492
宁德市,6.0,7.0,8.0,8.0,10.0,12.0,15.0,16.0,19.0,25.0,37.0,59.0,86.0,115.0,154.0,206,265,327,525,742,1041,1365,1718,2205,2656,2937,3302,3668,4034,4400,4765
宁波市,47.0,67.0,86.0,106.0,129.0,152.0,191.0,224.0,261.0,306.0,373.0,461.0,556.0,659.0,856.0,1077,1388,1801,2405,3167,6036,8614,10942,13109,14755,18245,20718,23192,25665,28139,30612
安庆市,4.0,5.0,7.0,9.0,11.0,12.0,15.0,18.0,20.0,26.0,29.0,37.0,42.0,52.0,73.0,81,100,141,204,303,431,731,1097,1549,2016,2435,2881,3326,3772,4217,4663
安康市,3.0,3.0,4.0,6.0,7.0,8.0,11.0,12.0,13.0,13.0,16.0,20.0,24.0,29.0,46.0,64,96,116,141,175,256,416,535,697,849,945,1077,1210,1342,1474,1607
安阳市,4.0,4.0,7.0,7.0,10.0,9.0,9.0,10.0,12.0,15.0,20.0,25.0,32.0,39.0,55.0,81,108,139,189,233,341,742,1126,1588,2199,2492,2947,3402,3858,4313,4768
安顺市,,,,,,,,,,,1.0,1.0,1.0,5.0,14.0,24,36,50,69,86,107,210,392,551,747,869,1028,1187,1346,1505,1664
定西市,1.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,9.0,16.0,22.0,29,42,56,73,97,118,204,302,431,556,689,818,947,1076,1205,1334
宜宾市,4.0,5.0,6.0,8.0,10.0,12.0,15.0,18.0,19.0,26.0,29.0,32.0,38.0,51.0,64.0,85,110,144,217,310,468,717,983,1340,1731,2054,2411,2768,3125,3482,3839
宜昌市,4.0,5.0,9.0,15.0,21.0,26.0,35.0,43.0,57.0,74.0,90.0,102.0,119.0,139.0,185.0,223,292,384,493,609,753,1192,1683,2632,3904,4488,5420,6351,7283,8214,9146
宜春市,2.0,5.0,5.0,8.0,12.0,13.0,16.0,17.0,22.0,26.0,29.0,33.0,43.0,51.0,79.0,110,150,189,250,349,746,1242,1807,2245,2535,3219,3704,4190,4675,5160,5646
宝鸡市,7.0,7.0,9.0,12.0,12.0,17.0,21.0,27.0,31.0,37.0,47.0,58.0,68.0,83.0,114.0,161,229,315,407,570,762,1023,2196,3238,3511,5410,6497,7583,8669,9755,10841
宣城市,1.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,12.0,12.0,13.0,15.0,19.0,31.0,36,47,65,89,125,174,340,480,694,895,1079,1276,1474,1672,1869,2067
宿州市,,1.0,2.0,5.0,6.0,6.0,6.0,6.0,11.0,12.0,17.0,19.0,25.0,28.0,35.0,48,60,94,144,220,301,672,1047,1584,1858,2626,3151,3676,4201,4725,5250
宿迁市,2.0,4.0,5.0,5.0,7.0,7.0,10.0,12.0,17.0,28.0,37.0,50.0,60.0,82.0,130.0,173,220,286,357,478,1044,1697,2097,2741,3384,3843,4401,4959,5517,6075,6632
岳阳市,7.0,7.0,9.0,11.0,12.0,13.0,15.0,18.0,20.0,23.0,25.0,29.0,34.0,41.0,56.0,70,89,110,141,201,284,464,773,1111,1412,1788,2128,2468,2808,3148,3488
崇左市,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,11.0,13,20,32,46,62,113,151,225,271,334,376,429,482,535,588,641
巴中市,,,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,7.0,8.0,13.0,22.0,26,37,50,75,94,131,210,303,389,536,561,647,733,819,905,991
巴彦淖尔市,,,,,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,9.0,11.0,19.0,29,41,47,60,77,97,158,234,319,391,489,574,659,744,829,914
常州市,25.0,33.0,38.0,47.0,55.0,65.0,83.0,95.0,108.0,127.0,154.0,194.0,232.0,292.0,379.0,467,610,779,997,1222,2298,3453,4457,5709,6837,7881,8994,10108,11221,12334,13448
常德市,3.0,3.0,4.0,5.0,5.0,6.0,7.0,10.0,11.0,12.0,15.0,19.0,23.0,25.0,44.0,52,64,84,102,136,183,258,408,597,820,975,1164,1353,1542,1731,1920
平凉市,,,,1.0,2.0,2.0,2.0,5.0,6.0,7.0,7.0,10.0,13.0,17.0,31.0,50,65,76,115,143,174,269,346,467,528,678,788,897,1007,1116,1225
平顶山市,4.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,9.0,14.0,19.0,24.0,31.0,33.0,45.0,74,96,125,158,210,290,523,756,1093,1351,1743,2071,2399,2727,3055,3383
广元市,1.0,1.0,1.0,2.0,4.0,4.0,6.0,8.0,10.0,11.0,13.0,17.0,21.0,24.0,32.0,48,62,82,117,146,197,296,395,494,635,692,791,890,989,1088,1187
广安市,1.0,1.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,6.0,9.0,11.0,12.0,14.0,20.0,27,38,56,79,119,189,293,380,475,618,652,743,833,923,1014,1104
广州市,368.0,452.0,564.0,732.0,900.0,1060.0,1263.0,1525.0,1810.0,2171.0,2594.0,3130.0,3698.0,4406.0,5739.0,7434,9544,12584,17476,22943,32338,55438,68429,85202,98792,103958,113355,122751,132148,141544,150941
庆阳市,1.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,11.0,12.0,13.0,14.0,18.0,27.0,49.0,80,109,135,184,208,253,375,530,755,1100,1205,1430,1655,1880,2105,2330
廊坊市,6.0,6.0,6.0,13.0,15.0,19.0,24.0,26.0,29.0,37.0,43.0,47.0,59.0,68.0,91.0,123,165,210,273,360,492,667,1014,1853,2929,3522,4358,5194,6030,6865,7701
延安市,2.0,3.0,4.0,4.0,5.0,8.0,10.0,12.0,13.0,15.0,20.0,24.0,31.0,33.0,52.0,70,97,121,168,217,318,492,633,841,1042,1125,1282,1438,1594,1751,1907
开封市,1.0,2.0,3.0,4.0,4.0,4.0,5.0,8.0,11.0,13.0,14.0,14.0,16.0,20.0,35.0,56,87,126,174,246,373,673,981,1362,1665,2115,2493,2871,3248,3626,4004
张家口市,2.0,2.0,3.0,3.0,3.0,7.0,9.0,11.0,11.0,13.0,14.0,17.0,20.0,24.0,36.0,53,73,112,165,219,285,400,614,1113,1716,2105,2601,3098,3595,4091,4588
张家界市,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,14.0,17.0,22.0,25,27,35,46,61,92,128,200,296,441,488,584,680,776,872,968
张掖市,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,8.0,9.0,10.0,13.0,16.0,18.0,39.0,61,81,113,144,169,192,285,397,547,665,847,997,1147,1297,1447,1597
徐州市,21.0,25.0,28.0,30.0,38.0,49.0,66.0,77.0,97.0,119.0,139.0,173.0,204.0,253.0,337.0,433,573,754,971,1273,2964,4739,5982,7586,8754,10766,12331,13895,15460,17024,18588
德州市,8.0,9.0,10.0,11.0,12.0,15.0,19.0,20.0,22.0,29.0,37.0,54.0,59.0,72.0,100.0,146,207,294,399,564,916,1582,2218,2878,3304,4189,4846,5503,6160,6817,7474
德阳市,9.0,13.0,14.0,14.0,16.0,17.0,20.0,22.0,25.0,29.0,33.0,34.0,44.0,56.0,79.0,99,115,145,185,254,361,545,746,956,1196,1376,1586,1796,2006,2216,2426
忻州市,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,19.0,27,41,52,65,94,129,232,356,476,547,716,836,956,1076,1196,1316
怀化市,1.0,1.0,1.0,3.0,3.0,5.0,6.0,6.0,7.0,10.0,11.0,14.0,18.0,20.0,26.0,39,55,67,90,131,178,276,411,630,892,1067,1286,1505,1723,1942,2161
惠州市,9.0,14.0,20.0,26.0,34.0,38.0,56.0,68.0,78.0,101.0,120.0,140.0,163.0,202.0,271.0,341,454,618,815,1125,1815,3404,4859,6258,7432,9163,10611,12060,13509,14957,16406
成都市,130.0,174.0,233.0,307.0,374.0,453.0,571.0,668.0,790.0,937.0,1173.0,1427.0,1721.0,2116.0,2767.0,3559,4620,5941,7638,9712,13190,22205,32495,46282,58480,73782,87541,101300,115059,128818,142577
扬州市,9.0,22.0,29.0,34.0,44.0,54.0,65.0,76.0,86.0,102.0,118.0,146.0,170.0,199.0,238.0,304,378,492,638,820,1601,2331,2997,3677,4289,5106,5820,6534,7248,7963,8677
承德市,2.0,3.0,5.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,14.0,15.0,16.0,20.0,27.0,35,56,78,97,120,158,195,293,524,874,986,1217,1448,1679,1910,2141
抚州市,,1.0,1.0,1.0,1.0,1.0,3.0,6.0,7.0,10.0,12.0,19.0,24.0,29.0,39.0,55,74,106,153,205,448,713,984,1280,1428,1872,2168,2464,2760,3056,3352
抚顺市,,,,1.0,1.0,1.0,1.0,2.0,2.0,3.0,6.0,9.0,10.0,12.0,16.0,27,37,48,77,124,261,466,596,704,710,1028,1178,1327,1477,1626,1776
揭阳市,4.0,6.0,7.0,7.0,8.0,8.0,9.0,12.0,14.0,19.0,20.0,22.0,25.0,31.0,35.0,41,51,66,87,118,156,286,384,548,656,815,957,1098,1239,1381,1522
攀枝花市,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,8.0,10.0,11.0,15.0,23.0,31,44,64,79,108,145,229,283,348,409,470,532,593,655,717,779
新乡市,4.0,7.0,8.0,12.0,14.0,21.0,23.0,27.0,30.0,35.0,40.0,46.0,58.0,64.0,80.0,104,139,185,258,339,492,969,1372,1806,2169,2521,2903,3284,3666,4047,4428
新余市,,,1.0,2.0,2.0,3.0,3.0,5.0,5.0,6.0,10.0,12.0,19.0,25.0,32.0,38,51,67,91,127,250,399,541,710,778,988,1134,1280,1425,1571,1717
无锡市,42.0,61.0,80.0,108.0,134.0,156.0,190.0,219.0,255.0,316.0,363.0,429.0,506.0,584.0,725.0,921,1150,1449,1790,2243,3744,5749,7504,9513,11437,13034,14852,16670,18488,20306,22124
日照市,2.0,3.0,3.0,7.0,13.0,16.0,23.0,26.0,29.0,37.0,46.0,67.0,77.0,101.0,133.0,169,238,302,407,574,884,1409,1959,2521,2807,3645,4207,4769,5331,5893,6455
昆明市,45.0,53.0,67.0,88.0,109.0,137.0,178.0,205.0,246.0,310.0,374.0,452.0,535.0,671.0,866.0,1123,1379,1693,2065,2523,3235,4725,7380,14371,18588,28256,35210,42163,49117,56070,63024
昭通市,,,,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,10.0,12.0,12.0,16.0,24,32,51,68,90,119,211,329,473,667,761,905,1049,1193,1337,1481
晋中市,2.0,4.0,5.0,5.0,9.0,11.0,14.0,17.0,19.0,24.0,28.0,32.0,35.0,47.0,63.0,82,108,129,174,222,291,552,798,1035,1264,1433,1646,1859,2073,2286,2499
晋城市,,2.0,2.0,2.0,4.0,7.0,10.0,13.0,16.0,18.0,22.0,29.0,39.0,47.0,65.0,82,106,129,175,234,291,457,682,928,1080,1420,1666,1912,2158,2404,2650
普洱市,,,1.0,2.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,12.0,14.0,15.0,17,22,27,38,53,69,107,179,286,409,500,607,714,821,928,1035
景德镇市,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,8.0,11.0,17.0,21,30,49,68,96,174,274,375,496,589,683,784,884,984,1084,1184
曲靖市,3.0,4.0,4.0,5.0,7.0,8.0,8.0,10.0,11.0,12.0,16.0,21.0,28.0,34.0,50.0,65,77,94,126,169,210,333,574,882,1255,1497,1805,2113,2421,2729,3037
朔州市,3.0,4.0,4.0,4.0,5.0,7.0,8.0,11.0,11.0,11.0,12.0,13.0,15.0,20.0,28.0,37,51,59,75,95,133,186,265,385,464,625,745,865,985,1105,1225
