城市,聚类,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
定西市,0,97,118,204,302,431,560,689,818,947,1076,1205,1334
宜宾市,0,310,468,717,983,1340,1697,2054,2411,2768,3125,3482,3839
宜昌市,0,609,753,1192,1683,2632,3557,4488,5420,6351,7283,8214,9146
宜春市,0,349,746,1242,1807,2245,2734,3219,3704,4190,4675,5160,5646
宝鸡市,0,570,762,1023,2196,3238,4324,5410,6497,7583,8669,9755,10841
宣城市,0,125,174,340,480,694,881,1079,1276,1474,1672,1869,2067
宿州市,0,220,301,672,1047,1584,2101,2626,3151,3676,4201,4725,5250
宿迁市,0,478,1044,1697,2097,2741,3285,3843,4401,4959,5517,6075,6632
岳阳市,0,201,284,464,773,1111,1448,1788,2128,2468,2808,3148,3488
崇左市,0,62,113,151,225,271,323,376,429,482,535,588,641
巴中市,0,94,131,210,303,389,475,561,647,733,819,905,991
巴彦淖尔市,0,77,97,158,234,319,404,489,574,659,744,829,914
常州市,0,1222,2298,3453,4457,5709,6768,7881,8994,10108,11221,12334,13448
常德市,0,136,183,258,408,597,786,975,1164,1353,1542,1731,1920
平凉市,0,143,174,269,346,467,569,678,788,897,1007,1116,1225
平顶山市,0,210,290,523,756,1093,1416,1743,2071,2399,2727,3055,3383
广元市,0,146,197,296,395,494,593,692,791,890,989,1088,1187
广安市,0,119,189,293,380,475,562,652,743,833,923,1014,1104
广州市,1,22943,32338,55438,68429,85202,94562,103958,113355,122751,132148,141544,150941
庆阳市,0,208,253,375,530,755,980,1205,1430,1655,1880,2105,2330
廊坊市,0,360,492,667,1014,1853,2687,3522,4358,5194,6030,6865,7701
延安市,0,217,318,492,633,841,969,1125,1282,1438,1594,1751,1907
开封市,0,246,373,673,981,1362,1738,2115,2493,2871,3248,3626,4004
张家口市,0,219,285,400,614,1113,1608,2105,2601,3098,3595,4091,4588
张家界市,0,61,92,128,200,296,392,488,584,680,776,872,968
张掖市,0,169,192,285,397,547,697,847,997,1147,1297,1447,1597
徐州市,0,1273,2964,4739,5982,7586,9202,10766,12331,13895,15460,17024,18588
德州市,0,564,916,1582,2218,2878,3532,4189,4846,5503,6160,6817,7474
德阳市,0,254,361,545,746,956,1166,1376,1586,1796,2006,2216,2426
忻州市,0,94,129,232,356,476,596,716,836,956,1076,1196,1316
怀化市,0,131,178,276,411,630,849,1067,1286,1505,1723,1942,2161
惠州市,0,1125,1815,3404,4859,6258,7714,9163,10611,12060,13509,14957,16406
成都市,1,9712,13190,22205,32495,46282,60023,73782,87541,101300,115059,128818,142577
扬州市,0,820,1601,2331,2997,3677,4391,5106,5820,6534,7248,7963,8677
承德市,0,120,158,195,293,524,755,986,1217,1448,1679,1910,2141
抚州市,0,205,448,713,984,1280,1576,1872,2168,2464,2760,3056,3352
抚顺市,0,124,261,466,596,704,879,1028,1178,1327,1477,1626,1776
揭阳市,0,118,156,286,384,548,674,815,957,1098,1239,1381,1522
攀枝花市,0,108,145,229,283,348,408,470,532,593,655,717,779
新乡市,0,339,492,969,1372,1806,2140,2521,2903,3284,3666,4047,4428
新余市,0,127,250,399,541,710,843,988,1134,1280,1425,1571,1717
无锡市,0,2243,3744,5749,7504,9513,11216,13034,14852,16670,18488,20306,22124
日照市,0,574,884,1409,1959,2521,3083,3645,4207,4769,5331,5893,6455
昆明市,0,2523,3235,4725,7380,14371,21303,28256,35210,42163,49117,56070,63024
昭通市,0,90,119,211,329,473,617,761,905,1049,1193,1337,1481
晋中市,0,222,291,552,798,1035,1220,1433,1646,1859,2073,2286,2499
晋城市,0,234,291,457,682,928,1174,1420,1666,1912,2158,2404,2650
普洱市,0,53,69,107,179,286,393,500,607,714,821,928,1035
景德镇市,0,96,174,274,375,496,583,683,784,884,984,1084,1184
曲靖市,0,169,210,333,574,882,1190,1497,1805,2113,2421,2729,3037
朔州市,0,95,133,186,265,385,505,625,745,865,985,1105,1225
朝阳市,0,134,244,385,534,647,784,915,1047,1178,1310,1442,1573
本溪市,0,70,98,149,185,220,260,299,338,377,415,454,493
来宾市,0,70,110,168,238,299,356,414,471,528,585,643,700
杭州市,1,11618,19739,28786,37565,47332,55587,64499,73411,82323,91235,100147,109059
松原市,0,105,145,230,309,393,458,532,606,680,754,828,902
枣庄市,0,478,937,1581,2156,2780,3333,3916,4498,5080,5663,6245,6827
柳州市,0,603,952,1453,1919,2265,2726,3155,3584,4013,4442,4871,5300
株洲市,0,387,498,716,1056,1569,2078,2589,3100,3611,4121,4632,5143
桂林市,0,460,710,1150,1496,1821,2180,2531,2881,3232,3583,3934,4285
梅州市,0,224,318,506,707,936,1165,1394,1623,1852,2081,2310,2539
梧州市,0,105,185,346,479,548,687,805,923,1041,1159,1277,1395
榆林市,0,566,840,1287,1691,2286,2815,3368,3921,4474,5027,5580,6133
武威市,0,129,152,214,275,368,456,545,635,725,814,904,994
武汉市,1,7804,9864,16332,23098,33155,43174,53206,63238,73270,83302,93334,103366
毕节市,0,112,167,273,484,793,1102,1411,1720,2029,2338,2647,2956
永州市,0,145,183,264,456,681,906,1131,1356,1582,1807,2032,2257
汉中市,0,190,304,500,716,937,1158,1379,1600,1821,2042,2263,2484
汕头市,0,407,533,813,1069,1377,1667,1967,2266,2565,2864,3164,3463
汕尾市,0,81,129,249,389,518,647,776,905,1034,1163,1292,1421
江门市,0,372,483,844,1163,1571,1947,2339,2731,3122,3514,3906,4298
池州市,0,78,114,219,315,418,493,581,669,757,845,934,1022
沈阳市,0,2989,4858,7416,9716,12471,14622,16992,19362,21732,24101,26471,28841
沧州市,0,213,272,330,468,792,1116,1440,1764,2088,2412,2736,3060
河池市,0,86,146,241,311,388,465,542,619,696,773,850,926
河源市,0,243,363,595,805,967,1162,1351,1540,1729,1918,2107,2296
泉州市,0,1924,2883,4264,5683,7603,9315,11070,12824,14579,16333,18088,19842
泰安市,0,731,1138,2021,2848,3814,4749,5695,6640,7586,8532,9477,10423
泰州市,0,482,972,1506,1905,2442,2917,3403,3888,4373,4858,5344,5829
泸州市,0,247,386,572,852,1076,1283,1491,1698,1905,2112,2320,2527
洛阳市,0,760,1084,1951,2728,3631,4240,4977,5715,6452,7190,7927,8665
济南市,1,6626,10365,17010,22422,28254,33441,38935,44430,49924,55419,60913,66408
济宁市,0,1105,1761,3024,4101,5219,6223,7259,8295,9330,10366,11402,12438
海东市,0,47,75,139,185,209,261,305,348,391,435,478,522
海口市,0,2924,6911,14719,21983,31365,39813,48505,57196,65888,74580,83271,91963
淄博市,0,930,1440,2410,3230,4089,4852,5663,6474,7285,8095,8906,9717
淮北市,0,127,178,357,540,734,928,1122,1316,1510,1704,1898,2092
淮南市,0,162,225,393,568,847,1117,1390,1663,1936,2209,2482,2755
淮安市,0,433,912,1451,1987,2665,3317,3978,4639,5300,5961,6622,7282
深圳市,2,22125,28399,43678,60964,81820,102633,123464,144295,165127,185958,206789,227620
清远市,0,117,182,299,427,596,765,934,1103,1272,1441,1610,1779
温州市,0,1912,3662,5162,6612,8403,9930,11523,13116,14709,16303,17896,19489
渭南市,0,210,354,562,1357,1581,1875,2168,2461,2754,3048,3341,3634
湖州市,0,635,1256,1975,2684,3242,3951,4615,5279,5944,6608,7272,7936
湘潭市,0,170,229,326,489,687,885,1083,1281,1479,1677,1875,2073
湛江市,0,385,533,825,1187,1555,1923,2291,2660,3028,3396,3764,4133
滁州市,0,246,347,618,982,1367,1752,2138,2524,2910,3296,3682,4068
滨州市,0,573,907,1558,2353,3155,3958,4769,5580,6391,7201,8012,8823
漯河市,0,142,190,361,471,681,777,913,1049,1184,1320,1456,1592
漳州市,0,1018,1447,2051,2705,3441,4044,4647,5251,5854,6457,7060,7663
潍坊市,0,1311,2193,3954,5608,7258,8933,10608,12284,13959,15634,17310,18985
潮州市,0,88,148,302,414,550,657,776,895,1014,1133,1252,1371
濮阳市,0,134,202,430,622,939,1212,1502,1792,2082,2372,2662,2952
烟台市,0,1487,2431,3916,5311,6990,8151,9529,10906,12284,13662,15039,16417
焦作市,0,158,242,461,647,875,1028,1212,1396,1580,1764,1948,2132
牡丹江市,0,110,159,231,316,438,560,682,804,926,1048,1170,1292
玉林市,0,218,399,637,871,1102,1317,1541,1765,1989,2213,2437,2661
玉溪市,0,64,77,135,221,354,487,620,753,886,1019,1152,1285
珠海市,0,3055,3924,5424,6650,8139,9307,10596,11885,13175,14464,15754,17043
白城市,0,43,57,89,161,215,258,301,344,387,430,473,516
白山市,0,66,78,111,154,196,238,280,322,364,406,448,490
白银市,0,97,121,224,267,368,422,491,559,628,697,766,835
百色市,0,107,195,327,435,511,629,734,839,944,1049,1153,1258
益阳市,0,153,191,271,423,586,749,912,1075,1238,1401,1564,1727
盐城市,0,628,1302,2011,2600,3347,3998,4672,5346,6019,6693,7366,8040
盘锦市,0,124,205,306,393,481,572,663,753,843,933,1023,1114
眉山市,0,152,217,383,530,695,815,955,1095,1235,1375,1515,1655
石嘴山市,0,62,90,142,170,197,237,272,307,342,377,412,447
石家庄市,0,1274,1550,1927,2613,4276,5928,7585,9241,10898,12554,14210,15867
福州市,1,7355,10482,14595,18297,22646,25647,28794,31941,35089,38236,41383,44531
秦皇岛市,0,164,195,242,375,639,903,1167,1431,1695,1959,2223,2487
绍兴市,0,740,1477,2288,2911,3532,4295,4997,5699,6400,7102,7804,8506
绥化市,0,60,85,146,219,331,443,555,667,779,891,1003,1115
绵阳市,0,939,1231,1753,2315,3084,3826,4577,5328,6078,6829,7579,8330
聊城市,0,605,975,1727,2353,2852,3464,4051,4638,5225,5813,6400,6987
肇庆市,0,253,334,532,751,1073,1395,1717,2039,2361,2683,3005,3327
自贡市,0,181,249,363,461,596,712,836,959,1082,1206,1329,1453
舟山市,0,179,359,533,711,854,1038,1208,1378,1548,1719,1889,2059
芜湖市,0,459,895,1719,3654,4853,6056,7268,8481,9694,10906,12119,13332
苏州市,1,6078,12094,18914,24634,30593,35685,40887,46088,51290,56491,61693,66895
茂名市,0,235,342,578,832,1114,1396,1678,1960,2242,2524,2806,3088
荆州市,0,216,305,537,786,1185,1577,1971,2366,2760,3154,3549,3943
荆门市,0,143,193,364,525,754,968,1188,1408,1628,1848,2068,2288
莆田市,0,600,996,1574,2068,2894,3332,3901,4469,5038,5607,6176,6745
菏泽市,0,487,832,1878,2706,3656,4412,5250,6088,6925,7763,8601,9438
萍乡市,0,176,526,1048,1320,1237,1738,2030,2322,2614,2906,3198,3490
营口市,0,149,288,489,608,671,850,987,1123,1259,1396,1532,1669
葫芦岛市,0,91,169,269,343,387,461,535,609,683,757,831,905
蚌埠市,0,234,329,600,904,1311,1718,2125,2532,2939,3346,3753,4160
衡水市,0,169,215,275,419,714,1009,1304,1599,1894,2189,2484,2779
衡阳市,0,226,321,545,880,1670,2455,3242,4029,4815,5602,6389,7176
衢州市,0,252,484,751,983,1226,1473,1718,1963,2207,2452,2697,2941
襄阳市,0,480,663,1150,1722,2701,3655,4616,5577,6537,7498,8459,9420
西宁市,0,756,1003,1720,2246,2740,3256,3777,4298,4820,5341,5862,6383
西安市,1,11503,19343,28723,42586,54358,62179,70019,77859,85700,93540,101380,109221
许昌市,0,223,343,690,958,1295,1530,1805,2081,2357,2633,2909,3185
贵港市,0,166,278,389,529,627,750,867,984,1102,1219,1336,1454
贵阳市,0,2568,3672,5671,7973,10852,13522,16267,19012,21758,24503,27248,29993
贺州市,0,72,153,232,333,406,494,578,663,748,833,918,1002
资阳市,0,73,96,172,242,320,373,437,501,565,629,693,757
赣州市,0,699,1412,2248,3132,4060,4843,5687,6531,7375,8220,9064,9908
赤峰市,0,197,241,414,619,869,1119,1369,1619,1869,2119,2369,2619
辽源市,0,35,39,66,87,110,127,147,166,186,206,226,246
辽阳市,0,71,138,199,228,260,320,366,413,460,507,554,600
达州市,0,145,214,328,456,610,764,918,1072,1226,1380,1534,1688
运城市,0,244,374,666,1707,2386,3068,3749,4431,5113,5794,6476,7157
连云港市,0,366,865,1416,1752,2256,2731,3198,3664,4131,4598,5065,5531
通化市,0,77,98,154,199,252,291,336,381,427,472,517,562
通辽市,0,146,188,295,471,574,676,790,904,1018,1132,1246,1360
遂宁市,0,141,183,263,362,473,584,695,806,917,1028,1139,1250
遵义市,0,277,381,606,1098,1703,2308,2913,3518,4123,4728,5334,5939
邢台市,0,140,214,282,424,868,1312,1756,2200,2644,3088,3532,3976
邯郸市,0,273,367,483,742,1481,2213,2948,3683,4418,5153,5888,6623
邵阳市,0,165,214,306,494,794,1090,1388,1686,1984,2282,2580,2878
郑州市,1,5667,7947,13242,18117,23857,29478,35131,40784,46437,52090,57743,63396
郴州市,0,194,263,387,689,1027,1365,1703,2042,2380,2718,3057,3395
鄂尔多斯市,0,382,472,744,1134,1514,1895,2275,2656,3037,3418,3798,4179
鄂州市,0,95,127,227,315,436,546,661,776,890,1005,1120,1234
酒泉市,0,161,202,336,503,646,789,932,1075,1218,1361,1504,1647
重庆市,1,7478,13849,20647,27597,34713,41829,48944,56060,63176,70292,77408,84524
金华市,0,1314,2967,4508,5555,6741,8246,9586,10926,12267,13607,14947,16287
金昌市,0,66,76,105,144,177,210,243,276,309,342,375,408
钦州市,0,132,295,540,2077,2143,2738,3296,3853,4411,4968,5526,6084
铁岭市,0,55,118,177,223,274,329,384,438,493,548,603,657
铜仁市,0,116,162,248,436,618,800,982,1164,1346,1528,1710,1892
铜川市,0,75,126,192,244,313,368,428,487,546,606,665,725
铜陵市,0,90,135,221,314,502,686,871,1057,1242,1427,1613,1798
银川市,0,1135,1773,2774,3586,4362,5206,6033,6859,7686,8513,9340,10166
锦州市,0,132,200,336,441,564,666,777,887,998,1108,1219,1329
镇江市,0,496,1009,1546,1969,2440,2946,3431,3916,4401,4886,5370,5855
长春市,0,2232,2880,4711,6329,8273,9715,11216,12717,14218,15720,17221,18722
长沙市,1,5676,7542,10333,17047,25025,32966,40939,48913,56886,64859,72833,80806
长治市,0,264,367,638,934,1246,1558,1870,2182,2494,2806,3118,3430
阜新市,0,71,120,189,239,308,363,423,482,541,600,660,719
阜阳市,0,410,555,1087,1680,2489,3295,4102,4909,5717,6524,7331,8138
防城港市,0,55,114,189,258,341,406,478,549,621,693,764,836
阳江市,0,88,117,177,356,507,658,809,960,1111,1262,1413,1564
阳泉市,0,102,134,235,332,725,1062,1418,1774,2130,2486,2843,3199
陇南市,0,84,107,175,266,366,466,566,666,766,866,966,1066
随州市,0,121,169,283,378,489,572,666,761,855,950,1044,1139
雅安市,0,55,85,146,210,281,352,423,494,565,636,707,778
青岛市,1,5476,8949,13922,18298,21905,26470,30730,34990,39250,43510,47770,52030
鞍山市,0,226,357,555,677,761,932,1071,1210,1349,1488,1627,1766
韶关市,0,212,302,494,661,838,985,1146,1307,1468,1629,1790,1951
马鞍山市,0,232,406,598,807,971,1167,1354,1542,1730,1918,2106,2294
驻马店市,0,144,235,468,676,975,1246,1528,1809,2091,2373,2655,2937
鸡西市,0,36,48,78,125,160,195,230,265,300,335,370,405
鹤壁市,0,130,201,375,513,688,810,953,1095,1238,1381,1524,1667
鹤岗市,0,29,32,41,88,127,166,206,245,284,324,363,402
鹰潭市,0,83,173,265,368,502,636,770,904,1038,1172,1306,1440
黄冈市,0,285,362,631,932,1330,1728,2126,2524,2922,3320,3718,4116
黄山市,0,76,101,184,274,400,526,651,777,903,1029,1155,1281
黄石市,0,197,265,526,700,977,1132,1331,1531,1730,1930,2129,2329
黑河市,0,51,70,94,129,172,215,258,301,344,387,430,473
齐齐哈尔市,0,69,95,163,305,451,597,743,889,1035,1181,1327,1473
龙岩市,0,577,944,1404,1878,2372,2821,3270,3718,4167,4616,5065,5513
