城市,新增,注销,净增加
七台河市,11,10.0,1
万宁市,25,9.0,16
三亚市,565,230.0,335
三明市,155,44.0,111
三门峡市,65,29.0,36
上海市,8044,1723.0,6321
上饶市,236,58.0,178
东方市,28,3.0,25
东莞市,2145,552.0,1593
东营市,171,66.0,105
中卫市,33,6.0,27
中国（江苏）自由贸易试验区苏州片区,1,0.0,1
中山市,473,138.0,335
临夏回族自治州,26,4.0,22
临汾市,110,41.0,69
临沂市,720,257.0,463
临沧市,39,0.0,39
临高县,15,4.0,11
丹东市,44,17.0,27
丽水市,111,35.0,76
丽江市,43,0.0,43
乌兰察布市,55,7.0,48
乌海市,24,3.0,21
乌鲁木齐市,846,150.0,696
乐东黎族自治县,13,5.0,8
乐山市,71,0.0,71
九江市,286,81.0,205
云浮市,40,12.0,28
五家渠市,14,2.0,12
五指山市,11,3.0,8
亳州市,126,39.0,87
仙桃市,39,16.0,23
伊春市,7,4.0,3
伊犁哈萨克自治州,134,26.0,108
佛山市,1002,276.0,726
佳木斯市,51,21.0,30
保亭黎族苗族自治县,12,5.0,7
保定市,879,6.0,873
保山市,34,0.0,34
信阳市,180,44.0,136
儋州市,108,22.0,86
克孜勒苏柯尔克孜自治州,17,4.0,13
克拉玛依市,43,9.0,34
六安市,215,53.0,162
六盘水市,110,17.0,93
兰州市,657,124.0,533
兴安盟,48,6.0,42
内江市,89,1.0,88
凉山彝族自治州,76,0.0,76
包头市,175,36.0,139
北京市,12886,2316.0,10570
北屯市,2,3.0,-1
北海市,64,22.0,42
十堰市,224,38.0,186
南京市,3055,873.0,2182
南充市,155,0.0,155
南宁市,1195,252.0,943
南平市,112,42.0,70
南昌市,1139,272.0,867
南通市,550,154.0,396
南阳市,453,118.0,335
博尔塔拉蒙古自治州,29,4.0,25
厦门市,1935,604.0,1331
双河市,3,1.0,2
双鸭山市,16,7.0,9
可克达拉市,8,0.0,8
台州市,273,91.0,182
合肥市,2860,789.0,2071
吉安市,170,54.0,116
吉林市,94,42.0,52
吐鲁番市,15,4.0,11
吕梁市,74,27.0,47
吴忠市,45,7.0,38
周口市,326,94.0,232
呼伦贝尔市,48,14.0,34
呼和浩特市,507,95.0,412
和田地区,54,12.0,42
咸宁市,191,57.0,134
咸阳市,373,3.0,370
哈密市,29,10.0,19
哈尔滨市,646,241.0,405
唐山市,301,1.0,300
商丘市,186,57.0,129
商洛市,22,0.0,22
喀什地区,164,54.0,110
嘉兴市,411,133.0,278
嘉峪关市,34,6.0,28
四平市,32,7.0,25
固原市,20,3.0,17
图木舒克市,11,6.0,5
塔城地区,27,3.0,24
大兴安岭地区,2,5.0,-3
大同市,102,24.0,78
大庆市,84,32.0,52
大理白族自治州,63,0.0,63
大连市,535,239.0,296
天水市,43,18.0,25
天津市,2173,767.0,1406
天门市,27,6.0,21
太原市,976,336.0,640
威海市,267,91.0,176
娄底市,140,0.0,140
孝感市,231,38.0,193
宁德市,182,71.0,111
