城市,新增,注销,净增加
万宁市,1,0.0,1
三亚市,39,0.0,39
三明市,17,0.0,17
三门峡市,5,0.0,5
上海市,1021,0.0,1021
上饶市,34,0.0,34
东莞市,158,0.0,158
东营市,58,0.0,58
中卫市,3,0.0,3
中山市,63,0.0,63
临夏回族自治州,5,0.0,5
临汾市,11,0.0,11
临沂市,88,0.0,88
临沧市,9,0.0,9
丹东市,8,0.0,8
丽水市,12,0.0,12
丽江市,2,0.0,2
乌兰察布市,4,0.0,4
乌海市,4,0.0,4
乌鲁木齐市,119,0.0,119
乐山市,4,0.0,4
九江市,29,0.0,29
云浮市,3,0.0,3
五家渠市,1,0.0,1
亳州市,6,0.0,6
仙桃市,7,0.0,7
伊犁哈萨克自治州,6,0.0,6
佛山市,154,0.0,154
佳木斯市,1,0.0,1
保定市,31,0.0,31
保山市,2,0.0,2
信阳市,8,0.0,8
儋州市,5,0.0,5
克孜勒苏柯尔克孜自治州,3,0.0,3
克拉玛依市,9,0.0,9
六安市,12,0.0,12
六盘水市,6,0.0,6
兰州市,150,0.0,150
兴安盟,1,0.0,1
内江市,3,0.0,3
凉山彝族自治州,9,0.0,9
包头市,37,0.0,37
北京市,2000,0.0,2000
北屯市,1,0.0,1
北海市,8,0.0,8
十堰市,35,0.0,35
南京市,442,1.0,441
南充市,17,0.0,17
南宁市,288,0.0,288
南平市,16,0.0,16
南昌市,136,0.0,136
南通市,62,0.0,62
南阳市,36,0.0,36
博尔塔拉蒙古自治州,1,0.0,1
厦门市,583,0.0,583
台州市,41,0.0,41
合肥市,380,0.0,380
吉安市,16,0.0,16
吉林市,16,0.0,16
吐鲁番市,2,0.0,2
吕梁市,11,0.0,11
吴忠市,5,0.0,5
周口市,21,0.0,21
呼伦贝尔市,6,0.0,6
呼和浩特市,100,0.0,100
和田地区,4,0.0,4
咸宁市,18,0.0,18
咸阳市,31,0.0,31
哈密市,5,0.0,5
哈尔滨市,102,0.0,102
唐山市,41,0.0,41
商丘市,9,0.0,9
商洛市,3,0.0,3
喀什地区,11,0.0,11
嘉兴市,74,0.0,74
嘉峪关市,5,0.0,5
四平市,5,0.0,5
固原市,6,0.0,6
塔城地区,3,0.0,3
大兴安岭地区,1,0.0,1
大同市,10,0.0,10
大庆市,16,0.0,16
大理白族自治州,11,0.0,11
