城市,新增,注销,净增加
三门峡市,1,0.0,1
上海市,90,0.0,90
东莞市,8,0.0,8
东营市,6,0.0,6
中山市,3,0.0,3
临汾市,1,0.0,1
临沂市,5,0.0,5
乌鲁木齐市,10,1.0,9
乐山市,1,0.0,1
九江市,1,0.0,1
伊春市,1,0.0,1
伊犁哈萨克自治州,1,0.0,1
佛山市,6,0.0,6
保定市,2,0.0,2
保山市,1,0.0,1
克拉玛依市,3,0.0,3
六安市,1,0.0,1
兰州市,12,0.0,12
内江市,1,0.0,1
包头市,4,0.0,4
北京市,182,0.0,182
北海市,1,0.0,1
十堰市,3,0.0,3
南京市,40,0.0,40
南充市,4,0.0,4
南宁市,16,1.0,15
南昌市,2,0.0,2
南通市,2,0.0,2
南阳市,1,0.0,1
厦门市,27,0.0,27
台州市,4,0.0,4
合肥市,13,0.0,13
吉林市,2,0.0,2
吕梁市,1,0.0,1
周口市,1,0.0,1
呼和浩特市,4,0.0,4
咸阳市,1,0.0,1
哈尔滨市,6,0.0,6
唐山市,4,0.0,4
嘉兴市,5,0.0,5
大同市,1,0.0,1
大庆市,2,0.0,2
大连市,7,0.0,7
天津市,35,0.0,35
太原市,5,0.0,5
威海市,2,0.0,2
宁德市,1,0.0,1
宁波市,20,0.0,20
安庆市,1,0.0,1
定西市,1,0.0,1
宜宾市,1,0.0,1
宜昌市,1,0.0,1
宜春市,3,0.0,3
宿州市,1,0.0,1
宿迁市,2,0.0,2
常州市,8,0.0,8
平顶山市,1,0.0,1
广州市,84,0.0,84
庆阳市,1,0.0,1
延安市,1,0.0,1
延边朝鲜族自治州,1,0.0,1
开封市,1,0.0,1
张家界市,1,0.0,1
徐州市,4,0.0,4
德州市,1,0.0,1
德阳市,4,0.0,4
恩施土家族苗族自治州,1,0.0,1
惠州市,6,1.0,5
成都市,45,1.0,44
扬州市,13,0.0,13
承德市,1,0.0,1
抚州市,1,0.0,1
揭阳市,2,0.0,2
攀枝花市,1,0.0,1
文山壮族苗族自治州,1,0.0,1
新乡市,3,0.0,3
无锡市,19,0.0,19
日照市,1,0.0,1
昆明市,8,0.0,8
晋中市,2,0.0,2
晋城市,2,0.0,2
景德镇市,1,0.0,1
曲靖市,1,0.0,1
朔州市,1,0.0,1
来宾市,1,0.0,1
杭州市,47,0.0,47
枣庄市,1,0.0,1
柳州市,1,0.0,1
株洲市,1,0.0,1
桂林市,7,0.0,7
梅州市,1,0.0,1
楚雄彝族自治州,2,0.0,2
榆林市,1,0.0,1
武汉市,34,0.0,34
汉中市,1,0.0,1
汕头市,5,0.0,5
江门市,4,0.0,4
池州市,1,0.0,1
沈阳市,11,0.0,11
沧州市,2,0.0,2
泉州市,6,0.0,6
泰安市,4,0.0,4
泰州市,3,0.0,3
泸州市,1,0.0,1
洛阳市,2,0.0,2
济南市,18,0.0,18
济宁市,3,0.0,3
海东市,2,0.0,2
海口市,8,0.0,8
淄博市,6,0.0,6
淮南市,1,0.0,1
淮安市,3,0.0,3
深圳市,60,0.0,60
温州市,14,0.0,14
渭南市,1,0.0,1
湖州市,7,0.0,7
湘潭市,1,0.0,1
湛江市,2,0.0,2
滨州市,2,0.0,2
漳州市,2,0.0,2
潍坊市,5,0.0,5
濮阳市,1,0.0,1
烟台市,9,0.0,9
焦作市,3,0.0,3
牡丹江市,1,0.0,1
珠海市,17,0.0,17
盐城市,2,0.0,2
眉山市,1,0.0,1
石家庄市,8,0.0,8
福州市,25,0.0,25
秦皇岛市,4,0.0,4
红河哈尼族彝族自治州,1,0.0,1
绍兴市,4,0.0,4
绵阳市,3,0.0,3
聊城市,2,0.0,2
肇庆市,1,0.0,1
自贡市,2,0.0,2
苏州市,27,0.0,27
茂名市,4,0.0,4
荆州市,2,0.0,2
荆门市,1,0.0,1
莆田市,1,0.0,1
菏泽市,1,0.0,1
营口市,2,0.0,2
蚌埠市,1,0.0,1
衡水市,1,0.0,1
衢州市,3,0.0,3
襄阳市,1,0.0,1
西宁市,4,0.0,4
西安市,51,0.0,51
贵港市,2,0.0,2
贵阳市,6,0.0,6
赣州市,1,0.0,1
赤峰市,1,0.0,1
运城市,1,0.0,1
通化市,1,0.0,1
遵义市,1,0.0,1
邢台市,1,0.0,1
郑州市,17,0.0,17
重庆市,27,0.0,27
金华市,5,0.0,5
金昌市,1,0.0,1
银川市,6,0.0,6
镇江市,5,0.0,5
长春市,5,0.0,5
长沙市,23,0.0,23
阜阳市,2,0.0,2
阳泉市,2,0.0,2
青岛市,26,0.0,26
鞍山市,2,0.0,2
鹰潭市,1,0.0,1
黄山市,1,0.0,1
黔西南布依族苗族自治州,2,0.0,2
龙岩市,2,0.0,2
