城市,新增,注销,净增加
七台河市,6,0.0,6
万宁市,5,0.0,5
三亚市,156,0.0,156
三明市,127,18.0,109
三沙市,1,1.0,0
三门峡市,22,0.0,22
上海市,2250,14.0,2236
上饶市,63,1.0,62
东方市,4,0.0,4
东莞市,589,19.0,570
东营市,110,0.0,110
中卫市,7,0.0,7
中山市,197,3.0,194
临夏回族自治州,13,0.0,13
临汾市,39,1.0,38
临沂市,302,2.0,300
临沧市,11,0.0,11
丹东市,23,0.0,23
丽水市,59,0.0,59
丽江市,15,0.0,15
乌兰察布市,29,2.0,27
乌海市,13,1.0,12
乌鲁木齐市,217,0.0,217
乐东黎族自治县,13,0.0,13
乐山市,22,1.0,21
九江市,59,1.0,58
云浮市,12,0.0,12
五家渠市,3,0.0,3
五指山市,1,0.0,1
亳州市,31,0.0,31
仙桃市,6,0.0,6
伊春市,2,0.0,2
伊犁哈萨克自治州,26,3.0,23
佛山市,494,1.0,493
佳木斯市,7,0.0,7
保亭黎族苗族自治县,6,0.0,6
保定市,215,8.0,207
保山市,12,0.0,12
信阳市,55,0.0,55
儋州市,34,0.0,34
克孜勒苏柯尔克孜自治州,3,0.0,3
克拉玛依市,11,0.0,11
六安市,46,0.0,46
六盘水市,27,0.0,27
兰州市,302,1.0,301
兴安盟,8,0.0,8
内江市,26,3.0,23
凉山彝族自治州,39,6.0,33
包头市,76,2.0,74
北京市,3524,4.0,3520
北屯市,2,0.0,2
北海市,40,0.0,40
十堰市,64,3.0,61
南京市,1251,0.0,1251
南充市,57,3.0,54
南宁市,547,4.0,543
南平市,40,3.0,37
南昌市,313,3.0,310
南通市,171,1.0,170
南阳市,97,0.0,97
博尔塔拉蒙古自治州,3,0.0,3
厦门市,1054,0.0,1054
双河市,1,0.0,1
双鸭山市,3,0.0,3
可克达拉市,2,0.0,2
台州市,117,1.0,116
合肥市,1091,8.0,1083
吉安市,41,0.0,41
吉林市,57,0.0,57
吐鲁番市,3,0.0,3
吕梁市,20,0.0,20
吴忠市,11,0.0,11
周口市,55,0.0,55
呼伦贝尔市,20,0.0,20
呼和浩特市,146,1.0,145
和田地区,6,0.0,6
咸宁市,38,0.0,38
咸阳市,83,4.0,79
哈密市,10,1.0,9
哈尔滨市,253,4.0,249
唐山市,96,3.0,93
商丘市,40,0.0,40
商洛市,7,0.0,7
喀什地区,30,0.0,30
嘉兴市,206,2.0,204
嘉峪关市,8,0.0,8
四平市,13,0.0,13
固原市,11,0.0,11
塔城地区,5,0.0,5
