城市,新增,注销,净增加
七台河市,28.0,4.0,24
万宁市,69.0,13.0,56
三亚市,6484.0,336.0,6148
三明市,387.0,91.0,296
三沙市,1.0,0.0,1
三门峡市,159.0,27.0,132
上海市,15864.0,1545.0,14319
上饶市,549.0,122.0,427
东方市,400.0,39.0,361
东莞市,2966.0,466.0,2500
东营市,696.0,90.0,606
中卫市,53.0,19.0,34
中国（江苏）自由贸易试验区苏州片区,1.0,0.0,1
中山市,1288.0,192.0,1096
临夏回族自治州,37.0,3.0,34
临汾市,307.0,34.0,273
临沂市,2270.0,429.0,1841
临沧市,69.0,12.0,57
临高县,97.0,43.0,54
丹东市,76.0,21.0,55
丽水市,360.0,72.0,288
丽江市,87.0,23.0,64
乌兰察布市,82.0,11.0,71
乌海市,51.0,12.0,39
乌鲁木齐市,1223.0,125.0,1098
乐东黎族自治县,33.0,5.0,28
乐山市,134.0,38.0,96
九江市,1601.0,175.0,1426
云浮市,69.0,21.0,48
五家渠市,12.0,3.0,9
五指山市,34.0,7.0,27
亳州市,852.0,420.0,432
仙桃市,79.0,11.0,68
伊春市,33.0,4.0,29
伊犁哈萨克自治州,154.0,29.0,125
佛山市,2486.0,388.0,2098
佳木斯市,97.0,7.0,90
保亭黎族苗族自治县,19.0,2.0,17
保定市,855.0,217.0,638
保山市,106.0,35.0,71
信阳市,319.0,48.0,271
儋州市,1522.0,117.0,1405
克孜勒苏柯尔克孜自治州,17.0,2.0,15
克拉玛依市,56.0,8.0,48
六安市,724.0,73.0,651
六盘水市,217.0,18.0,199
兰州市,1117.0,82.0,1035
兴安盟,77.0,9.0,68
内江市,153.0,45.0,108
凉山彝族自治州,151.0,32.0,119
包头市,348.0,35.0,313
北京市,28387.0,659.0,27728
北屯市,8.0,2.0,6
北海市,238.0,50.0,188
十堰市,383.0,46.0,337
南京市,6731.0,1950.0,4781
南充市,381.0,123.0,258
南宁市,3752.0,386.0,3366
南平市,299.0,97.0,202
南昌市,2520.0,424.0,2096
南通市,1256.0,182.0,1074
南阳市,653.0,85.0,568
博尔塔拉蒙古自治州,49.0,4.0,45
厦门市,5721.0,1034.0,4687
双河市,8.0,1.0,7
双鸭山市,24.0,1.0,23
可克达拉市,12.0,0.0,12
台州市,750.0,225.0,525
合肥市,6706.0,1039.0,5667
吉安市,424.0,98.0,326
吉林市,243.0,40.0,203
吐鲁番市,13.0,3.0,10
吕梁市,196.0,35.0,161
吴忠市,91.0,12.0,79
周口市,438.0,85.0,353
呼伦贝尔市,126.0,15.0,111
呼和浩特市,970.0,43.0,927
和田地区,98.0,16.0,82
咸宁市,299.0,50.0,249
咸阳市,959.0,189.0,770
哈密市,61.0,14.0,47
哈尔滨市,1616.0,225.0,1391
唐山市,425.0,88.0,337
商丘市,329.0,53.0,276
商洛市,79.0,24.0,55
喀什地区,216.0,23.0,193
嘉兴市,1119.0,235.0,884
嘉峪关市,47.0,7.0,40
四平市,85.0,16.0,69
固原市,66.0,6.0,60
图木舒克市,26.0,2.0,24
塔城地区,33.0,7.0,26
大兴安岭地区,9.0,0.0,9
大同市,195.0,17.0,178
大庆市,241.0,19.0,222
大理白族自治州,157.0,35.0,122
大连市,1978.0,277.0,1701
天水市,129.0,13.0,116
天津市,5808.0,1304.0,4504
天门市,58.0,12.0,46
太原市,2517.0,182.0,2335
威海市,670.0,158.0,512
娄底市,290.0,58.0,232
孝感市,212.0,30.0,182
宁德市,488.0,135.0,353
宁波市,2933.0,605.0,2328
安庆市,415.0,49.0,366
安康市,170.0,51.0,119
安阳市,464.0,80.0,384
安顺市,197.0,15.0,182
定安县,83.0,14.0,69
定西市,110.0,12.0,98
宜宾市,358.0,92.0,266
宜昌市,569.0,78.0,491
宜春市,661.0,96.0,565
宝鸡市,1301.0,128.0,1173
宣城市,170.0,30.0,140
宿州市,424.0,49.0,375
宿迁市,653.0,253.0,400
屯昌县,74.0,4.0,70
山南市,16.0,2.0,14
山西转型综合改革示范区,41.0,42.0,-1
岳阳市,391.0,82.0,309
崇左市,85.0,11.0,74
巴中市,119.0,26.0,93
巴彦淖尔市,85.0,9.0,76
巴音郭楞蒙古自治州,120.0,16.0,104
常州市,1258.0,254.0,1004
常德市,208.0,58.0,150
平凉市,97.0,20.0,77
平顶山市,264.0,31.0,233
广元市,140.0,41.0,99
广安市,130.0,43.0,87
广州市,17277.0,4286.0,12991
庆阳市,173.0,18.0,155
廊坊市,529.0,182.0,347
延安市,187.0,46.0,141
延边朝鲜族自治州,116.0,18.0,98
开封市,368.0,60.0,308
张家口市,283.0,69.0,214
张家界市,91.0,19.0,72
张掖市,122.0,10.0,112
徐州市,1827.0,584.0,1243
德宏傣族景颇族自治州,51.0,10.0,41
德州市,761.0,125.0,636
德阳市,280.0,79.0,201
忻州市,141.0,17.0,124
怀化市,183.0,48.0,135
怒江傈僳族自治州,16.0,3.0,13
恩施土家族苗族自治州,260.0,43.0,217
惠州市,1777.0,322.0,1455
成都市,13277.0,2987.0,10290
扬州市,864.0,198.0,666
承德市,127.0,29.0,98
抚州市,338.0,67.0,271
抚顺市,167.0,37.0,130
拉萨市,336.0,11.0,325
揭阳市,120.0,22.0,98
攀枝花市,71.0,17.0,54
文山壮族苗族自治州,117.0,29.0,88
文昌市,1084.0,85.0,999
新乡市,510.0,107.0,403
新余市,171.0,29.0,142
新星市,9.0,0.0,9
无锡市,2059.0,304.0,1755
日喀则市,25.0,2.0,23
日照市,672.0,122.0,550
昆明市,3491.0,836.0,2655
昆玉市,4.0,0.0,4
昌吉回族自治州,103.0,26.0,77
昌江黎族自治县,11.0,3.0,8
昌都市,21.0,2.0,19
昭通市,155.0,37.0,118
晋中市,278.0,32.0,246
晋城市,259.0,34.0,225
普洱市,79.0,7.0,72
景德镇市,127.0,26.0,101
曲靖市,313.0,72.0,241
朔州市,83.0,4.0,79
朝阳市,188.0,39.0,149
本溪市,42.0,6.0,36
来宾市,81.0,11.0,70
杭州市,10819.0,2040.0,8779
松原市,102.0,23.0,79
林芝市,19.0,4.0,15
果洛藏族自治州,5.0,1.0,4
枣庄市,790.0,215.0,575
柳州市,539.0,73.0,466
株洲市,478.0,138.0,340
桂林市,452.0,106.0,346
梅州市,239.0,38.0,201
梧州市,166.0,33.0,133
楚雄彝族自治州,148.0,34.0,114
榆林市,497.0,93.0,404
武威市,70.0,9.0,61
武汉市,7721.0,955.0,6766
毕节市,229.0,18.0,211
永州市,251.0,59.0,192
汉中市,276.0,60.0,216
汕头市,307.0,51.0,256
汕尾市,168.0,28.0,140
江西省赣江新区直管区,1.0,1.0,0
江门市,371.0,52.0,319
池州市,115.0,19.0,96
沈阳市,2814.0,514.0,2300
沧州市,178.0,40.0,138
河池市,99.0,29.0,70
河源市,252.0,42.0,210
泉州市,1887.0,468.0,1419
泰安市,1009.0,182.0,827
泰州市,524.0,125.0,399
泸州市,345.0,65.0,280
洛阳市,944.0,167.0,777
济南市,7020.0,1608.0,5412
济宁市,1318.0,241.0,1077
济源市,114.0,10.0,104
海东市,55.0,9.0,46
海北藏族自治州,5.0,4.0,1
海南藏族自治州,20.0,3.0,17
海口市,8856.0,1592.0,7264
海西蒙古族藏族自治州,31.0,9.0,22
淄博市,1025.0,205.0,820
淮北市,208.0,25.0,183
淮南市,210.0,35.0,175
淮安市,697.0,161.0,536
深圳市,18678.0,1392.0,17286
清远市,162.0,34.0,128
温州市,1956.0,506.0,1450
渭南市,893.0,98.0,795
湖州市,881.0,172.0,709
湘潭市,217.0,54.0,163
湘西土家族苗族自治州,128.0,30.0,98
湛江市,407.0,45.0,362
滁州市,409.0,45.0,364
滨州市,919.0,124.0,795
漯河市,155.0,45.0,110
漳州市,951.0,297.0,654
潍坊市,2019.0,365.0,1654
潜江市,44.0,4.0,40
潮州市,127.0,15.0,112
澄迈县,525.0,113.0,412
濮阳市,235.0,43.0,192
烟台市,1707.0,312.0,1395
焦作市,224.0,38.0,186
牡丹江市,109.0,24.0,85
玉林市,300.0,66.0,234
玉树藏族自治州,4.0,0.0,4
玉溪市,103.0,17.0,86
珠海市,1466.0,240.0,1226
琼中黎族苗族自治县,9.0,4.0,5
琼海市,153.0,26.0,127
甘南藏族自治州,15.0,3.0,12
甘孜藏族自治州,34.0,5.0,29
白城市,80.0,8.0,72
白山市,47.0,4.0,43
白沙黎族自治县,5.0,1.0,4
白银市,67.0,24.0,43
百色市,130.0,22.0,108
益阳市,193.0,41.0,152
盐城市,771.0,182.0,589
盘锦市,114.0,27.0,87
眉山市,187.0,40.0,147
石嘴山市,42.0,14.0,28
石家庄市,881.0,195.0,686
石河子市,30.0,5.0,25
神农架林区,3.0,1.0,2
福州市,4974.0,1272.0,3702
秦皇岛市,177.0,44.0,133
红河哈尼族彝族自治州,162.0,51.0,111
绍兴市,845.0,222.0,623
绥化市,82.0,9.0,73
绵阳市,745.0,183.0,562
聊城市,789.0,163.0,626
肇庆市,272.0,53.0,219
胡杨河市,12.0,3.0,9
自贡市,164.0,66.0,98
舟山市,221.0,43.0,178
芜湖市,3293.0,1358.0,1935
苏州市,6845.0,1125.0,5720
茂名市,305.0,51.0,254
荆州市,295.0,46.0,249
荆门市,184.0,23.0,161
莆田市,847.0,353.0,494
菏泽市,1078.0,250.0,828
萍乡市,320.0,48.0,272
营口市,171.0,52.0,119
葫芦岛市,102.0,28.0,74
蚌埠市,356.0,52.0,304
衡水市,203.0,59.0,144
衡阳市,456.0,121.0,335
衢州市,281.0,49.0,232
襄阳市,671.0,99.0,572
西双版纳傣族自治州,133.0,50.0,83
西宁市,605.0,79.0,526
西安市,17126.0,3263.0,13863
许昌市,333.0,65.0,268
贵州省贵安新区,4.0,1.0,3
贵港市,175.0,35.0,140
贵阳市,2625.0,323.0,2302
贺州市,128.0,27.0,101
资阳市,92.0,22.0,70
赣州市,1086.0,202.0,884
赤峰市,228.0,23.0,205
辽源市,24.0,3.0,21
辽阳市,56.0,27.0,29
达州市,176.0,48.0,128
运城市,1087.0,46.0,1041
连云港市,545.0,209.0,336
迪庆藏族自治州,28.0,6.0,22
通化市,55.0,10.0,45
通辽市,196.0,20.0,176
遂宁市,137.0,38.0,99
遵义市,532.0,40.0,492
邢台市,175.0,33.0,142
那曲市,10.0,0.0,10
邯郸市,346.0,87.0,259
邵阳市,243.0,55.0,188
郑州市,5557.0,682.0,4875
郴州市,378.0,76.0,302
鄂尔多斯市,408.0,18.0,390
鄂州市,111.0,23.0,88
酒泉市,181.0,14.0,167
重庆市,8099.0,1149.0,6950
金华市,1527.0,480.0,1047
金昌市,42.0,3.0,39
钦州市,1594.0,57.0,1537
铁岭市,60.0,14.0,46
铁门关市,11.0,0.0,11
铜仁市,213.0,25.0,188
铜川市,70.0,18.0,52
铜陵市,111.0,18.0,93
银川市,1009.0,197.0,812
锡林郭勒盟,80.0,4.0,76
锦州市,124.0,19.0,105
镇江市,538.0,115.0,423
长春市,1899.0,281.0,1618
长沙市,8842.0,2128.0,6714
长治市,353.0,57.0,296
阜新市,64.0,14.0,50
阜阳市,678.0,85.0,593
防城港市,84.0,15.0,69
阳江市,193.0,14.0,179
阳泉市,113.0,16.0,97
阿克苏地区,147.0,23.0,124
阿勒泰地区,17.0,1.0,16
阿坝藏族羌族自治州,26.0,3.0,23
阿拉善盟,27.0,4.0,23
阿拉尔市,40.0,6.0,34
阿里地区,6.0,0.0,6
陇南市,93.0,2.0,91
陵水黎族自治县,283.0,67.0,216
随州市,115.0,20.0,95
雄安新区,1.0,0.0,1
雅安市,82.0,18.0,64
青岛市,5266.0,890.0,4376
鞍山市,168.0,46.0,122
韶关市,198.0,31.0,167
马鞍山市,246.0,37.0,209
驻马店市,243.0,35.0,208
鸡西市,57.0,10.0,47
鹤壁市,180.0,42.0,138
鹤岗市,49.0,2.0,47
鹰潭市,139.0,36.0,103
黄冈市,341.0,40.0,301
黄南藏族自治州,3.0,1.0,2
黄山市,104.0,14.0,90
黄石市,241.0,67.0,174
黑河市,38.0,3.0,35
黔东南苗族侗族自治州,230.0,16.0,214
黔南布依族苗族自治州,250.0,21.0,229
黔西南布依族苗族自治州,244.0,28.0,216
齐齐哈尔市,157.0,15.0,142
龙岩市,663.0,189.0,474
海南省洋浦经济开发区,0.0,1.0,-1
