城市,新增,注销,净增加
七台河市,28.0,6.0,22
万宁市,126.0,19.0,107
三亚市,2430.0,377.0,2053
三明市,442.0,128.0,314
三门峡市,184.0,47.0,137
上海市,24181.0,3757.0,20424
上饶市,725.0,130.0,595
东方市,164.0,21.0,143
东莞市,3381.0,695.0,2686
东营市,722.0,162.0,560
中卫市,58.0,22.0,36
中国（江苏）自由贸易试验区苏州片区,1.0,1.0,0
中山市,1432.0,291.0,1141
临夏回族自治州,73.0,6.0,67
临汾市,368.0,104.0,264
临沂市,2339.0,767.0,1572
临沧市,87.0,16.0,71
临高县,39.0,47.0,-8
丹东市,113.0,24.0,89
丽水市,395.0,106.0,289
丽江市,107.0,21.0,86
乌兰察布市,141.0,26.0,115
乌海市,73.0,8.0,65
乌鲁木齐市,2002.0,322.0,1680
乐东黎族自治县,107.0,12.0,95
乐山市,171.0,32.0,139
九江市,1210.0,260.0,950
云浮市,93.0,21.0,72
五家渠市,26.0,4.0,22
五指山市,51.0,10.0,41
亳州市,330.0,95.0,235
仙桃市,105.0,35.0,70
伊春市,39.0,12.0,27
伊犁哈萨克自治州,235.0,44.0,191
佛山市,3662.0,769.0,2893
佳木斯市,159.0,26.0,133
保亭黎族苗族自治县,27.0,9.0,18
保定市,1995.0,376.0,1619
保山市,154.0,46.0,108
信阳市,422.0,97.0,325
儋州市,307.0,128.0,179
克孜勒苏柯尔克孜自治州,21.0,6.0,15
克拉玛依市,71.0,15.0,56
六安市,691.0,171.0,520
六盘水市,276.0,29.0,247
兰州市,1814.0,182.0,1632
兴安盟,75.0,19.0,56
内江市,146.0,35.0,111
凉山彝族自治州,172.0,16.0,156
包头市,427.0,82.0,345
北京市,36094.0,2289.0,33805
北屯市,5.0,0.0,5
北海市,216.0,65.0,151
十堰市,516.0,87.0,429
南京市,8455.0,1982.0,6473
南充市,343.0,88.0,255
南宁市,3259.0,585.0,2674
南平市,387.0,139.0,248
南昌市,2444.0,748.0,1696
南通市,1694.0,273.0,1421
南阳市,1017.0,178.0,839
博尔塔拉蒙古自治州,33.0,14.0,19
厦门市,5616.0,1399.0,4217
双河市,9.0,0.0,9
双鸭山市,48.0,5.0,43
可克达拉市,15.0,0.0,15
台州市,853.0,230.0,623
合肥市,7183.0,1495.0,5688
吉安市,462.0,101.0,361
吉林市,353.0,109.0,244
吐鲁番市,30.0,6.0,24
吕梁市,215.0,72.0,143
吴忠市,73.0,22.0,51
周口市,674.0,134.0,540
呼伦贝尔市,126.0,22.0,104
呼和浩特市,1231.0,194.0,1037
和田地区,108.0,29.0,79
咸宁市,400.0,80.0,320
咸阳市,3015.0,294.0,2721
哈密市,60.0,14.0,46
哈尔滨市,2012.0,517.0,1495
唐山市,822.0,180.0,642
商丘市,520.0,118.0,402
商洛市,91.0,17.0,74
喀什地区,315.0,65.0,250
嘉兴市,1205.0,324.0,881
嘉峪关市,63.0,11.0,52
四平市,69.0,17.0,52
固原市,68.0,16.0,52
图木舒克市,45.0,3.0,42
塔城地区,42.0,14.0,28
大兴安岭地区,3.0,11.0,-8
大同市,233.0,76.0,157
大庆市,319.0,49.0,270
大理白族自治州,204.0,40.0,164
大连市,2077.0,478.0,1599
天水市,138.0,23.0,115
天津市,7114.0,1676.0,5438
天门市,75.0,14.0,61
太原市,3069.0,644.0,2425
威海市,792.0,224.0,568
娄底市,303.0,72.0,231
孝感市,302.0,61.0,241
宁德市,722.0,235.0,487
宁波市,2918.0,751.0,2167
安庆市,576.0,124.0,452
安康市,209.0,47.0,162
安阳市,613.0,151.0,462
安顺市,203.0,44.0,159
定安县,43.0,36.0,7
定西市,144.0,15.0,129
宜宾市,412.0,55.0,357
宜昌市,1172.0,223.0,949
宜春市,664.0,226.0,438
宝鸡市,1194.0,152.0,1042
宣城市,264.0,50.0,214
宿州市,637.0,100.0,537
宿迁市,840.0,196.0,644
屯昌县,27.0,23.0,4
山南市,27.0,1.0,26
山西转型综合改革示范区,12.0,59.0,-47
岳阳市,399.0,61.0,338
崇左市,64.0,18.0,46
巴中市,107.0,21.0,86
巴彦淖尔市,102.0,17.0,85
巴音郭楞蒙古自治州,168.0,50.0,118
常州市,1512.0,260.0,1252
常德市,243.0,54.0,189
平凉市,133.0,12.0,121
平顶山市,423.0,86.0,337
广元市,142.0,43.0,99
广安市,123.0,28.0,95
广州市,21177.0,4404.0,16773
庆阳市,263.0,38.0,225
廊坊市,1180.0,341.0,839
延安市,251.0,43.0,208
延边朝鲜族自治州,159.0,31.0,128
开封市,514.0,133.0,381
张家口市,630.0,131.0,499
张家界市,121.0,25.0,96
张掖市,159.0,9.0,150
徐州市,2229.0,625.0,1604
德宏傣族景颇族自治州,92.0,21.0,71
德州市,909.0,249.0,660
德阳市,263.0,53.0,210
忻州市,149.0,29.0,120
怀化市,261.0,42.0,219
怒江傈僳族自治州,19.0,3.0,16
恩施土家族苗族自治州,497.0,61.0,436
惠州市,1928.0,529.0,1399
成都市,16877.0,3090.0,13787
扬州市,894.0,214.0,680
承德市,294.0,63.0,231
抚州市,399.0,103.0,296
抚顺市,174.0,66.0,108
拉萨市,589.0,35.0,554
揭阳市,200.0,36.0,164
攀枝花市,79.0,14.0,65
文山壮族苗族自治州,153.0,33.0,120
文昌市,228.0,55.0,173
新乡市,609.0,175.0,434
新余市,214.0,45.0,169
新星市,18.0,2.0,16
无锡市,2434.0,425.0,2009
日喀则市,52.0,3.0,49
日照市,787.0,225.0,562
昆明市,8712.0,1721.0,6991
昆玉市,8.0,0.0,8
昌吉回族自治州,152.0,44.0,108
昌江黎族自治县,10.0,3.0,7
昌都市,35.0,4.0,31
昭通市,183.0,39.0,144
晋中市,312.0,75.0,237
晋城市,313.0,67.0,246
普洱市,125.0,18.0,107
景德镇市,151.0,30.0,121
曲靖市,378.0,70.0,308
朔州市,137.0,17.0,120
朝阳市,169.0,56.0,113
本溪市,47.0,12.0,35
来宾市,70.0,9.0,61
杭州市,12457.0,2690.0,9767
松原市,109.0,25.0,84
林芝市,22.0,2.0,20
果洛藏族自治州,2.0,0.0,2
枣庄市,892.0,268.0,624
柳州市,485.0,139.0,346
株洲市,673.0,160.0,513
桂林市,455.0,130.0,325
梅州市,290.0,61.0,229
梧州市,112.0,43.0,69
楚雄彝族自治州,187.0,40.0,147
榆林市,701.0,106.0,595
武威市,109.0,16.0,93
武汉市,11803.0,1746.0,10057
毕节市,351.0,42.0,309
永州市,280.0,55.0,225
汉中市,277.0,56.0,221
汕头市,388.0,80.0,308
汕尾市,166.0,37.0,129
江门市,459.0,51.0,408
池州市,142.0,39.0,103
沈阳市,3465.0,710.0,2755
沧州市,409.0,85.0,324
河池市,109.0,32.0,77
河源市,258.0,96.0,162
泉州市,2407.0,487.0,1920
泰安市,1306.0,340.0,966
泰州市,669.0,132.0,537
泸州市,300.0,76.0,224
洛阳市,1241.0,338.0,903
济南市,8041.0,2209.0,5832
济宁市,1633.0,515.0,1118
济源市,82.0,37.0,45
海东市,38.0,14.0,24
海北藏族自治州,8.0,1.0,7
海南省洋浦经济开发区,3.0,1.0,2
海南藏族自治州,13.0,6.0,7
海口市,11543.0,2161.0,9382
海西蒙古族藏族自治州,41.0,15.0,26
淄博市,1128.0,269.0,859
淮北市,256.0,62.0,194
淮南市,330.0,51.0,279
淮安市,880.0,202.0,678
深圳市,23126.0,2270.0,20856
清远市,208.0,39.0,169
温州市,2415.0,624.0,1791
渭南市,300.0,76.0,224
湖州市,834.0,276.0,558
湘潭市,262.0,64.0,198
湘西土家族苗族自治州,166.0,41.0,125
湛江市,453.0,85.0,368
滁州市,509.0,124.0,385
滨州市,1072.0,270.0,802
漯河市,265.0,55.0,210
漳州市,980.0,244.0,736
潍坊市,2310.0,660.0,1650
潜江市,88.0,10.0,78
潮州市,159.0,23.0,136
澄迈县,511.0,177.0,334
濮阳市,394.0,77.0,317
烟台市,2129.0,450.0,1679
焦作市,296.0,68.0,228
牡丹江市,160.0,38.0,122
玉林市,309.0,78.0,231
玉树藏族自治州,5.0,0.0,5
玉溪市,173.0,40.0,133
珠海市,1805.0,316.0,1489
琼中黎族苗族自治县,13.0,6.0,7
琼海市,206.0,26.0,180
甘南藏族自治州,34.0,3.0,31
甘孜藏族自治州,26.0,3.0,23
白城市,78.0,24.0,54
白山市,58.0,16.0,42
白杨市,4.0,1.0,3
