城市,新增,注销,净增加
七台河市,6,1.0,5
万宁市,14,1.0,13
三亚市,263,12.0,251
三明市,156,45.0,111
三沙市,2,0.0,2
三门峡市,28,0.0,28
上海市,2651,42.0,2609
上饶市,85,1.0,84
东方市,18,1.0,17
东莞市,694,54.0,640
东营市,148,2.0,146
中卫市,5,0.0,5
中国（江苏）自由贸易试验区苏州片区,1,0.0,1
中山市,256,12.0,244
临夏回族自治州,2,0.0,2
临汾市,48,0.0,48
临沂市,454,10.0,444
临沧市,12,0.0,12
临高县,4,0.0,4
丹东市,24,0.0,24
丽水市,76,0.0,76
丽江市,11,3.0,8
乌兰察布市,32,3.0,29
乌海市,12,3.0,9
乌鲁木齐市,311,0.0,311
乐东黎族自治县,9,1.0,8
乐山市,35,7.0,28
九江市,103,1.0,102
云浮市,14,0.0,14
五家渠市,4,0.0,4
五指山市,6,1.0,5
亳州市,32,0.0,32
仙桃市,7,0.0,7
伊春市,9,0.0,9
伊犁哈萨克自治州,28,13.0,15
佛山市,649,15.0,634
佳木斯市,7,0.0,7
保亭黎族苗族自治县,7,0.0,7
保定市,276,41.0,235
保山市,15,2.0,13
信阳市,94,1.0,93
儋州市,45,5.0,40
克孜勒苏柯尔克孜自治州,6,0.0,6
克拉玛依市,10,0.0,10
六安市,69,3.0,66
六盘水市,29,0.0,29
兰州市,359,11.0,348
兴安盟,15,2.0,13
内江市,41,10.0,31
凉山彝族自治州,72,19.0,53
包头市,83,3.0,80
北京市,4815,14.0,4801
北海市,61,3.0,58
十堰市,83,1.0,82
南京市,1786,17.0,1769
南充市,149,35.0,114
南宁市,733,6.0,727
南平市,45,2.0,43
南昌市,404,9.0,395
南通市,207,3.0,204
南阳市,120,3.0,117
博尔塔拉蒙古自治州,4,0.0,4
厦门市,1288,0.0,1288
双鸭山市,2,0.0,2
可克达拉市,1,0.0,1
台州市,141,1.0,140
合肥市,1699,81.0,1618
吉安市,81,2.0,79
吉林市,61,10.0,51
吐鲁番市,5,0.0,5
吕梁市,21,0.0,21
吴忠市,16,1.0,15
周口市,57,0.0,57
呼伦贝尔市,21,0.0,21
呼和浩特市,189,6.0,183
和田地区,15,0.0,15
咸宁市,39,0.0,39
咸阳市,116,9.0,107
哈密市,19,0.0,19
哈尔滨市,405,4.0,401
唐山市,146,6.0,140
商丘市,45,0.0,45
商洛市,12,0.0,12
喀什地区,39,0.0,39
嘉兴市,317,8.0,309
嘉峪关市,14,0.0,14
四平市,14,1.0,13
固原市,20,0.0,20
图木舒克市,1,0.0,1
塔城地区,9,0.0,9
大兴安岭地区,3,0.0,3
大同市,50,2.0,48
大庆市,62,0.0,62
大理白族自治州,26,2.0,24
大连市,420,8.0,412
天水市,23,0.0,23
天津市,1621,26.0,1595
天门市,12,0.0,12
太原市,598,7.0,591
威海市,149,2.0,147
娄底市,37,3.0,34
孝感市,50,1.0,49
宁德市,335,118.0,217
宁波市,786,24.0,762
安庆市,103,4.0,99
安康市,35,1.0,34
安阳市,46,2.0,44
安顺市,18,1.0,17
定安县,5,1.0,4
定西市,24,0.0,24
宜宾市,130,37.0,93
宜昌市,125,9.0,116
宜春市,103,4.0,99
宝鸡市,169,6.0,163
宣城市,38,2.0,36
宿州市,77,1.0,76
宿迁市,123,2.0,121
屯昌县,4,0.0,4
山南市,9,0.0,9
山西转型综合改革示范区,9,0.0,9
岳阳市,66,6.0,60
崇左市,17,1.0,16
巴中市,21,2.0,19
巴彦淖尔市,20,3.0,17
巴音郭楞蒙古自治州,34,1.0,33
常州市,235,10.0,225
常德市,38,4.0,34
平凉市,31,3.0,28
平顶山市,53,1.0,52
广元市,47,18.0,29
广安市,57,17.0,40
广州市,5831,364.0,5467
庆阳市,24,0.0,24
廊坊市,100,13.0,87
延安市,55,6.0,49
延边朝鲜族自治州,28,0.0,28
开封市,72,0.0,72
张家口市,57,3.0,54
张家界市,17,2.0,15
张掖市,25,0.0,25
徐州市,305,3.0,302
德宏傣族景颇族自治州,8,0.0,8
德州市,169,4.0,165
德阳市,83,14.0,69
忻州市,29,0.0,29
怀化市,45,4.0,41
怒江傈僳族自治州,1,0.0,1
恩施土家族苗族自治州,56,2.0,54
惠州市,315,5.0,310
成都市,2358,284.0,2074
扬州市,185,3.0,182
承德市,23,0.0,23
抚州市,53,1.0,52
抚顺市,51,4.0,47
拉萨市,95,2.0,93
揭阳市,31,0.0,31
攀枝花市,33,4.0,29
文山壮族苗族自治州,18,1.0,17
文昌市,13,0.0,13
新乡市,84,3.0,81
新余市,38,2.0,36
新星市,1,0.0,1
无锡市,460,7.0,453
日喀则市,1,0.0,1
日照市,173,6.0,167
昆明市,480,22.0,458
昌吉回族自治州,27,2.0,25
昌江黎族自治县,7,0.0,7
昌都市,1,1.0,0
昭通市,23,1.0,22
晋中市,48,0.0,48
晋城市,59,0.0,59
普洱市,15,0.0,15
景德镇市,28,0.0,28
曲靖市,46,3.0,43
朔州市,20,0.0,20
朝阳市,43,1.0,42
本溪市,18,2.0,16
来宾市,21,0.0,21
杭州市,2938,102.0,2836
松原市,28,2.0,26
林芝市,3,0.0,3
枣庄市,144,3.0,141
柳州市,121,3.0,118
株洲市,122,14.0,108
桂林市,99,1.0,98
梅州市,54,0.0,54
梧州市,31,2.0,29
楚雄彝族自治州,19,0.0,19
榆林市,113,2.0,111
武威市,29,1.0,28
武汉市,2082,52.0,2030
毕节市,35,1.0,34
永州市,63,18.0,45
汉中市,60,17.0,43
汕头市,81,6.0,75
汕尾市,26,1.0,25
江门市,84,4.0,80
池州市,14,0.0,14
沈阳市,698,24.0,674
沧州市,66,6.0,60
河池市,28,0.0,28
河源市,62,1.0,61
泉州市,546,48.0,498
泰安市,200,3.0,197
泰州市,117,2.0,115
泸州市,86,21.0,65
洛阳市,197,2.0,195
济南市,1752,20.0,1732
济宁市,287,5.0,282
济源市,17,0.0,17
海东市,11,0.0,11
海南省洋浦经济开发区,1,0.0,1
海南藏族自治州,2,0.0,2
海口市,1058,38.0,1020
海西蒙古族藏族自治州,9,1.0,8
淄博市,251,10.0,241
淮北市,29,1.0,28
淮南市,44,2.0,42
淮安市,104,1.0,103
深圳市,4651,395.0,4256
清远市,33,1.0,32
温州市,519,14.0,505
渭南市,58,17.0,41
湖州市,175,5.0,170
湘潭市,37,6.0,31
湘西土家族苗族自治州,24,2.0,22
湛江市,85,2.0,83
滁州市,79,1.0,78
滨州市,150,1.0,149
漯河市,38,0.0,38
漳州市,460,125.0,335
潍坊市,402,9.0,393
潜江市,3,0.0,3
潮州市,16,0.0,16
澄迈县,173,3.0,170
濮阳市,47,1.0,46
烟台市,393,2.0,391
焦作市,31,1.0,30
牡丹江市,28,2.0,26
玉林市,51,0.0,51
玉树藏族自治州,1,0.0,1
玉溪市,9,1.0,8
珠海市,573,34.0,539
琼中黎族苗族自治县,2,0.0,2
琼海市,24,1.0,23
甘南藏族自治州,5,0.0,5
甘孜藏族自治州,12,4.0,8
白城市,9,1.0,8
白山市,18,0.0,18
白银市,18,1.0,17
百色市,18,0.0,18
益阳市,50,4.0,46
盐城市,126,3.0,123
盘锦市,22,0.0,22
眉山市,60,12.0,48
石嘴山市,18,0.0,18
石家庄市,266,17.0,249
石河子市,13,0.0,13
神农架林区,2,0.0,2
福州市,2653,495.0,2158
秦皇岛市,32,3.0,29
红河哈尼族彝族自治州,27,1.0,26
绍兴市,203,8.0,195
绥化市,14,0.0,14
绵阳市,375,108.0,267
聊城市,186,1.0,185
肇庆市,73,3.0,70
自贡市,67,16.0,51
舟山市,54,2.0,52
芜湖市,119,5.0,114
苏州市,1289,33.0,1256
茂名市,53,5.0,48
荆州市,39,1.0,38
荆门市,39,0.0,39
莆田市,277,60.0,217
菏泽市,133,0.0,133
萍乡市,50,1.0,49
营口市,48,5.0,43
葫芦岛市,25,1.0,24
蚌埠市,68,4.0,64
衡水市,51,5.0,46
衡阳市,81,10.0,71
衢州市,64,4.0,60
襄阳市,108,1.0,107
西双版纳傣族自治州,20,1.0,19
西宁市,172,3.0,169
西安市,2909,187.0,2722
许昌市,57,2.0,55
贵州省贵安新区,1,0.0,1
贵港市,48,2.0,46
贵阳市,587,14.0,573
贺州市,25,1.0,24
资阳市,32,11.0,21
赣州市,206,3.0,203
赤峰市,36,0.0,36
辽源市,8,0.0,8
辽阳市,16,0.0,16
达州市,66,13.0,53
运城市,80,1.0,79
连云港市,66,1.0,65
迪庆藏族自治州,5,1.0,4
通化市,32,2.0,30
通辽市,30,4.0,26
遂宁市,47,4.0,43
遵义市,56,4.0,52
邢台市,43,4.0,39
那曲市,4,0.0,4
邯郸市,71,9.0,62
邵阳市,84,11.0,73
郑州市,1310,10.0,1300
郴州市,68,6.0,62
鄂尔多斯市,83,4.0,79
鄂州市,22,0.0,22
酒泉市,27,1.0,26
重庆市,2201,138.0,2063
金华市,354,3.0,351
金昌市,14,0.0,14
钦州市,43,0.0,43
铁岭市,11,1.0,10
铁门关市,3,0.0,3
铜仁市,30,4.0,26
铜川市,24,2.0,22
铜陵市,23,1.0,22
银川市,256,4.0,252
锡林郭勒盟,15,1.0,14
锦州市,29,1.0,28
镇江市,106,3.0,103
长春市,616,17.0,599
长沙市,1983,301.0,1682
长治市,62,0.0,62
阜新市,20,0.0,20
阜阳市,130,5.0,125
防城港市,9,0.0,9
阳江市,18,4.0,14
阳泉市,20,0.0,20
阿克苏地区,38,4.0,34
阿勒泰地区,6,0.0,6
阿坝藏族羌族自治州,11,2.0,9
阿拉善盟,5,0.0,5
阿拉尔市,6,0.0,6
阿里地区,2,0.0,2
陇南市,16,0.0,16
陵水黎族自治县,28,0.0,28
随州市,23,0.0,23
雅安市,22,4.0,18
青岛市,1328,26.0,1302
鞍山市,45,5.0,40
韶关市,59,3.0,56
马鞍山市,41,1.0,40
驻马店市,46,1.0,45
鸡西市,6,1.0,5
鹤壁市,45,0.0,45
鹤岗市,9,0.0,9
鹰潭市,23,0.0,23
黄冈市,78,2.0,76
黄南藏族自治州,1,0.0,1
黄山市,21,2.0,19
黄石市,47,2.0,45
黑河市,18,1.0,17
黔东南苗族侗族自治州,30,0.0,30
黔南布依族苗族自治州,44,0.0,44
