城市,新增,注销,净增加
七台河市,40.0,20.0,20
万宁市,99.0,27.0,72
三亚市,2071.0,606.0,1465
三明市,377.0,62.0,315
三沙市,1.0,2.0,-1
三门峡市,202.0,84.0,118
上海市,21272.0,7278.0,13994
上饶市,583.0,280.0,303
东方市,79.0,59.0,20
东莞市,5903.0,1519.0,4384
东营市,520.0,269.0,251
中卫市,68.0,25.0,43
中国（四川）自由贸易试验区,1.0,0.0,1
中国（江苏）自由贸易试验区苏州片区,39.0,1.0,38
中山市,1441.0,518.0,923
临夏回族自治州,60.0,15.0,45
临汾市,373.0,155.0,218
临沂市,1774.0,1085.0,689
临沧市,311.0,21.0,290
临高县,32.0,44.0,-12
丹东市,106.0,45.0,61
丽水市,374.0,155.0,219
丽江市,114.0,4.0,110
乌兰察布市,130.0,51.0,79
乌海市,62.0,27.0,35
乌鲁木齐市,2267.0,548.0,1719
乐东黎族自治县,56.0,20.0,36
乐山市,156.0,14.0,142
九江市,695.0,360.0,335
云浮市,81.0,36.0,45
五家渠市,33.0,8.0,25
五指山市,32.0,9.0,23
亳州市,342.0,192.0,150
仙桃市,98.0,37.0,61
伊春市,22.0,11.0,11
伊犁哈萨克自治州,350.0,93.0,257
佛山市,3003.0,1087.0,1916
佳木斯市,182.0,60.0,122
保亭黎族苗族自治县,29.0,12.0,17
保定市,2390.0,236.0,2154
保山市,88.0,10.0,78
信阳市,447.0,173.0,274
儋州市,412.0,338.0,74
克孜勒苏柯尔克孜自治州,46.0,7.0,39
克拉玛依市,106.0,23.0,83
六安市,471.0,251.0,220
六盘水市,301.0,70.0,231
兰州市,1616.0,427.0,1189
兴安盟,110.0,21.0,89
内江市,177.0,16.0,161
凉山彝族自治州,198.0,12.0,186
包头市,424.0,161.0,263
北京市,32774.0,5710.0,27064
北屯市,14.0,2.0,12
北海市,241.0,117.0,124
十堰市,528.0,158.0,370
南京市,8579.0,3427.0,5152
南充市,392.0,40.0,352
南宁市,3138.0,1224.0,1914
南平市,298.0,31.0,267
南昌市,2549.0,967.0,1582
南通市,1728.0,529.0,1199
南阳市,1117.0,449.0,668
博尔塔拉蒙古自治州,47.0,12.0,35
厦门市,5990.0,2162.0,3828
双河市,19.0,4.0,15
双鸭山市,43.0,18.0,25
可克达拉市,14.0,4.0,10
台州市,830.0,363.0,467
合肥市,7250.0,3340.0,3910
吉安市,478.0,220.0,258
吉林市,372.0,154.0,218
吐鲁番市,41.0,8.0,33
吕梁市,253.0,101.0,152
吴忠市,81.0,26.0,55
周口市,770.0,310.0,460
呼伦贝尔市,120.0,49.0,71
呼和浩特市,1291.0,319.0,972
和田地区,143.0,36.0,107
咸宁市,566.0,163.0,403
咸阳市,930.0,65.0,865
哈密市,140.0,26.0,114
哈尔滨市,2130.0,823.0,1307
唐山市,813.0,68.0,745
商丘市,606.0,234.0,372
商洛市,68.0,8.0,60
喀什地区,457.0,89.0,368
嘉兴市,1237.0,474.0,763
嘉峪关市,48.0,27.0,21
四平市,76.0,31.0,45
固原市,60.0,16.0,44
图木舒克市,30.0,7.0,23
塔城地区,88.0,16.0,72
大兴安岭地区,20.0,3.0,17
大同市,283.0,100.0,183
大庆市,341.0,121.0,220
大理白族自治州,189.0,19.0,170
大连市,1790.0,964.0,826
天水市,151.0,52.0,99
天津市,6976.0,2799.0,4177
天门市,85.0,21.0,64
太原市,3888.0,1730.0,2158
威海市,685.0,358.0,327
娄底市,355.0,37.0,318
孝感市,384.0,108.0,276
宁德市,534.0,83.0,451
宁波市,2760.0,1114.0,1646
安庆市,789.0,322.0,467
安康市,165.0,13.0,152
安阳市,897.0,286.0,611
安顺市,251.0,55.0,196
定安县,24.0,11.0,13
定西市,172.0,47.0,125
宜宾市,423.0,32.0,391
宜昌市,1595.0,323.0,1272
宜春市,600.0,310.0,290
宝鸡市,319.0,46.0,273
宣城市,288.0,87.0,201
宿州市,507.0,233.0,274
宿迁市,988.0,345.0,643
屯昌县,15.0,6.0,9
山南市,33.0,4.0,29
山西转型综合改革示范区,98.0,17.0,81
岳阳市,337.0,36.0,301
崇左市,88.0,25.0,63
巴中市,158.0,11.0,147
巴彦淖尔市,102.0,30.0,72
巴音郭楞蒙古自治州,164.0,56.0,108
常州市,1590.0,462.0,1128
常德市,245.0,22.0,223
平凉市,127.0,66.0,61
平顶山市,431.0,173.0,258
广元市,153.0,12.0,141
广安市,153.0,10.0,143
广州市,20350.0,6760.0,13590
庆阳市,471.0,126.0,345
廊坊市,1226.0,150.0,1076
延安市,219.0,18.0,201
延边朝鲜族自治州,165.0,61.0,104
开封市,490.0,187.0,303
张家口市,669.0,66.0,603
张家界市,165.0,20.0,145
张掖市,156.0,38.0,118
徐州市,2214.0,1046.0,1168
德宏傣族景颇族自治州,91.0,17.0,74
德州市,816.0,390.0,426
德阳市,268.0,28.0,240
忻州市,130.0,59.0,71
怀化市,271.0,9.0,262
怒江傈僳族自治州,26.0,3.0,23
恩施土家族苗族自治州,518.0,156.0,362
惠州市,1958.0,784.0,1174
成都市,13233.0,1035.0,12198
扬州市,1013.0,401.0,612
承德市,392.0,42.0,350
抚州市,317.0,169.0,148
抚顺市,92.0,86.0,6
拉萨市,578.0,82.0,496
揭阳市,182.0,74.0,108
攀枝花市,65.0,4.0,61
文山壮族苗族自治州,185.0,11.0,174
文昌市,237.0,420.0,-183
新乡市,611.0,248.0,363
新余市,182.0,114.0,68
新星市,47.0,7.0,40
无锡市,2661.0,737.0,1924
日喀则市,63.0,12.0,51
日照市,591.0,305.0,286
昆明市,4641.0,424.0,4217
昆玉市,11.0,6.0,5
昌吉回族自治州,197.0,43.0,154
昌江黎族自治县,21.0,7.0,14
昌都市,47.0,6.0,41
昭通市,218.0,24.0,194
晋中市,361.0,132.0,229
晋城市,280.0,128.0,152
普洱市,131.0,8.0,123
景德镇市,162.0,69.0,93
曲靖市,421.0,48.0,373
朔州市,118.0,39.0,79
朝阳市,152.0,91.0,61
本溪市,64.0,25.0,39
来宾市,92.0,31.0,61
杭州市,12784.0,4023.0,8761
松原市,150.0,61.0,89
林芝市,41.0,3.0,38
枣庄市,705.0,385.0,320
柳州市,466.0,256.0,210
株洲市,581.0,41.0,540
桂林市,437.0,206.0,231
梅州市,280.0,98.0,182
