城市,新增,注销,净增加
七台河市,8,0.0,8
万宁市,43,8.0,35
三亚市,1308,34.0,1274
三明市,297,101.0,196
三沙市,6,0.0,6
三门峡市,53,1.0,52
上海市,8707,167.0,8540
上饶市,470,8.0,462
东方市,62,7.0,55
东莞市,951,60.0,891
东营市,262,4.0,258
中卫市,33,0.0,33
中山市,555,22.0,533
临夏回族自治州,14,0.0,14
临汾市,80,2.0,78
临沂市,1089,21.0,1068
临沧市,12,1.0,11
临高县,15,2.0,13
丹东市,79,2.0,77
丽水市,306,20.0,286
丽江市,22,0.0,22
乌兰察布市,26,5.0,21
乌海市,11,1.0,10
乌鲁木齐市,956,6.0,950
乐东黎族自治县,14,0.0,14
乐山市,44,9.0,35
九江市,443,21.0,422
云浮市,29,0.0,29
五家渠市,17,1.0,16
五指山市,11,1.0,10
亳州市,42,1.0,41
仙桃市,23,2.0,21
伊春市,5,0.0,5
伊犁哈萨克自治州,186,8.0,178
佛山市,1290,22.0,1268
佳木斯市,22,0.0,22
保亭黎族苗族自治县,14,0.0,14
保定市,246,40.0,206
保山市,19,0.0,19
信阳市,133,2.0,131
儋州市,292,20.0,272
克孜勒苏柯尔克孜自治州,14,0.0,14
克拉玛依市,36,0.0,36
六安市,105,6.0,99
六盘水市,53,2.0,51
兰州市,354,12.0,342
兴安盟,24,0.0,24
内江市,55,16.0,39
凉山彝族自治州,82,19.0,63
包头市,112,6.0,106
北京市,5928,21.0,5907
北屯市,5,0.0,5
北海市,153,3.0,150
十堰市,98,4.0,94
南京市,6781,97.0,6684
南充市,204,50.0,154
南宁市,1849,30.0,1819
南平市,157,43.0,114
南昌市,1342,34.0,1308
南通市,998,12.0,986
南阳市,215,3.0,212
博尔塔拉蒙古自治州,15,1.0,14
厦门市,3914,86.0,3828
双河市,3,0.0,3
双鸭山市,7,0.0,7
可克达拉市,4,0.0,4
台州市,759,54.0,705
合肥市,2824,171.0,2653
吉安市,350,9.0,341
吉林市,75,7.0,68
吐鲁番市,12,0.0,12
吕梁市,47,0.0,47
吴忠市,34,2.0,32
周口市,139,3.0,136
呼伦贝尔市,27,0.0,27
呼和浩特市,272,5.0,267
和田地区,66,0.0,66
咸宁市,58,2.0,56
咸阳市,351,106.0,245
哈密市,53,1.0,52
哈尔滨市,817,22.0,795
唐山市,154,15.0,139
商丘市,90,0.0,90
商洛市,55,12.0,43
喀什地区,145,1.0,144
嘉兴市,1136,59.0,1077
嘉峪关市,18,0.0,18
四平市,27,2.0,25
固原市,28,1.0,27
图木舒克市,8,0.0,8
塔城地区,21,0.0,21
大兴安岭地区,2,1.0,1
大同市,62,0.0,62
大庆市,61,3.0,58
大理白族自治州,25,2.0,23
大连市,1112,38.0,1074
天水市,38,2.0,36
天津市,5466,142.0,5324
天门市,17,0.0,17
太原市,893,18.0,875
威海市,328,8.0,320
娄底市,54,7.0,47
孝感市,47,2.0,45
宁德市,488,189.0,299
宁波市,3028,159.0,2869
安庆市,134,6.0,128
安康市,96,15.0,81
安阳市,110,2.0,108
安顺市,24,3.0,21
定安县,12,1.0,11
定西市,21,0.0,21
宜宾市,216,58.0,158
宜昌市,152,8.0,144
宜春市,410,13.0,397
宝鸡市,236,44.0,192
宣城市,50,1.0,49
宿州市,89,8.0,81
宿迁市,581,15.0,566
屯昌县,9,2.0,7
山南市,10,0.0,10
山西转型综合改革示范区,9,0.0,9
岳阳市,97,14.0,83
崇左市,52,1.0,51
巴中市,53,16.0,37
巴彦淖尔市,22,2.0,20
巴音郭楞蒙古自治州,74,2.0,72
常州市,1088,12.0,1076
常德市,53,6.0,47
平凉市,34,3.0,31
平顶山市,80,0.0,80
广元市,72,21.0,51
广安市,89,19.0,70
广州市,9833,438.0,9395
庆阳市,45,0.0,45
廊坊市,195,63.0,132
延安市,132,31.0,101
延边朝鲜族自治州,45,3.0,42
开封市,128,1.0,127
张家口市,71,5.0,66
张家界市,34,3.0,31
张掖市,23,0.0,23
徐州市,1721,30.0,1691
德宏傣族景颇族自治州,33,13.0,20
德州市,370,18.0,352
德阳市,139,32.0,107
忻州市,35,0.0,35
怀化市,58,11.0,47
怒江傈僳族自治州,4,0.0,4
恩施土家族苗族自治州,63,3.0,60
惠州市,731,41.0,690
成都市,4368,890.0,3478
扬州市,802,21.0,781
承德市,40,2.0,38
抚州市,248,5.0,243
抚顺市,145,8.0,137
拉萨市,141,3.0,138
揭阳市,39,1.0,38
攀枝花市,42,5.0,37
文山壮族苗族自治州,26,4.0,22
文昌市,104,3.0,101
新乡市,157,4.0,153
新余市,130,7.0,123
新星市,3,0.0,3
无锡市,1527,26.0,1501
日喀则市,11,0.0,11
日照市,327,17.0,310
昆明市,810,98.0,712
昆玉市,2,0.0,2
昌吉回族自治州,76,0.0,76
昌江黎族自治县,9,1.0,8
昌都市,13,0.0,13
昭通市,30,1.0,29
晋中市,70,1.0,69
晋城市,57,0.0,57
普洱市,18,2.0,16
景德镇市,80,2.0,78
曲靖市,43,2.0,41
朔州市,39,1.0,38
朝阳市,113,3.0,110
本溪市,29,1.0,28
来宾市,41,1.0,40
杭州市,8808,687.0,8121
松原市,41,1.0,40
林芝市,5,0.0,5
果洛藏族自治州,2,0.0,2
枣庄市,471,12.0,459
柳州市,356,7.0,349
株洲市,125,14.0,111
桂林市,256,6.0,250
梅州市,96,2.0,94
梧州市,81,1.0,80
楚雄彝族自治州,19,2.0,17
榆林市,348,74.0,274
武威市,23,0.0,23
武汉市,2142,82.0,2060
毕节市,55,0.0,55
永州市,60,22.0,38
汉中市,152,38.0,114
汕头市,136,10.0,126
汕尾市,50,2.0,48
江门市,118,7.0,111
池州市,36,0.0,36
沈阳市,1959,90.0,1869
沧州市,67,8.0,59
河池市,61,1.0,60
河源市,124,4.0,120
泉州市,1230,271.0,959
泰安市,420,13.0,407
泰州市,504,14.0,490
泸州市,177,38.0,139
洛阳市,333,9.0,324
济南市,4053,314.0,3739
济宁市,662,6.0,656
济源市,14,0.0,14
海东市,28,0.0,28
海北藏族自治州,5,0.0,5
海南省洋浦经济开发区,3,0.0,3
海南藏族自治州,8,0.0,8
海口市,4199,212.0,3987
海西蒙古族藏族自治州,34,0.0,34
淄博市,527,17.0,510
淮北市,52,1.0,51
淮南市,65,2.0,63
淮安市,492,13.0,479
深圳市,6715,441.0,6274
清远市,66,1.0,65
温州市,1885,135.0,1750
渭南市,183,39.0,144
湖州市,653,32.0,621
湘潭市,67,8.0,59
湘西土家族苗族自治州,19,0.0,19
湛江市,150,2.0,148
滁州市,104,3.0,101
滨州市,343,9.0,334
漯河市,49,1.0,48
漳州市,631,202.0,429
潍坊市,907,25.0,882
潜江市,4,1.0,3
潮州市,60,0.0,60
澄迈县,530,25.0,505
濮阳市,70,2.0,68
烟台市,999,55.0,944
焦作市,84,0.0,84
牡丹江市,49,0.0,49
玉林市,186,5.0,181
玉树藏族自治州,1,0.0,1
玉溪市,13,0.0,13
珠海市,903,34.0,869
琼中黎族苗族自治县,15,1.0,14
琼海市,325,3.0,322
甘南藏族自治州,9,0.0,9
甘孜藏族自治州,13,2.0,11
白城市,15,1.0,14
白山市,14,2.0,12
白沙黎族自治县,5,1.0,4
白银市,24,0.0,24
百色市,88,0.0,88
益阳市,45,7.0,38
盐城市,683,9.0,674
盘锦市,85,4.0,81
眉山市,86,21.0,65
石嘴山市,28,0.0,28
石家庄市,299,23.0,276
石河子市,36,2.0,34
神农架林区,2,0.0,2
福州市,4199,1072.0,3127
秦皇岛市,32,1.0,31
红河哈尼族彝族自治州,38,3.0,35
绍兴市,771,34.0,737
绥化市,26,1.0,25
绵阳市,417,125.0,292
聊城市,383,13.0,370
肇庆市,87,6.0,81
胡杨河市,6,0.0,6
自贡市,94,26.0,68
舟山市,186,6.0,180
芜湖市,453,17.0,436
苏州市,6113,97.0,6016
茂名市,108,1.0,107
