城市,新增,注销,净增加
七台河市,1,0.0,1
三亚市,61,0.0,61
三明市,31,0.0,31
三沙市,1,0.0,1
三门峡市,9,0.0,9
上海市,1422,2.0,1420
上饶市,62,0.0,62
东方市,3,0.0,3
东莞市,393,4.0,389
东营市,94,0.0,94
中卫市,9,0.0,9
中山市,150,1.0,149
临夏回族自治州,11,0.0,11
临汾市,22,0.0,22
临沂市,204,1.0,203
临沧市,10,0.0,10
临高县,1,0.0,1
丹东市,17,0.0,17
丽水市,50,0.0,50
丽江市,11,0.0,11
乌兰察布市,19,0.0,19
乌海市,5,0.0,5
乌鲁木齐市,183,0.0,183
乐东黎族自治县,2,0.0,2
乐山市,16,0.0,16
九江市,53,0.0,53
云浮市,10,0.0,10
五家渠市,2,0.0,2
亳州市,19,0.0,19
仙桃市,13,0.0,13
伊犁哈萨克自治州,52,0.0,52
佛山市,315,0.0,315
佳木斯市,9,0.0,9
保定市,80,0.0,80
保山市,10,0.0,10
信阳市,36,0.0,36
儋州市,17,1.0,16
克孜勒苏柯尔克孜自治州,4,0.0,4
克拉玛依市,7,0.0,7
六安市,39,0.0,39
六盘水市,18,0.0,18
兰州市,226,1.0,225
兴安盟,10,0.0,10
内江市,22,0.0,22
凉山彝族自治州,26,2.0,24
包头市,50,0.0,50
北京市,3262,3.0,3259
北海市,23,0.0,23
十堰市,42,0.0,42
南京市,939,1.0,938
南充市,33,0.0,33
南宁市,435,0.0,435
南平市,34,1.0,33
南昌市,228,0.0,228
南通市,125,0.0,125
南阳市,65,0.0,65
博尔塔拉蒙古自治州,3,0.0,3
厦门市,938,1.0,937
双河市,2,0.0,2
双鸭山市,1,0.0,1
台州市,65,0.0,65
合肥市,821,5.0,816
吉安市,35,0.0,35
吉林市,47,0.0,47
吐鲁番市,2,0.0,2
吕梁市,26,0.0,26
吴忠市,15,0.0,15
周口市,22,1.0,21
呼伦贝尔市,14,0.0,14
呼和浩特市,155,0.0,155
和田地区,4,0.0,4
咸宁市,27,0.0,27
咸阳市,72,3.0,69
哈密市,16,0.0,16
哈尔滨市,196,2.0,194
唐山市,63,1.0,62
商丘市,17,0.0,17
商洛市,10,0.0,10
喀什地区,22,0.0,22
嘉兴市,202,0.0,202
嘉峪关市,17,0.0,17
四平市,5,0.0,5
固原市,12,0.0,12
塔城地区,3,0.0,3
大兴安岭地区,3,0.0,3
大同市,20,0.0,20
大庆市,35,0.0,35
大理白族自治州,11,0.0,11
大连市,233,0.0,233
天水市,17,0.0,17
天津市,960,0.0,960
天门市,2,0.0,2
太原市,257,0.0,257
威海市,81,1.0,80
娄底市,30,1.0,29
孝感市,30,1.0,29
宁德市,62,0.0,62
宁波市,416,3.0,413
安庆市,41,0.0,41
安康市,20,0.0,20
安阳市,31,0.0,31
安顺市,14,0.0,14
定安县,1,0.0,1
定西市,14,0.0,14
宜宾市,35,1.0,34
宜昌市,92,0.0,92
宜春市,39,0.0,39
宝鸡市,87,1.0,86
宣城市,18,0.0,18
宿州市,34,0.0,34
宿迁市,66,0.0,66
屯昌县,2,0.0,2
山南市,2,0.0,2
山西转型综合改革示范区,3,0.0,3
岳阳市,22,1.0,21
崇左市,12,0.0,12
巴中市,13,0.0,13
巴彦淖尔市,6,0.0,6
