城市,新增,注销,净增加
七台河市,24,4.0,20
万宁市,76,11.0,65
三亚市,2274,176.0,2098
三明市,355,100.0,255
三门峡市,156,9.0,147
上海市,15687,699.0,14988
上饶市,505,63.0,442
东方市,210,104.0,106
东莞市,2672,219.0,2453
东营市,603,57.0,546
中卫市,58,4.0,54
中国（四川）自由贸易试验区,1,0.0,1
中山市,1198,87.0,1111
临夏回族自治州,42,1.0,41
临汾市,267,9.0,258
临沂市,2298,132.0,2166
临沧市,43,11.0,32
临高县,313,5.0,308
丹东市,123,13.0,110
丽水市,379,69.0,310
丽江市,59,10.0,49
乌兰察布市,73,8.0,65
乌海市,45,3.0,42
乌鲁木齐市,1437,100.0,1337
乐东黎族自治县,41,2.0,39
乐山市,122,34.0,88
九江市,936,88.0,848
云浮市,95,13.0,82
五家渠市,14,5.0,9
五指山市,56,0.0,56
亳州市,262,10.0,252
仙桃市,70,5.0,65
伊春市,11,0.0,11
伊犁哈萨克自治州,115,12.0,103
佛山市,3033,163.0,2870
佳木斯市,56,1.0,55
保亭黎族苗族自治县,21,3.0,18
保定市,319,65.0,254
保山市,39,9.0,30
信阳市,314,15.0,299
儋州市,767,76.0,691
克孜勒苏柯尔克孜自治州,18,1.0,17
克拉玛依市,71,7.0,64
六安市,356,17.0,339
六盘水市,102,3.0,99
兰州市,1046,21.0,1025
兴安盟,49,1.0,48
内江市,117,42.0,75
凉山彝族自治州,187,47.0,140
包头市,259,19.0,240
北京市,9626,44.0,9582
北屯市,3,0.0,3
北海市,283,27.0,256
十堰市,387,27.0,360
南京市,7805,506.0,7299
南充市,328,107.0,221
南宁市,3320,177.0,3143
南平市,275,98.0,177
南昌市,2117,211.0,1906
南通市,1240,112.0,1128
南阳市,591,22.0,569
博尔塔拉蒙古自治州,19,1.0,18
厦门市,6560,541.0,6019
双河市,6,0.0,6
双鸭山市,10,0.0,10
可克达拉市,2,0.0,2
台州市,813,149.0,664
合肥市,6752,556.0,6196
吉安市,400,42.0,358
吉林市,241,19.0,222
吐鲁番市,23,2.0,21
吕梁市,189,6.0,183
吴忠市,68,6.0,62
周口市,420,21.0,399
呼伦贝尔市,87,3.0,84
呼和浩特市,729,15.0,714
和田地区,111,5.0,106
咸宁市,268,10.0,258
咸阳市,502,133.0,369
哈密市,67,8.0,59
哈尔滨市,1279,103.0,1176
唐山市,201,26.0,175
商丘市,344,23.0,321
商洛市,81,26.0,55
喀什地区,245,15.0,230
嘉兴市,1252,224.0,1028
嘉峪关市,39,0.0,39
四平市,55,3.0,52
固原市,56,2.0,54
图木舒克市,24,2.0,22
塔城地区,32,7.0,25
大兴安岭地区,13,0.0,13
大同市,174,3.0,171
大庆市,134,4.0,130
大理白族自治州,84,25.0,59
大连市,1828,107.0,1721
天水市,96,1.0,95
天津市,5790,1018.0,4772
天门市,58,5.0,53
太原市,2625,213.0,2412
威海市,750,67.0,683
娄底市,90,14.0,76
孝感市,214,11.0,203
宁德市,517,193.0,324
宁波市,2967,389.0,2578
安庆市,318,18.0,300
安康市,213,53.0,160
安阳市,425,24.0,401
安顺市,104,1.0,103
定安县,42,4.0,38
定西市,88,2.0,86
宜宾市,369,120.0,249
宜昌市,478,39.0,439
宜春市,563,67.0,496
宝鸡市,346,85.0,261
宣城市,172,6.0,166
宿州市,384,13.0,371
宿迁市,734,81.0,653
屯昌县,72,1.0,71
山南市,20,1.0,19
山西转型综合改革示范区,83,7.0,76
岳阳市,221,41.0,180
崇左市,48,10.0,38
巴中市,116,37.0,79
巴彦淖尔市,66,5.0,61
巴音郭楞蒙古自治州,178,9.0,169
常州市,1224,69.0,1155
常德市,96,21.0,75
平凉市,97,2.0,95
平顶山市,247,14.0,233
广元市,140,41.0,99
广安市,165,61.0,104
广州市,28820,5720.0,23100
庆阳市,125,3.0,122
廊坊市,252,77.0,175
延安市,226,52.0,174
延边朝鲜族自治州,121,7.0,114
开封市,325,25.0,300
张家口市,128,13.0,115
张家界市,46,10.0,36
张掖市,93,0.0,93
徐州市,1917,142.0,1775
德宏傣族景颇族自治州,32,7.0,25
德州市,745,79.0,666
德阳市,256,72.0,184
忻州市,108,5.0,103
怀化市,118,20.0,98
怒江傈僳族自治州,19,3.0,16
恩施土家族苗族自治州,242,16.0,226
惠州市,1700,111.0,1589
成都市,12456,3441.0,9015
扬州市,803,73.0,730
承德市,44,7.0,37
抚州市,300,35.0,265
抚顺市,254,49.0,205
拉萨市,266,10.0,256
揭阳市,138,8.0,130
攀枝花市,109,25.0,84
文山壮族苗族自治州,75,18.0,57
文昌市,668,58.0,610
新乡市,501,24.0,477
新余市,170,21.0,149
新星市,8,0.0,8
无锡市,2155,150.0,2005
日喀则市,28,0.0,28
日照市,601,76.0,525
昆明市,1827,337.0,1490
昆玉市,7,1.0,6
昌吉回族自治州,134,8.0,126
昌江黎族自治县,10,3.0,7
昌都市,19,0.0,19
昭通市,121,29.0,92
晋中市,272,11.0,261
晋城市,170,4.0,166
普洱市,48,10.0,38
景德镇市,113,13.0,100
曲靖市,163,40.0,123
朔州市,56,3.0,53
朝阳市,157,16.0,141
本溪市,52,1.0,51
来宾市,63,5.0,58
杭州市,10346,1299.0,9047
松原市,94,9.0,85
林芝市,21,1.0,20
果洛藏族自治州,6,0.0,6
枣庄市,701,57.0,644
柳州市,549,48.0,501
株洲市,290,72.0,218
桂林市,481,41.0,440
梅州市,214,26.0,188
梧州市,172,11.0,161
