城市,全部企业
三亚市,8
三明市,12
三门峡市,4
上海市,1119
上饶市,7
东方市,1
东莞市,85
东营市,34
中卫市,2
中山市,44
临夏回族自治州,1
临汾市,9
临沂市,49
临沧市,2
丹东市,17
丽水市,17
丽江市,5
乌兰察布市,2
乌海市,1
乌鲁木齐市,121
乐山市,4
九江市,11
云浮市,1
亳州市,1
仙桃市,2
伊春市,1
伊犁哈萨克自治州,7
佛山市,125
佳木斯市,4
保定市,21
保山市,1
信阳市,1
克拉玛依市,10
六安市,6
六盘水市,1
兰州市,131
兴安盟,1
内江市,9
凉山彝族自治州,5
包头市,19
北京市,2082
北海市,10
十堰市,22
南京市,386
南充市,12
南宁市,122
南平市,7
南昌市,75
南通市,53
南阳市,17
博尔塔拉蒙古自治州,3
厦门市,316
双鸭山市,1
台州市,35
合肥市,162
吉安市,3
吉林市,19
吐鲁番市,1
吕梁市,3
吴忠市,2
周口市,3
呼伦贝尔市,2
呼和浩特市,43
和田地区,2
咸宁市,5
咸阳市,13
哈尔滨市,91
唐山市,32
商丘市,1
商洛市,2
嘉兴市,58
四平市,3
固原市,2
塔城地区,3
大同市,6
大庆市,15
大理白族自治州,2
大连市,105
天水市,9
天津市,315
太原市,115
威海市,19
娄底市,10
孝感市,6
宁德市,12
宁波市,152
安庆市,12
安康市,8
安阳市,9
定西市,4
宜宾市,12
宜昌市,26
宜春市,13
宝鸡市,17
宣城市,2
宿州市,6
宿迁市,7
山南市,1
岳阳市,13
崇左市,4
巴中市,1
巴彦淖尔市,2
巴音郭楞蒙古自治州,16
常州市,65
常德市,6
平凉市,2
平顶山市,7
广元市,4
广安市,3
广州市,1060
庆阳市,7
廊坊市,19
延安市,8
延边朝鲜族自治州,4
开封市,4
张家口市,7
张家界市,4
张掖市,4
徐州市,49
德宏傣族景颇族自治州,1
德州市,15
德阳市,17
忻州市,1
怀化市,5
恩施土家族苗族自治州,8
惠州市,38
成都市,453
扬州市,54
承德市,7
抚州市,1
抚顺市,1
拉萨市,12
揭阳市,8
攀枝花市,2
文山壮族苗族自治州,1
新乡市,21
新余市,3
无锡市,156
日喀则市,1
日照市,16
昆明市,137
昌吉回族自治州,5
昌都市,1
昭通市,1
晋中市,11
晋城市,7
普洱市,3
景德镇市,3
曲靖市,8
朔州市,7
朝阳市,5
本溪市,5
来宾市,5
杭州市,532
枣庄市,20
柳州市,24
株洲市,24
桂林市,21
梅州市,9
梧州市,4
楚雄彝族自治州,6
榆林市,14
武威市,4
武汉市,356
毕节市,1
永州市,1
汉中市,6
汕头市,34
汕尾市,2
江门市,20
池州市,3
沈阳市,144
沧州市,13
河源市,2
泉州市,88
泰安市,26
泰州市,32
泸州市,10
洛阳市,25
济南市,264
济宁市,42
济源市,2
海东市,2
海口市,100
淄博市,55
淮北市,4
淮南市,7
淮安市,13
深圳市,629
清远市,3
温州市,124
渭南市,5
湖州市,35
湘潭市,11
湘西土家族苗族自治州,2
湛江市,21
滁州市,7
滨州市,16
漯河市,4
漳州市,42
潍坊市,43
潜江市,2
潮州市,8
澄迈县,2
濮阳市,6
烟台市,68
焦作市,7
牡丹江市,4
玉林市,8
玉溪市,2
珠海市,174
甘南藏族自治州,1
白银市,1
百色市,5
益阳市,9
盐城市,40
盘锦市,6
眉山市,10
石嘴山市,2
石家庄市,68
石河子市,3
福州市,299
秦皇岛市,17
红河哈尼族彝族自治州,6
绍兴市,37
绵阳市,32
聊城市,15
肇庆市,12
自贡市,11
舟山市,6
芜湖市,10
苏州市,284
茂名市,9
荆州市,13
荆门市,10
莆田市,8
菏泽市,11
萍乡市,7
营口市,6
葫芦岛市,4
蚌埠市,6
衡水市,2
衡阳市,8
衢州市,11
襄阳市,12
西双版纳傣族自治州,1
西宁市,36
西安市,518
西藏自治区,1
许昌市,1
贵港市,8
贵阳市,88
资阳市,4
赣州市,11
赤峰市,3
辽源市,2
辽阳市,4
达州市,2
运城市,6
连云港市,15
迪庆藏族自治州,1
通化市,4
通辽市,1
遂宁市,2
遵义市,7
邢台市,7
邯郸市,6
邵阳市,5
郑州市,190
郴州市,4
鄂尔多斯市,6
鄂州市,4
酒泉市,7
重庆市,350
金华市,50
金昌市,4
钦州市,3
铁岭市,3
铜川市,4
铜陵市,3
银川市,49
锡林郭勒盟,1
锦州市,5
镇江市,32
长春市,89
长沙市,187
长治市,14
阜新市,1
阜阳市,6
防城港市,3
阳江市,2
阳泉市,6
阿克苏地区,5
阿勒泰地区,1
阿坝藏族羌族自治州,1
阿拉善盟,1
陇南市,1
随州市,3
青岛市,267
鞍山市,23
韶关市,10
马鞍山市,9
驻马店市,2
鸡西市,1
鹤壁市,3
鹤岗市,1
鹰潭市,4
黄冈市,6
黄山市,5
黄石市,12
黑河市,1
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,1
黔西南布依族苗族自治州,3
齐齐哈尔市,2
龙岩市,17
