城市,全部企业
七台河市,113
万宁市,375
三亚市,14040
三明市,1885
三沙市,11
三门峡市,711
上海市,92397
上饶市,2778
东方市,738
东莞市,17288
东营市,3021
中卫市,268
中国（四川）自由贸易试验区,2
中国（江苏）自由贸易试验区苏州片区,41
中山市,6152
临夏回族自治州,267
临汾市,1361
临沂市,9296
临沧市,568
临高县,373
丹东市,558
丽水市,1779
丽江市,437
乌兰察布市,503
乌海市,264
乌鲁木齐市,9071
乐东黎族自治县,245
乐山市,678
九江市,4567
云浮市,359
五家渠市,110
五指山市,172
亳州市,1326
仙桃市,365
伊春市,100
伊犁哈萨克自治州,1111
佛山市,14299
佳木斯市,501
保亭黎族苗族自治县,107
保定市,6486
保山市,396
信阳市,1713
儋州市,2828
克孜勒苏柯尔克孜自治州,132
克拉玛依市,400
六安市,2228
六盘水市,1021
兰州市,7681
兴安盟,376
内江市,704
凉山彝族自治州,915
包头市,1827
北京市,141290
北屯市,36
北海市,1113
十堰市,2149
南京市,39752
南充市,1736
南宁市,17364
南平市,1294
南昌市,11292
南通市,7144
南阳市,3689
博尔塔拉蒙古自治州,176
厦门市,31033
双河市,45
双鸭山市,129
可克达拉市,54
台州市,3744
合肥市,31993
吉安市,2024
吉林市,1336
吐鲁番市,129
吕梁市,852
吴忠市,392
周口市,2354
呼伦贝尔市,532
呼和浩特市,5313
和田地区,532
咸宁市,1611
咸阳市,5759
哈密市,410
哈尔滨市,8110
唐山市,2900
商丘市,1747
商洛市,357
喀什地区,1442
嘉兴市,6175
嘉峪关市,268
四平市,331
固原市,340
图木舒克市,125
塔城地区,228
大兴安岭地区,39
大同市,975
大庆市,1218
大理白族自治州,705
大连市,9155
天水市,626
天津市,32459
天门市,292
太原市,12969
威海市,3183
娄底市,1209
孝感市,1345
宁德市,2767
宁波市,15507
安庆市,2100
安康市,915
安阳市,2467
安顺市,806
定安县,158
定西市,610
宜宾市,1906
宜昌市,4240
宜春市,2704
宝鸡市,3613
宣城市,963
宿州市,1996
宿迁市,3631
屯昌县,174
山南市,126
山西转型综合改革示范区,210
岳阳市,1579
崇左市,364
巴中市,606
巴彦淖尔市,424
巴音郭楞蒙古自治州,845
常州市,7252
常德市,948
平凉市,562
平顶山市,1439
广元市,717
广安市,703
广州市,105617
庆阳市,1184
廊坊市,3371
延安市,1101
延边朝鲜族自治州,632
开封市,1725
张家口市,1935
张家界市,513
张掖市,721
徐州市,9350
德宏傣族景颇族自治州,285
德州市,3490
德阳市,1302
忻州市,585
怀化市,1037
怒江傈僳族自治州,91
恩施土家族苗族自治州,1754
惠州市,8022
成都市,64347
扬州市,4575
承德市,1012
抚州市,1522
抚顺市,750
拉萨市,2267
揭阳市,701
攀枝花市,438
文山壮族苗族自治州,609
文昌市,1025
新乡市,2332
新余市,817
新星市,87
无锡市,12104
日喀则市,190
日照市,2936
昆明市,20227
昆玉市,32
昌吉回族自治州,719
昌江黎族自治县,56
昌都市,149
昭通市,746
晋中市,1333
晋城市,1116
普洱市,446
景德镇市,636
曲靖市,1392
朔州市,499
朝阳市,781
本溪市,273
来宾市,384
杭州市,61029
松原市,531
林芝市,127
果洛藏族自治州,10
枣庄市,3293
柳州市,2670
株洲市,2346
