城市,全部企业
三亚市,5
三明市,4
三门峡市,2
上海市,394
上饶市,2
东莞市,29
东营市,11
中卫市,1
中山市,13
临夏回族自治州,1
临汾市,4
临沂市,17
丹东市,7
丽水市,6
丽江市,2
乌海市,1
乌鲁木齐市,43
乐山市,3
九江市,4
仙桃市,1
伊春市,1
伊犁哈萨克自治州,4
佛山市,51
佳木斯市,1
保定市,10
保山市,1
信阳市,1
克拉玛依市,5
六安市,2
兰州市,55
内江市,4
凉山彝族自治州,2
包头市,7
北京市,701
北海市,5
十堰市,8
南京市,143
南充市,6
南宁市,45
南平市,1
南昌市,30
南通市,15
南阳市,3
博尔塔拉蒙古自治州,1
厦门市,135
双鸭山市,1
台州市,18
合肥市,54
吉安市,2
吉林市,9
吕梁市,1
周口市,1
呼伦贝尔市,1
呼和浩特市,15
和田地区,1
咸宁市,1
咸阳市,7
哈尔滨市,46
唐山市,12
嘉兴市,31
四平市,2
固原市,1
塔城地区,2
大同市,5
大庆市,8
大理白族自治州,1
大连市,33
天水市,2
天津市,136
太原市,46
威海市,9
娄底市,1
孝感市,5
宁德市,7
宁波市,67
安庆市,5
安康市,3
安阳市,4
定西市,2
宜宾市,5
宜昌市,5
宜春市,5
宝鸡市,7
宣城市,1
宿州市,1
宿迁市,4
山南市,1
岳阳市,7
崇左市,2
巴音郭楞蒙古自治州,7
常州市,33
常德市,3
平顶山市,5
广元市,1
广安市,1
广州市,452
庆阳市,2
廊坊市,6
延安市,3
延边朝鲜族自治州,2
开封市,2
张家口市,2
张家界市,2
张掖市,2
徐州市,25
德州市,9
德阳市,13
忻州市,1
怀化市,1
恩施土家族苗族自治州,3
惠州市,14
成都市,174
扬州市,22
承德市,3
抚州市,1
拉萨市,3
揭阳市,6
攀枝花市,1
文山壮族苗族自治州,1
新乡市,7
无锡市,61
日喀则市,1
日照市,3
昆明市,53
晋中市,4
晋城市,2
景德镇市,2
曲靖市,4
朔州市,4
朝阳市,1
本溪市,3
来宾市,3
杭州市,188
枣庄市,8
柳州市,11
株洲市,6
桂林市,14
梅州市,4
梧州市,4
楚雄彝族自治州,2
榆林市,4
武威市,1
武汉市,148
汉中市,3
汕头市,21
汕尾市,1
江门市,13
池州市,1
沈阳市,61
沧州市,7
泉州市,45
泰安市,8
泰州市,10
泸州市,3
洛阳市,11
济南市,92
济宁市,16
济源市,1
海东市,2
海口市,40
淄博市,23
淮北市,1
淮南市,2
淮安市,8
深圳市,222
温州市,75
渭南市,4
湖州市,18
湘潭市,4
湘西土家族苗族自治州,2
湛江市,7
滁州市,1
滨州市,5
漯河市,1
漳州市,21
潍坊市,15
潜江市,1
潮州市,4
澄迈县,1
濮阳市,4
烟台市,25
焦作市,3
牡丹江市,1
玉林市,5
玉溪市,1
珠海市,86
甘南藏族自治州,1
百色市,4
益阳市,4
盐城市,14
眉山市,2
石嘴山市,1
石家庄市,26
石河子市,1
福州市,108
秦皇岛市,9
红河哈尼族彝族自治州,3
绍兴市,19
绵阳市,8
聊城市,6
肇庆市,6
自贡市,4
舟山市,5
芜湖市,3
苏州市,100
茂名市,5
荆州市,9
荆门市,3
莆田市,5
菏泽市,4
萍乡市,2
营口市,3
葫芦岛市,1
蚌埠市,2
衡水市,1
衡阳市,2
衢州市,3
襄阳市,5
西双版纳傣族自治州,1
西宁市,17
西安市,201
西藏自治区,1
许昌市,1
贵港市,5
贵阳市,43
赣州市,4
赤峰市,1
辽阳市,2
运城市,2
连云港市,4
迪庆藏族自治州,1
通化市,2
遂宁市,1
遵义市,3
邢台市,4
邯郸市,2
邵阳市,2
郑州市,80
郴州市,2
鄂尔多斯市,1
酒泉市,5
重庆市,160
金华市,21
金昌市,3
钦州市,1
铜川市,2
铜陵市,1
银川市,21
锡林郭勒盟,1
锦州市,1
镇江市,17
长春市,33
长沙市,79
长治市,2
阜新市,1
阜阳市,5
防城港市,2
阳泉市,2
随州市,1
青岛市,128
鞍山市,13
韶关市,2
驻马店市,1
鹤壁市,2
鹰潭市,1
黄冈市,1
黄山市,2
黄石市,5
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,1
黔西南布依族苗族自治州,2
龙岩市,3
