城市,全部企业
七台河市,46
万宁市,124
三亚市,4039
三明市,849
三沙市,12
三门峡市,288
上海市,37339
上饶市,1275
东方市,189
东莞市,6125
东营市,1499
中卫市,128
中国（四川）自由贸易试验区,1
中国（江苏）自由贸易试验区苏州片区,1
中山市,2657
临夏回族自治州,99
临汾市,537
临沂市,4731
临沧市,111
临高县,328
丹东市,326
丽水市,907
丽江市,134
乌兰察布市,190
乌海市,104
乌鲁木齐市,3878
乐东黎族自治县,78
乐山市,230
九江市,1651
云浮市,166
五家渠市,42
五指山市,73
亳州市,422
仙桃市,143
伊春市,30
伊犁哈萨克自治州,430
佛山市,6666
佳木斯市,126
保亭黎族苗族自治县,48
保定市,1202
保山市,105
信阳市,707
儋州市,1084
克孜勒苏柯尔克孜自治州,50
克拉玛依市,179
六安市,675
六盘水市,251
兰州市,3292
兴安盟,121
内江市,236
凉山彝族自治州,378
包头市,767
北京市,42123
北屯市,14
北海市,608
十堰市,827
南京市,21164
南充市,716
南宁市,8467
南平市,507
南昌市,5051
南通市,3054
南阳市,1279
博尔塔拉蒙古自治州,52
厦门市,16970
双河市,12
双鸭山市,29
可克达拉市,9
台州市,1947
合肥市,14657
吉安市,963
吉林市,619
吐鲁番市,51
吕梁市,349
吴忠市,169
周口市,769
呼伦贝尔市,212
呼和浩特市,1965
和田地区,222
咸宁市,505
咸阳市,1033
哈密市,184
哈尔滨市,3512
唐山市,876
商丘市,568
商洛市,146
喀什地区,521
嘉兴市,3369
嘉峪关市,127
四平市,140
固原市,167
图木舒克市,31
塔城地区,78
大兴安岭地区,24
大同市,379
大庆市,454
大理白族自治州,186
大连市,4733
天水市,271
天津市,16934
天门市,100
太原市,5411
威海市,1600
娄底市,288
孝感市,453
宁德市,1365
宁波市,8614
安庆市,731
安康市,416
安阳市,742
安顺市,210
定安县,56
定西市,204
宜宾市,717
宜昌市,1192
宜春市,1242
宝鸡市,1023
宣城市,340
宿州市,672
宿迁市,1697
屯昌县,88
山南市,49
山西转型综合改革示范区,101
岳阳市,464
崇左市,151
巴中市,210
巴彦淖尔市,158
巴音郭楞蒙古自治州,460
常州市,3453
常德市,258
平凉市,269
平顶山市,523
广元市,296
广安市,293
广州市,55438
庆阳市,375
廊坊市,667
延安市,492
延边朝鲜族自治州,269
开封市,673
张家口市,400
张家界市,128
张掖市,285
徐州市,4739
德宏傣族景颇族自治州,75
德州市,1582
德阳市,545
忻州市,232
怀化市,276
怒江傈僳族自治州,32
恩施土家族苗族自治州,572
惠州市,3404
成都市,22205
扬州市,2331
承德市,195
抚州市,713
抚顺市,466
拉萨市,735
揭阳市,286
攀枝花市,229
文山壮族苗族自治州,149
文昌市,753
新乡市,969
新余市,399
新星市,15
无锡市,5749
日喀则市,50
日照市,1409
昆明市,4725
昆玉市,8
昌吉回族自治州,318
昌江黎族自治县,26
昌都市,44
昭通市,211
晋中市,552
晋城市,457
普洱市,107
景德镇市,274
曲靖市,333
朔州市,186
朝阳市,385
本溪市,149
来宾市,168
杭州市,28786
松原市,230
林芝市,44
果洛藏族自治州,8
枣庄市,1581
柳州市,1453
株洲市,716
桂林市,1150
梅州市,506
梧州市,346
楚雄彝族自治州,189
榆林市,1287
武威市,214
武汉市,16332
毕节市,273
永州市,264
汉中市,500
汕头市,813
汕尾市,249
江西省赣江新区直管区,1
江门市,844
池州市,219
沈阳市,7416
沧州市,330
河池市,241
河源市,595
泉州市,4264
泰安市,2021
泰州市,1506
泸州市,572
洛阳市,1951
济南市,17010
济宁市,3024
济源市,128
海东市,139
海北藏族自治州,25
海南省洋浦经济开发区,8
海南藏族自治州,41
海口市,14719
海西蒙古族藏族自治州,111
淄博市,2410
淮北市,357
淮南市,393
淮安市,1451
深圳市,43678
清远市,299
温州市,5162
渭南市,562
湖州市,1975
湘潭市,326
湘西土家族苗族自治州,117
湛江市,825
滁州市,618
滨州市,1558
漯河市,361
漳州市,2051
潍坊市,3954
潜江市,44
潮州市,302
澄迈县,1506
濮阳市,430
烟台市,3916
焦作市,461
牡丹江市,231
玉林市,637
玉树藏族自治州,13
玉溪市,135
珠海市,5424
琼中黎族苗族自治县,31
琼海市,519
甘南藏族自治州,51
甘孜藏族自治州,63
白城市,89
白山市,111
白沙黎族自治县,12
白银市,224
百色市,327
益阳市,271
盐城市,2011
盘锦市,306
眉山市,383
石嘴山市,142
石家庄市,1927
石河子市,127
神农架林区,16
福州市,14595
秦皇岛市,242
红河哈尼族彝族自治州,208
绍兴市,2288
绥化市,146
绵阳市,1753
聊城市,1727
肇庆市,532
胡杨河市,22
自贡市,363
舟山市,533
芜湖市,1719
苏州市,18914
茂名市,578
荆州市,537
荆门市,364
莆田市,1574
菏泽市,1878
萍乡市,1048
营口市,489
葫芦岛市,269
蚌埠市,600
衡水市,275
衡阳市,545
衢州市,751
襄阳市,1150
西双版纳傣族自治州,146
西宁市,1720
西安市,28723
西藏自治区,1
许昌市,690
贵州省贵安新区,1
贵港市,389
贵阳市,5671
贺州市,232
资阳市,172
赣州市,2248
赤峰市,414
辽宁省沈抚示范区,1
辽源市,66
辽阳市,199
达州市,328
运城市,666
连云港市,1416
迪庆藏族自治州,39
通化市,154
通辽市,295
遂宁市,263
遵义市,606
邢台市,282
那曲市,23
邯郸市,483
邵阳市,306
郑州市,13242
郴州市,387
鄂尔多斯市,744
鄂州市,227
酒泉市,336
重庆市,20647
金华市,4508
金昌市,105
钦州市,540
铁岭市,177
铁门关市,27
铜仁市,248
铜川市,192
铜陵市,221
银川市,2774
锡林郭勒盟,157
锦州市,336
镇江市,1546
长春市,4711
长沙市,10333
长治市,638
阜新市,189
阜阳市,1087
防城港市,189
阳江市,177
阳泉市,235
阿克苏地区,369
阿勒泰地区,68
阿坝藏族羌族自治州,48
阿拉善盟,44
阿拉尔市,68
阿里地区,12
陇南市,175
陵水黎族自治县,386
随州市,283
雄安新区,1
雅安市,146
青岛市,13922
鞍山市,555
韶关市,494
马鞍山市,598
驻马店市,468
鸡西市,78
鹤壁市,375
鹤岗市,41
鹰潭市,265
黄冈市,631
黄南藏族自治州,10
黄山市,184
黄石市,526
黑河市,94
黔东南苗族侗族自治州,236
黔南布依族苗族自治州,298
黔西南布依族苗族自治州,271
齐齐哈尔市,163
龙岩市,1404
