城市,全部企业
七台河市,92
万宁市,287
三亚市,12240
三明市,1459
三沙市,12
三门峡市,557
上海市,72082
上饶市,2297
东方市,693
东莞市,11311
东营市,2665
中卫市,198
中国（四川）自由贸易试验区,1
中国（江苏）自由贸易试验区苏州片区,2
中山市,4894
临夏回族自治州,200
临汾市,1074
临沂市,8144
临沧市,239
临高县,374
丹东市,470
丽水市,1484
丽江市,284
乌兰察布市,376
乌海市,208
乌鲁木齐市,6656
乐东黎族自治县,201
乐山市,465
九江市,4027
云浮市,286
五家渠市,73
五指山市,141
亳州市,1089
仙桃市,281
伊春市,86
伊犁哈萨克自治州,746
佛山市,11657
佳木斯市,349
保亭黎族苗族自治县,83
保定市,3459
保山市,284
信阳市,1303
儋州市,2668
克孜勒苏柯尔克孜自治州,80
克拉玛依市,283
六安市,1846
六盘水市,697
兰州市,5959
兴安盟,245
内江市,455
凉山彝族自治州,653
包头市,1425
北京市,103656
北屯市,25
北海市,947
十堰市,1593
南京市,32418
南充市,1229
南宁市,14507
南平市,957
南昌市,8843
南通市,5549
南阳市,2686
博尔塔拉蒙古自治州,116
厦门市,25874
双河市,28
双鸭山市,95
可克达拉市,36
台州市,3095
合肥市,26012
吉安市,1650
吉林市,1066
吐鲁番市,85
吕梁市,653
吴忠市,299
周口市,1662
呼伦贝尔市,427
呼和浩特市,3929
和田地区,383
咸宁市,1074
咸阳市,4524
哈密市,277
哈尔滨市,6398
唐山市,1855
商丘市,1246
商洛市,275
喀什地区,964
嘉兴市,5134
嘉峪关市,219
四平市,261
固原市,279
图木舒克市,97
塔城地区,132
大兴安岭地区,25
大同市,714
大庆市,946
大理白族自治州,472
大连市,8033
天水市,502
天津市,26876
天门市,207
太原市,10171
威海市,2680
娄底市,751
孝感市,876
宁德市,2205
宁波市,13109
安庆市,1549
安康市,697
安阳市,1588
安顺市,551
定安县,132
定西市,431
宜宾市,1340
宜昌市,2632
宜春市,2245
宝鸡市,3238
宣城市,694
宿州市,1584
宿迁市,2741
屯昌县,162
山南市,89
山西转型综合改革示范区,53
岳阳市,1111
崇左市,271
巴中市,389
巴彦淖尔市,319
巴音郭楞蒙古自治州,682
常州市,5709
常德市,597
平凉市,467
平顶山市,1093
广元市,494
广安市,475
广州市,85202
庆阳市,755
廊坊市,1853
延安市,841
延边朝鲜族自治州,495
开封市,1362
张家口市,1113
张家界市,296
张掖市,547
徐州市,7586
德宏傣族景颇族自治州,187
德州市,2878
德阳市,956
忻州市,476
怀化市,630
怒江傈僳族自治州,61
恩施土家族苗族自治州,1225
惠州市,6258
成都市,46282
扬州市,3677
承德市,524
抚州市,1280
抚顺市,704
拉萨市,1614
揭阳市,548
攀枝花市,348
文山壮族苗族自治州,357
文昌市,1925
新乡市,1806
新余市,710
新星市,40
无锡市,9513
日喀则市,122
日照市,2521
昆明市,14371
昆玉市,20
昌吉回族自治州,503
昌江黎族自治县,41
昌都市,94
昭通市,473
晋中市,1035
晋城市,928
普洱市,286
景德镇市,496
曲靖市,882
朔州市,385
朝阳市,647
本溪市,220
来宾市,299
杭州市,47332
松原市,393
林芝市,79
果洛藏族自治州,14
枣庄市,2780
柳州市,2265
株洲市,1569
桂林市,1821
梅州市,936
梧州市,548
楚雄彝族自治州,450
榆林市,2286
武威市,368
武汉市,33155
毕节市,793
永州市,681
汉中市,937
汕头市,1377
汕尾市,518
江门市,1571
池州市,418
沈阳市,12471
沧州市,792
河池市,388
河源市,967
泉州市,7603
泰安市,3814
泰州市,2442
