城市,全部企业
三亚市,6
三明市,5
三门峡市,2
上海市,513
上饶市,2
东莞市,40
东营市,17
中卫市,1
中山市,18
临夏回族自治州,1
临汾市,6
临沂市,22
临沧市,1
丹东市,11
丽水市,8
丽江市,2
乌兰察布市,1
乌海市,1
乌鲁木齐市,55
乐山市,3
九江市,5
仙桃市,1
伊春市,1
伊犁哈萨克自治州,5
佛山市,61
佳木斯市,1
保定市,13
保山市,1
信阳市,1
克拉玛依市,5
六安市,2
兰州市,67
内江市,5
凉山彝族自治州,3
包头市,10
北京市,963
北海市,6
十堰市,11
南京市,190
南充市,10
南宁市,55
南平市,3
南昌市,42
南通市,21
南阳市,4
博尔塔拉蒙古自治州,1
厦门市,170
双鸭山市,1
台州市,22
合肥市,70
吉安市,2
吉林市,11
吕梁市,1
吴忠市,1
周口市,3
呼伦贝尔市,2
呼和浩特市,20
和田地区,1
咸宁市,2
咸阳市,8
哈尔滨市,55
唐山市,15
商丘市,1
嘉兴市,39
四平市,2
固原市,1
塔城地区,2
大同市,6
大庆市,9
大理白族自治州,2
大连市,45
天水市,2
天津市,173
太原市,57
威海市,10
娄底市,3
孝感市,5
宁德市,8
宁波市,86
安庆市,7
安康市,4
安阳市,7
定西市,3
宜宾市,6
宜昌市,9
宜春市,5
宝鸡市,9
宣城市,1
宿州市,2
宿迁市,5
山南市,1
岳阳市,9
崇左市,3
巴中市,1
巴音郭楞蒙古自治州,8
常州市,38
常德市,4
平顶山市,5
广元市,1
广安市,2
广州市,564
庆阳市,2
廊坊市,6
延安市,4
延边朝鲜族自治州,2
开封市,3
张家口市,3
张家界市,2
张掖市,2
徐州市,28
德宏傣族景颇族自治州,1
德州市,10
德阳市,14
忻州市,1
怀化市,1
恩施土家族苗族自治州,4
惠州市,20
成都市,233
扬州市,29
承德市,5
抚州市,1
拉萨市,6
揭阳市,7
攀枝花市,2
文山壮族苗族自治州,1
新乡市,8
新余市,1
无锡市,80
日喀则市,1
日照市,3
昆明市,67
昌都市,1
晋中市,5
晋城市,2
普洱市,1
景德镇市,2
曲靖市,4
朔州市,4
朝阳市,1
本溪市,4
来宾市,4
杭州市,257
枣庄市,9
柳州市,14
株洲市,10
桂林市,14
梅州市,4
梧州市,4
楚雄彝族自治州,2
榆林市,6
武威市,1
武汉市,190
永州市,1
汉中市,4
汕头市,24
汕尾市,2
江门市,14
池州市,1
沈阳市,75
沧州市,9
泉州市,54
泰安市,13
泰州市,13
泸州市,4
洛阳市,15
济南市,127
济宁市,17
济源市,1
海东市,2
海口市,46
淄博市,28
淮北市,1
淮南市,2
淮安市,9
深圳市,267
温州市,89
渭南市,5
湖州市,24
湘潭市,7
湘西土家族苗族自治州,2
湛江市,9
滁州市,3
滨州市,5
漯河市,2
漳州市,24
潍坊市,20
潜江市,1
潮州市,4
澄迈县,1
濮阳市,4
烟台市,38
焦作市,3
牡丹江市,1
玉林市,5
玉溪市,2
珠海市,107
甘南藏族自治州,1
百色市,5
益阳市,5
盐城市,15
眉山市,2
石嘴山市,1
石家庄市,31
石河子市,2
福州市,136
秦皇岛市,10
红河哈尼族彝族自治州,3
绍兴市,22
绵阳市,12
聊城市,8
肇庆市,8
自贡市,5
舟山市,5
芜湖市,4
苏州市,136
茂名市,8
荆州市,10
荆门市,4
莆田市,5
菏泽市,6
萍乡市,5
营口市,4
葫芦岛市,2
蚌埠市,2
衡水市,1
衡阳市,3
衢州市,5
襄阳市,8
西双版纳傣族自治州,1
西宁市,20
西安市,267
西藏自治区,1
许昌市,1
贵港市,5
贵阳市,50
资阳市,1
赣州市,5
赤峰市,2
辽源市,1
辽阳市,3
达州市,1
运城市,2
连云港市,4
迪庆藏族自治州,1
通化市,3
遂宁市,1
遵义市,4
邢台市,4
邯郸市,2
邵阳市,2
郑州市,89
郴州市,2
鄂尔多斯市,3
鄂州市,1
酒泉市,5
重庆市,190
金华市,30
金昌市,3
钦州市,2
铜川市,2
铜陵市,2
银川市,27
锡林郭勒盟,1
锦州市,4
镇江市,18
长春市,45
长沙市,100
长治市,7
阜新市,1
阜阳市,5
防城港市,2
阳江市,1
阳泉市,3
阿克苏地区,1
随州市,2
青岛市,155
鞍山市,15
韶关市,6
马鞍山市,4
驻马店市,1
鹤壁市,2
鹰潭市,3
黄冈市,2
黄山市,2
黄石市,8
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,1
黔西南布依族苗族自治州,3
龙岩市,6
