城市,全部企业
三亚市,5
三明市,4
三门峡市,1
上海市,304
上饶市,2
东莞市,21
东营市,5
中卫市,1
中山市,10
临夏回族自治州,1
临汾市,3
临沂市,12
丹东市,7
丽水市,6
丽江市,2
乌海市,1
乌鲁木齐市,34
乐山市,2
九江市,3
仙桃市,1
伊犁哈萨克自治州,3
佛山市,45
佳木斯市,1
保定市,8
信阳市,1
克拉玛依市,2
六安市,1
兰州市,43
内江市,3
凉山彝族自治州,2
包头市,3
北京市,519
北海市,4
十堰市,5
南京市,103
南充市,2
南宁市,30
南平市,1
南昌市,28
南通市,13
南阳市,2
博尔塔拉蒙古自治州,1
厦门市,108
双鸭山市,1
台州市,14
合肥市,41
吉安市,2
吉林市,7
呼伦贝尔市,1
呼和浩特市,11
和田地区,1
咸宁市,1
咸阳市,6
哈尔滨市,40
唐山市,8
嘉兴市,26
四平市,2
固原市,1
塔城地区,2
大同市,4
大庆市,6
大理白族自治州,1
大连市,26
天水市,2
天津市,101
太原市,41
威海市,7
娄底市,1
孝感市,5
宁德市,6
宁波市,47
安庆市,4
安康市,3
安阳市,4
定西市,1
宜宾市,4
宜昌市,4
宜春市,2
宝鸡市,7
宣城市,1
宿迁市,2
山南市,1
岳阳市,7
崇左市,2
巴音郭楞蒙古自治州,7
常州市,25
常德市,3
平顶山市,4
广元市,1
广安市,1
广州市,368
庆阳市,1
廊坊市,6
延安市,2
延边朝鲜族自治州,1
开封市,1
张家口市,2
张家界市,1
张掖市,2
徐州市,21
德州市,8
德阳市,9
忻州市,1
怀化市,1
恩施土家族苗族自治州,2
惠州市,9
成都市,130
扬州市,9
承德市,2
拉萨市,3
揭阳市,4
新乡市,4
无锡市,42
日喀则市,1
日照市,2
昆明市,45
晋中市,2
景德镇市,1
曲靖市,3
朔州市,3
朝阳市,1
本溪市,3
来宾市,2
杭州市,141
枣庄市,7
柳州市,10
株洲市,5
桂林市,7
梅州市,3
梧州市,4
榆林市,3
武威市,1
武汉市,114
汉中市,2
汕头市,16
汕尾市,1
江门市,9
沈阳市,50
沧州市,5
泉州市,39
泰安市,4
泰州市,7
泸州市,2
洛阳市,9
济南市,74
济宁市,13
济源市,1
海口市,32
淄博市,17
淮北市,1
淮南市,1
淮安市,5
深圳市,162
温州市,61
渭南市,3
湖州市,11
湘潭市,3
湘西土家族苗族自治州,2
湛江市,5
滁州市,1
滨州市,3
漯河市,1
漳州市,19
潍坊市,10
潜江市,1
潮州市,4
澄迈县,1
濮阳市,3
烟台市,16
玉林市,5
玉溪市,1
珠海市,69
甘南藏族自治州,1
百色市,4
益阳市,4
盐城市,12
眉山市,1
石嘴山市,1
石家庄市,18
石河子市,1
福州市,83
秦皇岛市,5
红河哈尼族彝族自治州,2
绍兴市,15
绵阳市,5
聊城市,4
肇庆市,5
自贡市,2
舟山市,5
芜湖市,3
苏州市,73
茂名市,1
荆州市,7
荆门市,2
莆田市,4
菏泽市,3
萍乡市,2
营口市,1
葫芦岛市,1
蚌埠市,1
衡阳市,2
襄阳市,4
西双版纳傣族自治州,1
西宁市,13
西安市,150
西藏自治区,1
许昌市,1
贵港市,3
贵阳市,37
赣州市,3
辽阳市,2
运城市,1
连云港市,4
迪庆藏族自治州,1
通化市,1
遂宁市,1
遵义市,2
邢台市,3
邯郸市,2
邵阳市,2
郑州市,63
郴州市,2
鄂尔多斯市,1
酒泉市,5
重庆市,133
金华市,16
金昌市,2
钦州市,1
铜川市,2
铜陵市,1
银川市,15
锡林郭勒盟,1
锦州市,1
镇江市,12
长春市,28
长沙市,56
长治市,2
阜新市,1
阜阳市,3
防城港市,2
随州市,1
青岛市,102
鞍山市,11
韶关市,2
驻马店市,1
鹤壁市,2
黄冈市,1
黄山市,1
黄石市,5
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,1
龙岩市,1
