城市,全部企业
七台河市,26
万宁市,59
三亚市,1941
三明市,594
三沙市,12
三门峡市,141
上海市,22351
上饶市,833
东方市,83
东莞市,3672
东营市,953
中卫市,74
中国（江苏）自由贸易试验区苏州片区,1
中山市,1546
临夏回族自治州,58
临汾市,279
临沂市,2565
临沧市,79
临高县,20
丹东市,216
丽水市,597
丽江市,85
乌兰察布市,125
乌海市,62
乌鲁木齐市,2541
乐东黎族自治县,39
乐山市,142
九江市,803
云浮市,84
五家渠市,33
五指山市,17
亳州市,170
仙桃市,78
伊春市,19
伊犁哈萨克自治州,327
佛山市,3796
佳木斯市,71
保亭黎族苗族自治县,30
保定市,948
保山市,75
信阳市,408
儋州市,393
克孜勒苏柯尔克孜自治州,33
克拉玛依市,115
六安市,336
六盘水市,152
兰州市,2267
兴安盟,73
内江市,161
凉山彝族自治州,238
包头市,527
北京市,32541
北屯市,11
北海市,352
十堰市,467
南京市,13865
南充市,495
南宁市,5324
南平市,330
南昌市,3145
南通市,1926
南阳市,710
博尔塔拉蒙古自治州,34
厦门市,10951
双河市,6
双鸭山市,19
可克达拉市,7
台州市,1283
合肥市,8461
吉安市,605
吉林市,397
吐鲁番市,30
吕梁市,166
吴忠市,107
周口市,370
呼伦贝尔市,128
呼和浩特市,1251
和田地区,116
咸宁市,247
咸阳市,664
哈密市,125
哈尔滨市,2336
唐山市,701
商丘市,247
商洛市,91
喀什地区,291
嘉兴市,2341
嘉峪关市,88
四平市,88
固原市,113
图木舒克市,9
塔城地区,53
大兴安岭地区,11
大同市,208
大庆市,324
大理白族自治州,127
大连市,3012
天水市,176
天津市,12162
天门市,47
太原市,2999
威海市,917
娄底市,212
孝感市,250
宁德市,1041
宁波市,6036
安庆市,431
安康市,256
安阳市,341
安顺市,107
定安县,18
定西市,118
宜宾市,468
宜昌市,753
宜春市,746
宝鸡市,762
宣城市,174
宿州市,301
宿迁市,1044
屯昌县,17
山南市,30
山西转型综合改革示范区,25
岳阳市,284
崇左市,113
巴中市,131
巴彦淖尔市,97
巴音郭楞蒙古自治州,291
常州市,2298
常德市,183
平凉市,174
平顶山市,290
广元市,197
广安市,189
广州市,32338
庆阳市,253
廊坊市,492
延安市,318
延边朝鲜族自治州,155
开封市,373
张家口市,285
张家界市,92
张掖市,192
徐州市,2964
德宏傣族景颇族自治州,50
德州市,916
德阳市,361
忻州市,129
怀化市,178
怒江傈僳族自治州,16
恩施土家族苗族自治州,346
惠州市,1815
成都市,13190
扬州市,1601
承德市,158
抚州市,448
抚顺市,261
拉萨市,479
揭阳市,156
攀枝花市,145
文山壮族苗族自治州,92
文昌市,143
新乡市,492
新余市,250
新星市,7
无锡市,3744
日喀则市,22
日照市,884
昆明市,3235
昆玉市,2
昌吉回族自治州,192
昌江黎族自治县,19
昌都市,25
昭通市,119
晋中市,291
晋城市,291
普洱市,69
景德镇市,174
曲靖市,210
朔州市,133
朝阳市,244
本溪市,98
来宾市,110
杭州市,19739
松原市,145
林芝市,24
果洛藏族自治州,2
枣庄市,937
柳州市,952
株洲市,498
桂林市,710
梅州市,318
梧州市,185
楚雄彝族自治州,121
榆林市,840
武威市,152
武汉市,9864
毕节市,167
永州市,183
汉中市,304
汕头市,533
汕尾市,129
江门市,483
池州市,114
沈阳市,4858
沧州市,272
河池市,146
河源市,363
泉州市,2883
泰安市,1138
泰州市,972
泸州市,386
洛阳市,1084
济南市,10365
济宁市,1761
济源市,70
海东市,75
海北藏族自治州,16
海南省洋浦经济开发区,5
海南藏族自治州,21
海口市,6911
海西蒙古族藏族自治州,77
淄博市,1440
淮北市,178
淮南市,225
淮安市,912
深圳市,28399
清远市,182
温州市,3662
渭南市,354
湖州市,1256
湘潭市,229
湘西土家族苗族自治州,84
湛江市,533
滁州市,347
滨州市,907
漯河市,190
漳州市,1447
潍坊市,2193
潜江市,26
潮州市,148
澄迈县,829
濮阳市,202
烟台市,2431
焦作市,242
牡丹江市,159
玉林市,399
玉树藏族自治州,5
玉溪市,77
珠海市,3924
琼中黎族苗族自治县,19
琼海市,374
甘南藏族自治州,27
甘孜藏族自治州,38
白城市,57
白山市,78
白沙黎族自治县,5
白银市,121
百色市,195
益阳市,191
盐城市,1302
盘锦市,205
眉山市,217
石嘴山市,90
石家庄市,1550
石河子市,89
神农架林区,10
福州市,10482
秦皇岛市,195
红河哈尼族彝族自治州,153
绍兴市,1477
绥化市,85
绵阳市,1231
聊城市,975
肇庆市,334
胡杨河市,10
自贡市,249
舟山市,359
芜湖市,895
苏州市,12094
茂名市,342
荆州市,305
荆门市,193
莆田市,996
菏泽市,832
萍乡市,526
营口市,288
葫芦岛市,169
蚌埠市,329
衡水市,215
衡阳市,321
衢州市,484
襄阳市,663
西双版纳傣族自治州,84
西宁市,1003
西安市,19343
西藏自治区,1
许昌市,343
贵州省贵安新区,1
贵港市,278
贵阳市,3672
贺州市,153
资阳市,96
赣州市,1412
赤峰市,241
辽宁省沈抚示范区,1
辽源市,39
辽阳市,138
达州市,214
运城市,374
连云港市,865
迪庆藏族自治州,24
通化市,98
通辽市,188
遂宁市,183
遵义市,381
邢台市,214
那曲市,15
邯郸市,367
邵阳市,214
郑州市,7947
郴州市,263
鄂尔多斯市,472
鄂州市,127
酒泉市,202
重庆市,13849
金华市,2967
金昌市,76
钦州市,295
铁岭市,118
铁门关市,12
铜仁市,162
铜川市,126
铜陵市,135
银川市,1773
锡林郭勒盟,97
锦州市,200
镇江市,1009
长春市,2880
长沙市,7542
长治市,367
阜新市,120
阜阳市,555
防城港市,114
阳江市,117
阳泉市,134
阿克苏地区,217
阿勒泰地区,49
阿坝藏族羌族自治州,36
阿拉善盟,31
阿拉尔市,32
阿里地区,7
陇南市,107
陵水黎族自治县,158
随州市,169
雄安新区,1
雅安市,85
青岛市,8949
鞍山市,357
韶关市,302
马鞍山市,406
驻马店市,235
鸡西市,48
鹤壁市,201
鹤岗市,32
鹰潭市,173
黄冈市,362
黄南藏族自治州,7
黄山市,101
黄石市,265
黑河市,70
黔东南苗族侗族自治州,139
黔南布依族苗族自治州,183
黔西南布依族苗族自治州,171
齐齐哈尔市,95
龙岩市,944
