城市,全部企业
三亚市,18
三明市,14
三门峡市,5
上海市,1685
上饶市,17
东方市,1
东莞市,190
东营市,53
中卫市,3
中山市,73
临夏回族自治州,1
临汾市,13
临沂市,74
临沧市,2
丹东市,20
丽水市,21
丽江市,6
乌兰察布市,3
乌海市,7
乌鲁木齐市,206
乐山市,5
九江市,18
云浮市,1
五家渠市,1
亳州市,2
仙桃市,2
伊春市,1
伊犁哈萨克自治州,11
佛山市,198
佳木斯市,7
保定市,37
保山市,1
信阳市,9
儋州市,1
克孜勒苏柯尔克孜自治州,1
克拉玛依市,13
六安市,12
六盘水市,2
兰州市,238
兴安盟,2
内江市,13
凉山彝族自治州,6
包头市,35
北京市,3486
北海市,15
十堰市,37
南京市,660
南充市,17
南宁市,243
南平市,12
南昌市,134
南通市,85
南阳市,27
博尔塔拉蒙古自治州,4
厦门市,590
双鸭山市,1
台州市,51
合肥市,304
吉安市,6
吉林市,31
吐鲁番市,2
吕梁市,5
吴忠市,5
周口市,6
呼伦贝尔市,4
呼和浩特市,75
和田地区,3
咸宁市,9
咸阳市,24
哈密市,2
哈尔滨市,142
唐山市,55
商丘市,4
商洛市,3
喀什地区,3
嘉兴市,98
四平市,5
固原市,6
塔城地区,3
大同市,10
大庆市,28
大理白族自治州,4
大连市,196
天水市,11
天津市,540
天门市,2
太原市,192
威海市,33
娄底市,16
孝感市,11
宁德市,19
宁波市,261
安庆市,20
安康市,13
安阳市,12
定西市,5
宜宾市,19
宜昌市,57
宜春市,22
宝鸡市,31
宣城市,6
宿州市,11
宿迁市,17
山南市,2
岳阳市,20
崇左市,4
巴中市,4
巴彦淖尔市,3
巴音郭楞蒙古自治州,26
常州市,108
常德市,11
平凉市,6
平顶山市,9
广元市,10
广安市,6
广州市,1810
庆阳市,11
廊坊市,29
延安市,13
延边朝鲜族自治州,9
开封市,11
张家口市,11
张家界市,7
张掖市,8
徐州市,97
德宏傣族景颇族自治州,5
德州市,22
德阳市,25
忻州市,2
怀化市,7
恩施土家族苗族自治州,16
惠州市,78
成都市,790
扬州市,86
承德市,11
抚州市,7
抚顺市,2
拉萨市,13
揭阳市,14
攀枝花市,4
文山壮族苗族自治州,2
文昌市,1
新乡市,30
新余市,5
无锡市,255
日喀则市,1
日照市,29
昆明市,246
昌吉回族自治州,10
昌都市,1
昭通市,4
晋中市,19
晋城市,16
普洱市,7
景德镇市,3
曲靖市,11
朔州市,11
朝阳市,5
本溪市,8
来宾市,5
杭州市,916
松原市,3
林芝市,1
枣庄市,28
柳州市,39
株洲市,38
桂林市,38
梅州市,13
梧州市,5
楚雄彝族自治州,11
榆林市,33
武威市,8
武汉市,627
毕节市,2
永州市,6
汉中市,13
汕头市,53
汕尾市,3
江门市,39
池州市,7
沈阳市,257
沧州市,18
河池市,2
河源市,4
泉州市,138
泰安市,53
泰州市,47
泸州市,15
洛阳市,43
济南市,500
济宁市,67
济源市,4
海东市,3
海北藏族自治州,1
海口市,181
海西蒙古族藏族自治州,3
淄博市,85
淮北市,8
淮南市,12
淮安市,25
深圳市,1107
清远市,12
温州市,191
渭南市,11
湖州市,52
湘潭市,17
湘西土家族苗族自治州,2
湛江市,34
滁州市,11
滨州市,27
漯河市,6
漳州市,65
潍坊市,67
潜江市,3
潮州市,12
澄迈县,3
濮阳市,11
烟台市,120
焦作市,11
牡丹江市,9
玉林市,11
玉溪市,4
珠海市,285
甘南藏族自治州,1
白城市,1
白山市,4
白银市,2
百色市,8
益阳市,11
盐城市,60
盘锦市,16
眉山市,16
石嘴山市,3
石家庄市,108
石河子市,5
福州市,514
秦皇岛市,24
红河哈尼族彝族自治州,9
绍兴市,65
绥化市,1
绵阳市,54
聊城市,26
肇庆市,21
自贡市,14
舟山市,13
芜湖市,16
苏州市,503
茂名市,12
荆州市,21
荆门市,11
莆田市,18
菏泽市,17
萍乡市,8
营口市,13
葫芦岛市,7
蚌埠市,11
衡水市,8
衡阳市,18
衢州市,20
襄阳市,33
西双版纳傣族自治州,3
西宁市,58
西安市,965
西藏自治区,1
许昌市,10
贵港市,9
贵阳市,143
资阳市,6
赣州市,23
赤峰市,8
辽源市,4
辽阳市,7
达州市,3
运城市,14
连云港市,31
迪庆藏族自治州,1
通化市,4
通辽市,6
遂宁市,5
遵义市,15
邢台市,7
邯郸市,9
邵阳市,8
郑州市,345
郴州市,11
鄂尔多斯市,17
鄂州市,9
酒泉市,9
重庆市,591
金华市,85
金昌市,5
钦州市,5
铁岭市,3
铜仁市,2
铜川市,5
铜陵市,7
银川市,75
锡林郭勒盟,1
锦州市,12
镇江市,46
长春市,187
长沙市,347
长治市,19
阜新市,2
阜阳市,16
防城港市,3
阳江市,6
阳泉市,12
阿克苏地区,9
阿勒泰地区,1
阿坝藏族羌族自治州,1
阿拉善盟,1
陇南市,5
随州市,5
青岛市,429
鞍山市,38
韶关市,18
马鞍山市,18
驻马店市,4
鸡西市,1
鹤壁市,3
鹤岗市,2
鹰潭市,4
黄冈市,13
黄山市,5
黄石市,18
黑河市,4
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,2
黔西南布依族苗族自治州,3
齐齐哈尔市,3
龙岩市,33
