城市,全部企业
七台河市,70
万宁市,180
三亚市,10187
三明市,1145
三沙市,13
三门峡市,420
上海市,51658
上饶市,1702
东方市,550
东莞市,8625
东营市,2105
中卫市,162
中国（四川）自由贸易试验区,1
中国（江苏）自由贸易试验区苏州片区,2
中山市,3753
临夏回族自治州,133
临汾市,810
临沂市,6572
临沧市,168
临高县,382
丹东市,381
丽水市,1195
丽江市,198
乌兰察布市,261
乌海市,143
乌鲁木齐市,4976
乐东黎族自治县,106
乐山市,326
九江市,3077
云浮市,214
五家渠市,51
五指山市,100
亳州市,854
仙桃市,211
伊春市,59
伊犁哈萨克自治州,555
佛山市,8764
佳木斯市,216
保亭黎族苗族自治县,65
保定市,1840
保山市,176
信阳市,978
儋州市,2489
克孜勒苏柯尔克孜自治州,65
克拉玛依市,227
六安市,1326
六盘水市,450
兰州市,4327
兴安盟,189
内江市,344
凉山彝族自治州,497
包头市,1080
北京市,69851
北屯市,20
北海市,796
十堰市,1164
南京市,25945
南充市,974
南宁市,11833
南平市,709
南昌市,7147
南通市,4128
南阳市,1847
博尔塔拉蒙古自治州,97
厦门市,21657
双河市,19
双鸭山市,52
可克达拉市,21
台州市,2472
合肥市,20324
吉安市,1289
吉林市,822
吐鲁番市,61
吕梁市,510
吴忠市,248
周口市,1122
呼伦贝尔市,323
呼和浩特市,2892
和田地区,304
咸宁市,754
咸阳市,1803
哈密市,231
哈尔滨市,4903
唐山市,1213
商丘市,844
商洛市,201
喀什地区,714
嘉兴市,4253
嘉峪关市,167
四平市,209
固原市,227
图木舒克市,55
塔城地区,104
大兴安岭地区,33
大同市,557
大庆市,676
大理白族自治州,308
大连市,6434
天水市,387
天津市,21438
天门市,146
太原市,7746
威海市,2112
娄底市,520
孝感市,635
宁德市,1718
宁波市,10942
安庆市,1097
安康市,535
安阳市,1126
安顺市,392
定安县,125
定西市,302
宜宾市,983
宜昌市,1683
宜春市,1807
宝鸡市,2196
宣城市,480
宿州市,1047
宿迁市,2097
屯昌县,158
山南市,63
山西转型综合改革示范区,100
岳阳市,773
崇左市,225
巴中市,303
巴彦淖尔市,234
巴音郭楞蒙古自治州,564
常州市,4457
常德市,408
平凉市,346
平顶山市,756
广元市,395
广安市,380
广州市,68429
庆阳市,530
廊坊市,1014
延安市,633
延边朝鲜族自治州,367
开封市,981
张家口市,614
张家界市,200
张掖市,397
徐州市,5982
德宏傣族景颇族自治州,116
德州市,2218
德阳市,746
忻州市,356
怀化市,411
怒江傈僳族自治州,45
恩施土家族苗族自治州,789
惠州市,4859
成都市,32495
扬州市,2997
承德市,293
抚州市,984
抚顺市,596
拉萨市,1060
揭阳市,384
攀枝花市,283
文山壮族苗族自治州,237
文昌市,1752
新乡市,1372
新余市,541
新星市,24
无锡市,7504
日喀则市,73
日照市,1959
昆明市,7380
昆玉市,12
昌吉回族自治州,395
昌江黎族自治县,34
昌都市,63
昭通市,329
晋中市,798
晋城市,682
普洱市,179
景德镇市,375
曲靖市,574
朔州市,265
朝阳市,534
本溪市,185
来宾市,238
杭州市,37565
松原市,309
林芝市,59
果洛藏族自治州,12
枣庄市,2156
柳州市,1919
株洲市,1056
桂林市,1496
梅州市,707
梧州市,479
楚雄彝族自治州,303
榆林市,1691
武威市,275
武汉市,23098
毕节市,484
永州市,456
汉中市,716
汕头市,1069
汕尾市,389
江西省赣江新区直管区,1
江门市,1163
池州市,315
沈阳市,9716
沧州市,468
河池市,311
河源市,805
泉州市,5683
泰安市,2848
泰州市,1905
泸州市,852
洛阳市,2728
济南市,22422
济宁市,4101
济源市,232
海东市,185
海北藏族自治州,26
海南省洋浦经济开发区,7
海南藏族自治州,58
海口市,21983
海西蒙古族藏族自治州,133
淄博市,3230
淮北市,540
淮南市,568
淮安市,1987
深圳市,60964
清远市,427
温州市,6612
渭南市,1357
湖州市,2684
湘潭市,489
湘西土家族苗族自治州,215
湛江市,1187
滁州市,982
滨州市,2353
漯河市,471
漳州市,2705
潍坊市,5608
潜江市,84
潮州市,414
澄迈县,1918
濮阳市,622
烟台市,5311
焦作市,647
牡丹江市,316
玉林市,871
玉树藏族自治州,17
玉溪市,221
珠海市,6650
琼中黎族苗族自治县,36
琼海市,646
甘南藏族自治州,63
甘孜藏族自治州,92
白城市,161
白山市,154
白沙黎族自治县,16
白银市,267
百色市,435
益阳市,423
盐城市,2600
盘锦市,393
眉山市,530
石嘴山市,170
石家庄市,2613
石河子市,152
神农架林区,18
福州市,18297
秦皇岛市,375
红河哈尼族彝族自治州,319
绍兴市,2911
绥化市,219
绵阳市,2315
聊城市,2353
肇庆市,751
胡杨河市,31
自贡市,461
舟山市,711
芜湖市,3654
苏州市,24634
茂名市,832
荆州市,786
荆门市,525
莆田市,2068
菏泽市,2706
萍乡市,1320
营口市,608
葫芦岛市,343
蚌埠市,904
衡水市,419
衡阳市,880
衢州市,983
襄阳市,1722
西双版纳傣族自治州,229
西宁市,2246
西安市,42586
西藏自治区,1
许昌市,958
贵州省贵安新区,4
贵港市,529
贵阳市,7973
贺州市,333
资阳市,242
赣州市,3132
赤峰市,619
辽宁省沈抚示范区,1
辽源市,87
辽阳市,228
达州市,456
运城市,1707
连云港市,1752
迪庆藏族自治州,61
通化市,199
通辽市,471
遂宁市,362
遵义市,1098
邢台市,424
那曲市,33
邯郸市,742
邵阳市,494
郑州市,18117
郴州市,689
鄂尔多斯市,1134
鄂州市,315
酒泉市,503
重庆市,27597
金华市,5555
金昌市,144
钦州市,2077
铁岭市,223
铁门关市,38
铜仁市,436
铜川市,244
铜陵市,314
银川市,3586
锡林郭勒盟,233
锦州市,441
镇江市,1969
长春市,6329
长沙市,17047
长治市,934
阜新市,239
阜阳市,1680
防城港市,258
阳江市,356
阳泉市,332
阿克苏地区,493
阿勒泰地区,84
阿坝藏族羌族自治州,71
阿拉善盟,67
阿拉尔市,102
阿里地区,18
陇南市,266
陵水黎族自治县,602
随州市,378
雄安新区,2
雅安市,210
青岛市,18298
鞍山市,677
韶关市,661
马鞍山市,807
驻马店市,676
鸡西市,125
鹤壁市,513
鹤岗市,88
鹰潭市,368
黄冈市,932
黄南藏族自治州,12
黄山市,274
黄石市,700
黑河市,129
黔东南苗族侗族自治州,450
黔南布依族苗族自治州,527
黔西南布依族苗族自治州,487
齐齐哈尔市,305
龙岩市,1878
