城市,全部企业
七台河市,7
万宁市,6
三亚市,260
三明市,178
三沙市,4
三门峡市,39
上海市,8966
上饶市,225
东方市,7
东莞市,1571
东营市,439
中卫市,29
中山市,575
临夏回族自治州,29
临汾市,115
临沂市,753
临沧市,45
临高县,3
丹东市,92
丽水市,176
丽江市,40
乌兰察布市,48
乌海市,31
乌鲁木齐市,1063
乐东黎族自治县,4
乐山市,58
九江市,221
云浮市,29
五家渠市,10
五指山市,1
亳州市,66
仙桃市,44
伊春市,3
伊犁哈萨克自治州,111
佛山市,1401
佳木斯市,35
保亭黎族苗族自治县,3
保定市,300
保山市,31
信阳市,129
儋州市,47
克孜勒苏柯尔克孜自治州,10
克拉玛依市,58
六安市,125
六盘水市,45
兰州市,1276
兴安盟,28
内江市,68
凉山彝族自治州,89
包头市,267
北京市,18313
北屯市,4
北海市,104
十堰市,230
南京市,4161
南充市,173
南宁市,2235
南平市,136
南昌市,1132
南通市,566
南阳市,284
博尔塔拉蒙古自治州,13
厦门市,4781
双河市,2
双鸭山市,7
台州市,322
合肥市,3107
吉安市,144
吉林市,221
吐鲁番市,10
吕梁市,78
吴忠市,49
周口市,122
呼伦贝尔市,60
呼和浩特市,656
和田地区,29
咸宁市,114
咸阳市,233
哈密市,45
哈尔滨市,891
唐山市,329
商丘市,72
商洛市,29
喀什地区,78
嘉兴市,751
嘉峪关市,48
四平市,37
固原市,55
塔城地区,18
大兴安岭地区,6
大同市,72
大庆市,161
大理白族自治州,64
大连市,1214
天水市,95
天津市,4045
天门市,16
太原市,1220
威海市,344
娄底市,98
孝感市,118
宁德市,327
宁波市,1801
安庆市,141
安康市,116
安阳市,139
安顺市,50
定安县,2
定西市,56
宜宾市,144
宜昌市,384
宜春市,189
宝鸡市,315
宣城市,65
宿州市,94
宿迁市,286
屯昌县,5
山南市,9
山西转型综合改革示范区,4
岳阳市,110
崇左市,32
巴中市,50
巴彦淖尔市,47
巴音郭楞蒙古自治州,151
常州市,779
常德市,84
平凉市,76
平顶山市,125
广元市,82
广安市,56
广州市,12584
庆阳市,135
廊坊市,210
延安市,121
延边朝鲜族自治州,69
开封市,126
张家口市,112
张家界市,35
张掖市,113
徐州市,754
德宏傣族景颇族自治州,19
德州市,294
德阳市,145
忻州市,52
怀化市,67
怒江傈僳族自治州,9
恩施土家族苗族自治州,180
惠州市,618
成都市,5941
扬州市,492
承德市,78
抚州市,106
抚顺市,48
拉萨市,189
揭阳市,66
攀枝花市,64
文山壮族苗族自治州,37
文昌市,20
新乡市,185
新余市,67
新星市,3
无锡市,1449
日喀则市,8
日照市,302
昆明市,1693
昌吉回族自治州,73
昌江黎族自治县,2
昌都市,8
昭通市,51
晋中市,129
晋城市,129
普洱市,27
景德镇市,49
曲靖市,94
朔州市,59
朝阳市,64
本溪市,40
来宾市,39
杭州市,6632
松原市,61
林芝市,11
枣庄市,250
柳州市,370
株洲市,232
桂林市,295
梅州市,137
梧州市,53
楚雄彝族自治州,70
榆林市,360
武威市,75
武汉市,4456
毕节市,56
永州市,75
汉中市,116
汕头市,266
汕尾市,43
江门市,222
池州市,47
沈阳市,1814
沧州市,121
河池市,51
河源市,134
泉州市,1081
泰安市,397
泰州市,278
泸州市,135
洛阳市,422
济南市,3814
济宁市,632
济源市,28
海东市,27
海北藏族自治州,9
海南省洋浦经济开发区,1
海南藏族自治州,9
海口市,1406
海西蒙古族藏族自治州,25
淄博市,515
淮北市,74
淮南市,87
淮安市,262
深圳市,14132
清远市,63
温州市,1084
渭南市,116
湖州市,318
湘潭市,113
湘西土家族苗族自治州,30
湛江市,232
滁州市,124
滨州市,333
漯河市,71
漳州市,469
潍坊市,659
潜江市,17
潮州市,55
澄迈县,89
濮阳市,69
烟台市,868
焦作市,91
牡丹江市,63
玉林市,129
玉树藏族自治州,3
玉溪市,42
珠海市,1912
琼中黎族苗族自治县,2
琼海市,18
甘南藏族自治州,9
甘孜藏族自治州,13
白城市,22
白山市,35
白沙黎族自治县,1
白银市,61
百色市,71
益阳市,79
盐城市,409
盘锦市,75
眉山市,80
石嘴山市,37
石家庄市,814
石河子市,36
神农架林区,4
福州市,3934
秦皇岛市,114
红河哈尼族彝族自治州,77
绍兴市,385
绥化市,34
绵阳市,517
聊城市,309
肇庆市,127
胡杨河市,3
自贡市,101
舟山市,87
芜湖市,255
苏州市,3786
茂名市,146
荆州市,133
荆门市,81
莆田市,284
菏泽市,229
萍乡市,77
营口市,79
葫芦岛市,45
蚌埠市,112
衡水市,90
衡阳市,110
衢州市,146
襄阳市,289
西双版纳傣族自治州,34
西宁市,470
西安市,6649
西藏自治区,1
许昌市,123
贵港市,82
贵阳市,1568
贺州市,36
资阳市,34
赣州市,343
赤峰市,128
辽源市,21
辽阳市,45
达州市,57
运城市,130
连云港市,251
迪庆藏族自治州,10
通化市,33
通辽市,87
遂宁市,73
遵义市,176
邢台市,68
那曲市,3
邯郸市,159
邵阳市,67
郑州市,3393
郴州市,97
鄂尔多斯市,232
鄂州市,61
酒泉市,111
重庆市,4157
金华市,718
金昌市,43
钦州市,67
铁岭市,38
铁门关市,2
铜仁市,67
铜川市,36
铜陵市,49
银川市,686
锡林郭勒盟,51
锦州市,74
镇江市,300
长春市,1283
长沙市,3063
长治市,142
阜新市,41
阜阳市,201
防城港市,40
阳江市,52
阳泉市,64
阿克苏地区,78
阿勒泰地区,19
阿坝藏族羌族自治州,12
阿拉善盟,15
阿拉尔市,6
阿里地区,2
陇南市,55
陵水黎族自治县,16
随州市,80
雅安市,29
青岛市,3263
鞍山市,151
韶关市,114
马鞍山市,159
驻马店市,72
鸡西市,21
鹤壁市,59
鹤岗市,13
鹰潭市,41
黄冈市,146
黄南藏族自治州,1
黄山市,39
黄石市,120
黑河市,26
黔东南苗族侗族自治州,62
黔南布依族苗族自治州,61
黔西南布依族苗族自治州,67
齐齐哈尔市,38
龙岩市,243
