城市,全部企业
万宁市,2
三亚市,111
三明市,77
三沙市,2
三门峡市,20
上海市,5080
上饶市,91
东方市,2
东莞市,731
东营市,185
中卫市,12
中山市,256
临夏回族自治州,10
临汾市,43
临沂市,259
临沧市,21
临高县,1
丹东市,55
丽水市,77
丽江市,14
乌兰察布市,14
乌海市,19
乌鲁木齐市,576
乐山市,21
九江市,88
云浮市,12
五家渠市,2
五指山市,1
亳州市,21
仙桃市,15
伊春市,1
伊犁哈萨克自治州,27
佛山市,691
佳木斯市,14
保亭黎族苗族自治县,1
保定市,114
保山市,10
信阳市,43
儋州市,14
克孜勒苏柯尔克孜自治州,5
克拉玛依市,37
六安市,49
六盘水市,16
兰州市,690
兴安盟,8
内江市,30
凉山彝族自治州,35
包头市,130
北京市,9591
北屯市,2
北海市,46
十堰市,115
南京市,2030
南充市,69
南宁市,1039
南平市,62
南昌市,524
南通市,284
南阳市,105
博尔塔拉蒙古自治州,7
厦门市,2222
双鸭山市,3
台州市,164
合肥市,1298
吉安市,56
吉林市,103
吐鲁番市,6
吕梁市,29
吴忠市,16
周口市,42
呼伦贝尔市,22
呼和浩特市,281
和田地区,14
咸宁市,48
咸阳市,93
哈密市,16
哈尔滨市,433
唐山市,164
商丘市,30
商洛市,6
喀什地区,26
嘉兴市,327
嘉峪关市,15
四平市,17
固原市,18
塔城地区,9
大兴安岭地区,2
大同市,35
大庆市,77
大理白族自治州,28
大连市,617
天水市,46
天津市,1779
天门市,9
太原市,589
威海市,149
娄底市,46
孝感市,54
宁德市,154
宁波市,856
安庆市,73
安康市,46
安阳市,55
安顺市,14
定安县,1
定西市,22
宜宾市,64
宜昌市,185
宜春市,79
宝鸡市,114
宣城市,31
宿州市,35
宿迁市,130
屯昌县,1
山南市,5
山西转型综合改革示范区,1
岳阳市,56
崇左市,11
巴中市,22
巴彦淖尔市,19
巴音郭楞蒙古自治州,92
常州市,379
常德市,44
平凉市,31
平顶山市,45
广元市,32
广安市,20
广州市,5739
庆阳市,49
廊坊市,91
延安市,52
延边朝鲜族自治州,38
开封市,35
张家口市,36
张家界市,22
张掖市,39
徐州市,337
德宏傣族景颇族自治州,10
德州市,100
德阳市,79
忻州市,19
怀化市,26
怒江傈僳族自治州,4
恩施土家族苗族自治州,67
惠州市,271
成都市,2767
扬州市,238
承德市,27
抚州市,39
抚顺市,16
拉萨市,66
揭阳市,35
攀枝花市,23
文山壮族苗族自治州,14
文昌市,2
新乡市,80
新余市,32
无锡市,725
日喀则市,2
日照市,133
昆明市,866
昌吉回族自治州,26
昌江黎族自治县,1
昌都市,2
昭通市,16
晋中市,63
晋城市,65
普洱市,15
景德镇市,17
曲靖市,50
朔州市,28
朝阳市,30
本溪市,16
来宾市,17
杭州市,3021
松原市,23
林芝市,7
枣庄市,87
柳州市,155
株洲市,113
桂林市,143
梅州市,58
梧州市,19
楚雄彝族自治州,28
榆林市,155
武威市,22
武汉市,2167
毕节市,19
永州市,25
汉中市,46
汕头市,125
汕尾市,17
江门市,107
池州市,27
沈阳市,824
沧州市,53
河池市,15
河源市,57
泉州市,465
泰安市,163
泰州市,130
泸州市,63
洛阳市,152
济南市,1756
济宁市,266
济源市,13
海东市,6
海北藏族自治州,2
海南省洋浦经济开发区,1
海南藏族自治州,3
海口市,644
海西蒙古族藏族自治州,13
淄博市,225
淮北市,35
淮南市,35
淮安市,93
深圳市,5592
清远市,29
温州市,548
渭南市,45
湖州市,148
湘潭市,59
湘西土家族苗族自治州,11
湛江市,117
滁州市,49
滨州市,121
漯河市,18
漳州市,197
潍坊市,285
潜江市,5
潮州市,27
澄迈县,22
濮阳市,31
烟台市,404
焦作市,34
牡丹江市,36
玉林市,44
玉溪市,17
珠海市,843
琼海市,4
甘南藏族自治州,3
甘孜藏族自治州,3
白城市,9
白山市,14
白银市,22
百色市,39
益阳市,29
盐城市,188
盘锦市,37
眉山市,39
石嘴山市,15
石家庄市,370
石河子市,14
神农架林区,4
福州市,1848
秦皇岛市,57
红河哈尼族彝族自治州,43
绍兴市,201
绥化市,10
绵阳市,220
聊城市,96
肇庆市,60
自贡市,48
舟山市,48
芜湖市,115
苏州市,1826
茂名市,51
荆州市,58
荆门市,36
莆田市,99
菏泽市,71
萍乡市,29
营口市,42
葫芦岛市,24
蚌埠市,44
衡水市,28
衡阳市,49
衢州市,65
襄阳市,143
西双版纳傣族自治州,18
西宁市,208
西安市,3191
西藏自治区,1
许昌市,43
贵港市,35
贵阳市,693
贺州市,12
资阳市,23
赣州市,123
赤峰市,49
辽源市,12
辽阳市,21
达州市,21
运城市,47
连云港市,117
迪庆藏族自治州,5
通化市,11
通辽市,32
遂宁市,30
遵义市,66
邢台市,21
邯郸市,64
邵阳市,27
郑州市,1463
郴州市,42
鄂尔多斯市,98
鄂州市,29
酒泉市,41
重庆市,2075
金华市,296
金昌市,24
钦州市,24
铁岭市,19
铜仁市,15
铜川市,19
铜陵市,29
银川市,313
锡林郭勒盟,23
锦州市,36
镇江市,151
长春市,602
长沙市,1322
长治市,66
阜新市,18
阜阳市,69
防城港市,19
阳江市,24
阳泉市,36
阿克苏地区,32
阿勒泰地区,10
阿坝藏族羌族自治州,4
阿拉善盟,4
阿拉尔市,2
阿里地区,2
陇南市,23
陵水黎族自治县,4
随州市,28
雅安市,13
青岛市,1485
鞍山市,88
韶关市,56
马鞍山市,84
驻马店市,27
鸡西市,10
鹤壁市,21
鹤岗市,5
鹰潭市,17
黄冈市,51
黄南藏族自治州,1
黄山市,24
黄石市,45
黑河市,14
黔东南苗族侗族自治州,13
黔南布依族苗族自治州,17
黔西南布依族苗族自治州,18
齐齐哈尔市,19
龙岩市,110
