城市,全部企业
七台河市,112
万宁市,359
三亚市,13705
三明市,1774
三沙市,11
三门峡市,675
上海市,86076
上饶市,2600
东方市,713
东莞市,15695
东营市,2916
中卫市,241
中国（四川）自由贸易试验区,2
中国（江苏）自由贸易试验区苏州片区,40
中山市,5817
临夏回族自治州,245
临汾市,1292
临沂市,8833
临沧市,529
临高县,362
丹东市,531
丽水市,1703
丽江市,394
乌兰察布市,455
乌海市,243
乌鲁木齐市,8375
乐东黎族自治县,237
乐山市,607
九江市,4362
云浮市,331
五家渠市,98
五指山市,164
亳州市,1239
仙桃市,342
伊春市,97
伊犁哈萨克自治州,1003
佛山市,13573
佳木斯市,471
保亭黎族苗族自治县,100
保定市,5613
保山市,362
信阳市,1577
儋州市,2742
克孜勒苏柯尔克孜自治州,119
克拉玛依市,366
六安市,2066
六盘水市,928
兰州市,7148
兴安盟,334
内江市,616
凉山彝族自治州,839
包头市,1688
北京市,130720
北屯市,37
北海市,1071
十堰市,1963
南京市,37570
南充市,1581
南宁市,16421
南平市,1224
南昌市,10425
南通市,6748
南阳市,3354
博尔塔拉蒙古自治州,151
厦门市,29702
双河市,43
双鸭山市,120
可克达拉市,46
台州市,3562
合肥市,29922
吉安市,1908
吉林市,1284
吐鲁番市,118
吕梁市,805
吴忠市,354
周口市,2122
呼伦贝尔市,498
呼和浩特市,4901
和田地区,490
咸宁市,1477
咸阳市,5389
哈密市,391
哈尔滨市,7705
唐山市,2600
商丘市,1618
商洛市,335
喀什地区,1332
嘉兴市,5897
嘉峪关市,240
四平市,306
固原市,323
图木舒克市,120
塔城地区,204
大兴安岭地区,42
大同市,897
大庆市,1166
大理白族自治州,642
大连市,8859
天水市,601
天津市,31053
天门市,271
太原市,12329
威海市,3007
娄底市,1069
孝感市,1152
宁德市,2656
宁波市,14755
安庆市,2016
安康市,849
安阳市,2199
安顺市,747
定安县,145
定西市,556
宜宾市,1731
宜昌市,3904
宜春市,2535
宝鸡市,3511
宣城市,895
宿州市,1858
宿迁市,3384
屯昌县,171
山南市,118
山西转型综合改革示范区,134
岳阳市,1412
崇左市,334
巴中市,536
巴彦淖尔市,391
巴音郭楞蒙古自治州,790
常州市,6837
常德市,820
平凉市,528
平顶山市,1351
广元市,635
广安市,618
广州市,98792
庆阳市,1100
廊坊市,2929
延安市,1042
延边朝鲜族自治州,599
开封市,1665
张家口市,1716
张家界市,441
张掖市,665
徐州市,8754
德宏傣族景颇族自治州,261
德州市,3304
德阳市,1196
忻州市,547
怀化市,892
怒江傈僳族自治州,84
恩施土家族苗族自治州,1587
惠州市,7432
成都市,58480
扬州市,4289
承德市,874
抚州市,1428
抚顺市,710
拉萨市,2110
揭阳市,656
攀枝花市,409
文山壮族苗族自治州,531
文昌市,1742
新乡市,2169
新余市,778
新星市,80
无锡市,11437
日喀则市,173
日照市,2807
昆明市,18588
昆玉市,25
昌吉回族自治州,657
昌江黎族自治县,55
昌都市,135
昭通市,667
晋中市,1264
晋城市,1080
普洱市,409
景德镇市,589
曲靖市,1255
朔州市,464
朝阳市,708
本溪市,259
来宾市,360
杭州市,56093
松原市,482
林芝市,117
果洛藏族自治州,10
枣庄市,3100
柳州市,2475
株洲市,2109
桂林市,2052
梅州市,1118
梧州市,630
楚雄彝族自治州,622
榆林市,2747
武威市,462
武汉市,44451
毕节市,1129
永州市,934
汉中市,1189
汕头市,1652
汕尾市,646
江西省赣江新区直管区,2
江门市,1887
池州市,510
沈阳市,14349
沧州市,1237
河池市,482
河源市,1068
泉州市,9658
泰安市,4225
泰州市,2787
泸州市,1424
洛阳市,4362
济南市,31170
济宁市,5894
济源市,314
海东市,242
海北藏族自治州,41
海南省洋浦经济开发区,9
海南藏族自治州,76
海口市,38561
海西蒙古族藏族自治州,202
淄博市,4547
淮北市,890
淮南市,1008
淮安市,3302
深圳市,103828
清远市,783
温州市,9633
渭南市,1860
湖州市,3679
湘潭市,938
湘西土家族苗族自治州,465
湛江市,1961
滁州市,1654
滨州市,3354
漯河市,995
漳州市,4179
潍坊市,8148
潜江市,212
潮州市,646
澄迈县,2515
濮阳市,1238
烟台市,7509
焦作市,1083
牡丹江市,532
玉林市,1301
玉树藏族自治州,26
玉溪市,503
珠海市,9291
琼中黎族苗族自治县,50
琼海市,922
甘南藏族自治州,113
甘孜藏族自治州,134
白城市,251
白山市,228
白杨市,24
白沙黎族自治县,36
白银市,423
百色市,609
益阳市,763
盐城市,4008
盘锦市,536
眉山市,922
石嘴山市,231
石家庄市,6192
石河子市,283
神农架林区,28
福州市,26662
秦皇岛市,935
红河哈尼族彝族自治州,600
绍兴市,4110
绥化市,435
绵阳市,3953
聊城市,3274
肇庆市,1274
胡杨河市,68
自贡市,802
舟山市,946
芜湖市,5435
苏州市,35121
茂名市,1395
荆州市,1584
荆门市,1026
莆田市,3709
菏泽市,4012
萍乡市,1474
营口市,763
葫芦岛市,426
蚌埠市,1575
衡水市,1063
衡阳市,2162
衢州市,1537
襄阳市,3277
西双版纳傣族自治州,493
西宁市,3158
西安市,62325
西藏自治区,1
许昌市,1526
贵州省贵安新区,2
贵港市,797
贵阳市,13528
贺州市,497
资阳市,437
赣州市,4606
赤峰市,1067
辽宁省沈抚示范区,2
辽源市,134
辽阳市,292
达州市,787
运城市,3240
连云港市,2778
迪庆藏族自治州,116
通化市,276
通辽市,653
遂宁市,642
遵义市,2378
邢台市,1393
那曲市,67
邯郸市,2593
邵阳市,1185
郑州市,28835
郴州市,1466
鄂尔多斯市,1897
鄂州市,613
酒泉市,757
