城市,全部企业
三亚市,7
三明市,6
三门峡市,2
上海市,692
上饶市,3
东莞市,47
东营市,23
中卫市,2
中山市,26
临夏回族自治州,1
临汾市,7
临沂市,28
临沧市,1
丹东市,13
丽水市,11
丽江市,3
乌兰察布市,1
乌海市,1
乌鲁木齐市,71
乐山市,3
九江市,9
云浮市,1
仙桃市,1
伊春市,1
伊犁哈萨克自治州,5
佛山市,79
佳木斯市,2
保定市,15
保山市,1
信阳市,1
克拉玛依市,7
六安市,2
六盘水市,1
兰州市,83
兴安盟,1
内江市,8
凉山彝族自治州,4
包头市,13
北京市,1278
北海市,7
十堰市,13
南京市,250
南充市,12
南宁市,69
南平市,3
南昌市,52
南通市,31
南阳市,7
博尔塔拉蒙古自治州,1
厦门市,213
双鸭山市,1
台州市,25
合肥市,92
吉安市,2
吉林市,12
吕梁市,1
吴忠市,1
周口市,3
呼伦贝尔市,2
呼和浩特市,25
和田地区,1
咸宁市,2
咸阳市,10
哈尔滨市,66
唐山市,22
商丘市,1
嘉兴市,46
四平市,3
固原市,1
塔城地区,2
大同市,6
大庆市,11
大理白族自治州,2
大连市,63
天水市,4
天津市,215
太原市,77
威海市,14
娄底市,6
孝感市,6
宁德市,8
宁波市,106
安庆市,9
安康市,6
安阳市,7
定西市,3
宜宾市,8
宜昌市,15
宜春市,8
宝鸡市,12
宣城市,1
宿州市,5
宿迁市,5
山南市,1
岳阳市,11
崇左市,4
巴中市,1
巴音郭楞蒙古自治州,14
常州市,47
常德市,5
平凉市,1
平顶山市,5
广元市,2
广安市,2
广州市,732
庆阳市,4
廊坊市,13
延安市,4
延边朝鲜族自治州,3
开封市,4
张家口市,3
张家界市,3
张掖市,2
徐州市,30
德宏傣族景颇族自治州,1
德州市,11
德阳市,14
忻州市,1
怀化市,3
恩施土家族苗族自治州,6
惠州市,26
成都市,307
扬州市,34
承德市,5
抚州市,1
抚顺市,1
拉萨市,9
揭阳市,7
攀枝花市,2
文山壮族苗族自治州,1
新乡市,12
新余市,2
无锡市,108
日喀则市,1
日照市,7
昆明市,88
昌都市,1
昭通市,1
晋中市,5
晋城市,2
普洱市,2
景德镇市,2
曲靖市,5
朔州市,4
朝阳市,3
本溪市,5
来宾市,4
杭州市,332
枣庄市,11
柳州市,18
株洲市,13
桂林市,14
梅州市,5
梧州市,4
楚雄彝族自治州,4
榆林市,7
武威市,2
武汉市,231
永州市,1
汉中市,5
汕头市,31
汕尾市,2
江门市,15
池州市,1
沈阳市,101
沧州市,10
河源市,1
泉州市,64
泰安市,17
泰州市,18
泸州市,5
洛阳市,21
济南市,165
济宁市,24
济源市,2
海东市,2
海口市,61
淄博市,38
淮北市,2
淮南市,5
淮安市,10
深圳市,359
清远市,1
温州市,97
渭南市,5
湖州市,30
湘潭市,9
湘西土家族苗族自治州,2
湛江市,12
滁州市,3
滨州市,8
漯河市,3
漳州市,30
潍坊市,26
潜江市,2
潮州市,5
澄迈县,1
濮阳市,4
烟台市,49
焦作市,5
牡丹江市,3
玉林市,7
玉溪市,2
珠海市,130
甘南藏族自治州,1
百色市,5
益阳市,7
盐城市,25
盘锦市,1
眉山市,8
石嘴山市,1
石家庄市,38
石河子市,2
福州市,183
秦皇岛市,13
红河哈尼族彝族自治州,4
绍兴市,29
绵阳市,19
聊城市,11
肇庆市,9
自贡市,6
舟山市,5
芜湖市,5
苏州市,178
茂名市,8
荆州市,10
荆门市,4
莆田市,6
菏泽市,7
萍乡市,6
营口市,5
葫芦岛市,2
蚌埠市,2
衡水市,1
衡阳市,3
衢州市,8
襄阳市,9
西双版纳傣族自治州,1
西宁市,26
西安市,331
西藏自治区,1
许昌市,1
贵港市,6
贵阳市,57
资阳市,2
赣州市,9
赤峰市,2
辽源市,2
辽阳市,4
达州市,1
运城市,4
连云港市,8
迪庆藏族自治州,1
通化市,4
遂宁市,1
遵义市,4
邢台市,5
邯郸市,5
邵阳市,3
郑州市,129
郴州市,4
鄂尔多斯市,3
鄂州市,3
酒泉市,5
重庆市,244
金华市,38
金昌市,4
钦州市,3
铜川市,3
铜陵市,2
银川市,36
锡林郭勒盟,1
锦州市,4
镇江市,23
长春市,57
长沙市,126
长治市,8
阜新市,1
阜阳市,5
防城港市,2
阳江市,1
阳泉市,4
阿克苏地区,4
随州市,2
青岛市,186
鞍山市,18
韶关市,7
马鞍山市,7
驻马店市,2
鸡西市,1
鹤壁市,2
鹤岗市,1
鹰潭市,3
黄冈市,3
黄山市,3
黄石市,11
黔东南苗族侗族自治州,1
黔南布依族苗族自治州,1
黔西南布依族苗族自治州,3
龙岩市,10
