城市,全部企业,企业密度
北京市,103656,63164.283442226755
石家庄市,4276,3041.251778093883
天津市,26876,22460.30419521979
长治市,1246,892.8699390899319
唐山市,1855,1376.9299287410925
巴彦淖尔市,319,48.97144611605772
锡林郭勒盟,326,16.30945948650217
赤峰市,869,96.53303118161317
邢台市,868,698.1420413415909
太原市,10171,14554.951345163136
衡水市,714,807.9665044698427
临汾市,1074,529.0119200078809
运城市,2386,1682.2957061270533
阿拉善盟,97,3.91002902289584
晋中市,1035,631.4055636896047
吕梁市,653,308.89309366130556
包头市,1425,513.1806395851339
保定市,3459,1559.1615956727517
承德市,524,132.69182071410484
呼伦贝尔市,427,16.877470355731226
廊坊市,1853,2886.742483252843
乌兰察布市,376,69.04656970765387
鄂尔多斯市,1514,174.2593402545982
秦皇岛市,639,818.9158016147636
沧州市,792,553.6912751677852
朔州市,385,362.3529411764706
阳泉市,725,1590.261022153981
乌海市,208,1246.2552426602754
邯郸市,1481,1227.5176129299625
忻州市,476,189.24936386768448
兴安盟,245,44.43960748036494
呼和浩特市,3929,2286.163156057256
大同市,714,507.9681274900399
雄安新区,3,25.64102564102564
通辽市,574,97.5178811097331
张家口市,1113,302.4703100796261
晋城市,928,984.6153846153846
山西转型综合改革示范区,53,898.9602591719387
沈阳市,12471,9607.858243451463
七台河市,92,148.62681744749597
长春市,8273,3343.43679275784
大连市,8033,6068.595603233361
伊春市,86,26.21951219512195
朝阳市,647,328.45974210579755
铁岭市,274,211.01270696958028
吉林市,1066,384.6847822164483
葫芦岛市,387,371.79364011912764
四平市,261,254.83304042179262
阜新市,308,298.2473128691779
佳木斯市,349,107.4838312288266
牡丹江市,438,112.8080974579545
齐齐哈尔市,451,106.73293101408117
大庆市,946,446.1211978307002
抚顺市,704,624.6118356845001
锦州市,564,561.7529880478088
双鸭山市,95,43.08194639698879
鞍山市,761,822.2582387898433
白山市,196,111.96800914024563
本溪市,220,261.46898027097694
松原市,393,178.63636363636363
辽阳市,260,548.1762597512123
鸡西市,160,71.13007913221303
丹东市,470,307.3904512753433
哈尔滨市,6398,1205.6229742971282
辽源市,110,214.00778210116732
绥化市,331,94.91583746738164
延边朝鲜族自治州,495,114.24219345011423
白城市,215,83.46597305796031
鹤岗市,127,86.60075008523695
大兴安岭地区,25,3.0146269700587243
上海市,72082,113685.04061193913
黑河市,172,25.724626843348986
营口市,671,1242.638616245046
盘锦市,481,1183.271832718327
通化市,252,161.4142966948501
杭州市,47332,28084.257519326766
南京市,32418,49212.804619791685
中国（江苏）自由贸易试验区苏州片区,2,71.94244604316546
南通市,5549,5260.214238316428
乌鲁木齐市,6656,4681.949593072741
苏州市,30593,35337.72576270717
徐州市,7586,6447.938801529961
扬州市,3677,5578.6418578682815
镇江市,2440,6354.166666666667
无锡市,9513,20557.714167167298
连云港市,2256,2962.5738673670385
常州市,5709,13058.096980786824
滁州市,1367,1011.3939035217519
湖州市,3242,5570.446735395189
宿迁市,2741,3215.626466447677
泰州市,2442,4219.803006739243
温州市,8403,6964.774140074595
嘉兴市,5134,12157.23419370116
盐城市,3347,1972.0716474192789
金华市,6741,6160.665326265765
淮安市,2665,2657.028913260219
绍兴市,3532,4266.215726537021
舟山市,854,5869.415807560136
宁波市,13109,13996.99751643785
衢州市,1226,1386.0938383267383
丽水市,1484,859.0448625180898
马鞍山市,971,2398.1229933316868
安庆市,1549,1144.1867336386467
台州市,3095,3083.2835226140664
亳州市,1089,1278.0190118530688
淮北市,734,2677.8547975191536
合肥市,26012,22727.82874617737
淮南市,847,1531.0088028487248
铜陵市,502,1668.8829787234042
芜湖市,4853,8053.435114503816
蚌埠市,1311,2202.9910939337924
黄山市,400,407.8719282145406
阜阳市,2489,2459.9723265467483
南平市,957,364.15525114155247
宿州市,1584,1593.7217023845458
池州市,418,497.6782950351232
龙岩市,2372,1246.583981500946
莆田市,2894,7005.56765916243
厦门市,25874,135324.26778242676
三明市,1459,635.3146091878946
六安市,1846,1194.7446767199533
宁德市,2205,1641.6021441334126
福州市,22646,18485.021630887273
宣城市,694,563.6319337285795
宜春市,2245,1202.528255396647
九江市,4027,2110.8082608239856
赣州市,4060,1031.4254502959632
枣庄市,2780,6091.148115687993
抚州市,1280,680.923502500266
萍乡市,1237,3228.9219524928217
南昌市,8843,12290.479499652536
景德镇市,496,942.6073736221969
漳州市,3441,2671.113087988375
吉安市,1650,652.9223220292034
上饶市,2297,1010.2476140211988
青岛市,21905,19396.97157531214
海口市,31365,136083.1988337585
