城市,全部企业,企业密度
北京市,2082,1268.6968253329871
石家庄市,68,48.36415362731152
天津市,315,263.2458632792913
长治市,14,10.032246506628448
唐山市,32,23.75296912114014
巴彦淖尔市,2,0.30703101013202333
赤峰市,3,0.3332555736994701
邢台市,7,5.630177752754765
太原市,115,164.56783056668573
衡水市,2,2.2632114971144053
临汾市,9,4.433060782188947
运城市,6,4.23041669604456
阿拉善盟,1,0.04030957755562722
晋中市,11,6.7105905319668135
吕梁市,3,1.4191106906338693
包头市,19,6.842408527801786
保定市,21,9.465855307640297
承德市,7,1.7726006583945302
呼伦贝尔市,2,0.07905138339920949
廊坊市,19,29.599626109985977
乌兰察布市,2,0.36726898780666956
鄂尔多斯市,6,0.6905918372044842
秦皇岛市,17,21.78649237472767
沧州市,13,9.088366890380312
朔州市,7,6.588235294117647
阳泉市,6,13.160780872998464
乌海市,1,5.991611743559017
邯郸市,6,4.973062577704102
忻州市,1,0.3975826972010178
兴安盟,1,0.1813861529810814
呼和浩特市,43,25.02036541370883
大同市,6,4.2686397268070575
通辽市,1,0.16989177893681726
张家口市,7,1.9023289942114847
晋城市,7,7.427055702917772
沈阳市,144,110.93990755007704
长春市,89,35.96831555124474
大连市,105,79.32310946589105
伊春市,1,0.3048780487804878
朝阳市,5,2.5383287643415575
铁岭市,3,2.3103581055063533
锡林郭勒盟,1,0.050029016829761255
吉林市,19,6.856482985096171
葫芦岛市,4,3.84282832164473
四平市,3,2.9291154071470418
阜新市,1,0.9683354313934347
佳木斯市,4,1.231906375115491
齐齐哈尔市,2,0.4733167672464797
牡丹江市,4,1.0302109356890823
大庆市,15,7.073803348266917
抚顺市,1,0.8872327211427558
锦州市,5,4.9800796812749
双鸭山市,1,0.453494172599882
鞍山市,23,24.85143165856294
本溪市,5,5.9424768243403845
辽阳市,4,8.433480919249421
鸡西市,1,0.44456299457633147
丹东市,17,11.118378024852843
哈尔滨市,91,17.147810356523706
辽源市,2,3.8910505836575875
延边朝鲜族自治州,4,0.923169240000923
鹤岗市,1,0.6818956699624956
上海市,1119,1764.8450437662646
黑河市,1,0.14956178397295922
营口市,6,11.111522648987
盘锦市,6,14.760147601476014
通化市,4,2.5621316935690492
南京市,386,585.975155260645
苏州市,284,328.0460927862202
徐州市,49,41.6489587760306
无锡市,156,337.1179869734152
南通市,53,50.24172907384587
连云港市,15,19.69796454366382
常州市,65,148.6733760292772
湖州市,35,60.13745704467353
宿迁市,7,8.212106992022525
杭州市,532,315.66012423480606
扬州市,54,81.92729407802209
镇江市,32,83.33333333333333
泰州市,32,55.29635389666494
温州市,124,102.77662660588479
嘉兴市,58,137.34312100402556
盐城市,40,23.568230025925054
金华市,50,45.69548528605374
淮安市,13,12.96111665004985
绍兴市,37,44.691387848774
舟山市,6,41.23711340206185
宁波市,152,162.29640876486027
衢州市,11,12.43640474844545
丽水市,17,9.84081041968162
马鞍山市,9,22.22771054581378
安庆市,12,8.863938543359431
台州市,35,34.86750348675035
淮北市,4,14.59321415541773
合肥市,162,141.5465268676278
淮南市,7,12.652965312799378
铜陵市,3,9.97340425531915
芜湖市,10,16.59475605708596
蚌埠市,6,10.082339102671819
黄山市,5,5.098399102681758
阜阳市,6,5.930025696778019
南平市,7,2.663622526636225
滁州市,7,5.179047055341816
亳州市,1,1.1735711770918904
宿州市,6,6.0368246302444915
池州市,3,3.571853792118109
龙岩市,17,8.934202228295144
莆田市,8,19.365770999757927
厦门市,316,1652.7196652719665
三明市,12,5.225342913128674
六安市,6,3.8832438029900973
宁德市,12,8.933889219773674
福州市,299,244.06170924822462
宣城市,2,1.6242995208316413
宜春市,13,6.963415287374793
九江市,11,5.765803543348359
赣州市,11,2.794502451540787
枣庄市,20,43.821209465381244
抚州市,1,0.5319714863283328
萍乡市,7,18.271991647089532
南昌市,75,104.23905489923558
漳州市,42,32.60294963542916
吉安市,3,1.1871314945985518
上饶市,7,3.0786823239653422
青岛市,267,236.42964668378642
泉州市,88,77.96580136440153
新余市,3,9.493670886075948
鹰潭市,4,11.235955056179774
潍坊市,43,26.636932416527287
日照市,16,29.856316476954653
济宁市,42,37.54357736658621
威海市,19,32.77557357253752
景德镇市,3,5.701254275940707
东营市,34,41.24711876743904
济南市,264,257.71183131589225
泰安市,26,33.50083752093802
烟台市,68,18.705985915492956
淄博市,55,92.20452640402347
鹤壁市,3,14.018691588785046
聊城市,15,17.385257301808068
平顶山市,7,8.849557522123893
新乡市,21,25.32866964178024
临沂市,49,28.503286603455294
漯河市,4,15.284677111196027
洛阳市,25,16.40850616959832
濮阳市,6,14.048232264106765
许昌市,1,2.008435428800964
三门峡市,4,4.025764895330113
德州市,15,14.481560146746475
郑州市,190,251.08428767387582
开封市,4,6.410256410256411
焦作市,7,17.623363544813696
菏泽市,11,9.049773755656108
滨州市,16,17.444395987788923
安阳市,9,12.24156692056583
南阳市,17,6.4124325751574816
荆门市,10,8.104384471999351
黄冈市,6,3.437016669530847
荆州市,13,9.220512093056245
湘潭市,11,21.973631642029563
襄阳市,12,6.08272506082725
潜江市,2,9.98003992015968
商丘市,1,0.9342301943198804
仙桃市,2,7.880220646178092
株洲市,24,19.5726635132931
黄石市,12,26.28696604600219
孝感市,6,6.738544474393531
鄂州市,4,25.062656641604008
衡阳市,8,5.229099941172626
周口市,3,2.508151492350138
邵阳市,5,2.4010756819054935
十堰市,22,9.29603650807065
宜昌市,26,12.33162587744261
咸宁市,5,5.127400520738796
驻马店市,2,1.3259961546111516
济源市,2,10.357327809425167
恩施土家族苗族自治州,8,3.3333333333333335
随州市,3,3.1204493447056376
武汉市,356,415.44377213609283
信阳市,1,0.5286529921759356
揭阳市,8,15.194681861348526
阳江市,2,2.51414204902577
韶关市,10,5.430945527616357
怀化市,5,1.813368150001813
河源市,2,1.27762872109365
益阳市,9,7.305194805194805
肇庆市,12,8.058558861057014
郴州市,4,2.0680384655154582
清远市,3,1.5759613364152132
常德市,6,3.300874731803928
珠海市,174,1002.0386303168514
岳阳市,13,8.749495221429532
张家界市,4,4.195510803440318
汕头市,34,154.61292200232828
湛江市,21,15.833521827640805
娄底市,10,12.330456226880393
潮州市,8,25.429116338207248
江门市,20,21.043771043771045
北海市,10,25.068939583855602
茂名市,9,7.876082961407193
长沙市,187,158.20642978003383
梅州市,9,5.673040011951204
永州市,1,0.44925648052473155
湘西土家族苗族自治州,2,1.2928248222365868
汕尾市,2,4.113533525298231
佛山市,125,329.1448553342532
云浮市,1,1.2845215157353884
惠州市,38,33.491979552265114
东莞市,85,345.5172189522292
深圳市,629,3068.292682926829
中山市,44,246.6824020138254
广州市,1060,1425.804368879802
梧州市,4,3.1816735602927135
南宁市,122,55.20611792388795
柳州市,24,12.905307307630261
桂林市,21,7.590269996747026
贵港市,8,7.545746085644218
百色市,5,1.3811391635821224
防城港市,3,4.813863928112966
澄迈县,2,9.632612171768738
玉林市,8,6.238303181534623
重庆市,350,42.527339003645196
东方市,1,4.400207689802959
海口市,100,433.8695961541799
三亚市,8,41.67578324425135
西藏自治区,1,0.008316914358237778
拉萨市,12,4.049401346628418
酒泉市,7,0.36458333333333337
遵义市,7,2.2751649494588357
定西市,4,2.039879647100821
黔西南布依族苗族自治州,3,1.7850767583006069
和田地区,2,0.08033870799289805
平凉市,2,1.7903500134276251
天水市,9,6.303845345660854
金昌市,4,5.298715061597562
武威市,4,1.2364114517665075
崇左市,4,2.3078698361412417
张掖市,4,1.094331363536879
六盘水市,1,1.0086746015735324
山南市,1,0.12617659676483206
黔东南苗族侗族自治州,1,0.3302291790502609
来宾市,5,3.7363622776864442
黔南布依族苗族自治州,1,0.38175224279442643
西宁市,36,47.324832391218614
庆阳市,7,2.5814064977689273
陇南市,1,0.3592083048960092
钦州市,3,2.757606397646842
昌都市,1,0.09106058260560751
临夏回族自治州,1,1.364070386031919
兰州市,131,99.30260764099454
贵阳市,88,109.41191097849061
毕节市,1,0.37245335021788517
博尔塔拉蒙古自治州,3,0.1102941176470588
