城市,全部企业,企业密度
北京市,7591,4625.685687369214
石家庄市,276,196.30156472261734
天津市,1343,1122.3466488383754
长治市,50,35.829451809387315
唐山市,123,91.3004750593824
巴彦淖尔市,11,1.6886705557261283
锡林郭勒盟,11,0.5503191851273738
赤峰市,29,3.2214705457615445
邢台市,14,11.26035550550953
太原市,468,669.7195191757297
衡水市,21,23.763720719701254
临汾市,32,15.761993892227364
运城市,36,25.38250017626736
阿拉善盟,4,0.16123831022250887
晋中市,47,28.67252318204002
吕梁市,18,8.514664143803216
包头市,93,33.491789109766636
保定市,83,37.41266621591165
承德市,20,5.064573309698657
呼伦贝尔市,16,0.6324110671936759
廊坊市,68,105.9355039725814
乌兰察布市,10,1.8363449390333477
鄂尔多斯市,75,8.632397965056052
秦皇岛市,46,58.95168524926311
沧州市,41,28.663310961968676
朔州市,20,18.823529411764707
阳泉市,28,61.416977407326165
乌海市,15,89.87417615338525
邯郸市,39,32.32490675507666
忻州市,6,2.3854961832061066
兴安盟,7,1.2697030708675698
呼和浩特市,181,105.31828232282089
大同市,25,17.785998861696072
通辽市,20,3.3978355787363452
张家口市,24,6.522270837296519
晋城市,47,49.86737400530504
山西转型综合改革示范区,1,16.961514323998845
沈阳市,635,489.2141756548536
长春市,474,191.5615906886518
大连市,491,370.9299690262144
伊春市,1,0.3048780487804878
朝阳市,19,9.645649304497919
铁岭市,16,12.321909896033885
吉林市,87,31.395474721229835
葫芦岛市,19,18.253434527812466
四平市,12,11.716461628588167
阜新市,14,13.556696039508086
佳木斯市,13,4.003695719125346
牡丹江市,25,6.438818348056764
齐齐哈尔市,17,4.023192521595077
大庆市,61,28.76680028295213
抚顺市,12,10.646792653713069
锦州市,29,28.884462151394423
双鸭山市,3,1.360482517799646
鞍山市,67,72.39330091842247
白山市,13,7.426449585832619
本溪市,13,15.450439743285001
松原市,17,7.727272727272727
辽阳市,19,40.059034366434744
鸡西市,8,3.5565039566106518
丹东市,47,30.739045127534332
哈尔滨市,331,62.37280470339941
辽源市,8,15.56420233463035
