城市,全部企业,企业密度
北京市,130720,79656.12344261675
石家庄市,6192,4403.982930298719
天津市,31053,25951.027912418518
长治市,1575,1128.6277319957005
唐山市,2600,1929.9287410926363
巴彦淖尔市,391,60.02456248081056
锡林郭勒盟,369,18.460707210181905
赤峰市,1067,118.5278990457782
邢台市,1393,1120.4053727981982
太原市,12329,17643.102461362334
衡水市,1063,1202.8969107163064
临汾市,1292,636.3905033986798
运城市,3240,2284.4250158640625
阿拉善盟,112,4.514672686230249
晋中市,1264,771.1078574914593
吕梁市,805,380.7947019867549
包头市,1688,607.8939786804955
保定市,5613,2530.0878972278565
承德市,874,221.32185363383132
呼伦贝尔市,498,19.68379446640316
廊坊市,2929,4563.016046113102
乌兰察布市,455,83.55369472601733
鄂尔多斯市,1897,218.3421191961511
秦皇岛市,935,1198.2570806100218
沧州市,1237,864.7930648769574
朔州市,464,436.70588235294116
阳泉市,771,1691.1603421803027
乌海市,243,1455.961653684841
邯郸市,2593,2149.1918773311227
忻州市,547,217.47773536895673
兴安盟,334,60.58297509568119
呼和浩特市,4901,2851.739788199697
大同市,897,638.1616391576551
雄安新区,3,25.64102564102564
通辽市,653,110.93933164574166
张家口市,1716,466.3423648667011
晋城市,1080,1145.8885941644562
山西转型综合改革示范区,134,2272.8429194158452
沈阳市,14349,11054.699537750384
七台河市,112,180.93699515347333
长春市,9624,3889.4277400581955
大连市,8859,6692.604064365037
伊春市,97,29.573170731707314
朝阳市,708,359.42735303076455
铁岭市,316,243.35772044666925
吉林市,1284,463.3539027822886
葫芦岛市,426,409.26121625516373
四平市,306,298.76977152899826
阜新市,340,329.2340466737678
佳木斯市,471,145.05697566984907
牡丹江市,532,137.01805444664794
齐齐哈尔市,501,118.56585019524316
大庆市,1166,549.8703136052817
抚顺市,710,629.9352320113566
锦州市,618,615.5378486055777
双鸭山市,120,54.41930071198584
鞍山市,841,908.6980010804971
白山市,228,130.248500428449
本溪市,259,307.82029950083194
松原市,482,219.09090909090907
辽阳市,292,615.6441071052077
鸡西市,215,95.58104383391127
丹东市,531,347.2858077174624
哈尔滨市,7705,1451.9107560111554
辽源市,134,260.7003891050584
绥化市,435,124.73833624867375
延边朝鲜族自治州,599,138.24459369013823
白城市,251,97.44167087231646
鹤岗市,147,100.23866348448686
大兴安岭地区,42,5.064573309698657
上海市,86076,135755.85521646557
黑河市,225,33.651401393915826
营口市,763,1413.0152968628468
盘锦市,536,1318.5731857318572
通化市,276,176.7870868562644
杭州市,56093,33282.562685531906
南京市,37570,57033.90306513584
中国（江苏）自由贸易试验区苏州片区,40,1438.8489208633093
南通市,6748,6396.8148639681485
苏州市,35121,40567.981777270565
徐州市,8754,7440.713982150445
扬州市,4289,6507.151190752532
镇江市,2803,7299.479166666666
无锡市,11437,24715.502673172752
连云港市,2778,3648.0630334865396
常州市,6837,15638.151875571819
滁州市,1654,1223.7348327907664
湖州市,3679,6321.305841924398
宿迁市,3384,3969.9671515720315
泰州市,2787,4815.966822187662
温州市,9633,7984.251968503936
嘉兴市,5897,13964.006630357566
盐城市,4008,2361.53664859769
金华市,7758,7090.111496984097
淮安市,3302,3292.1236291126615
绍兴市,4110,4964.367677255706
舟山市,946,6501.718213058419
宁波市,14755,15754.496785036272
衢州市,1537,1737.7049180327867
丽水市,1703,985.8176555716353
马鞍山市,1155,2852.5561867127685
安庆市,2016,1489.1416752843845
台州市,3562,3548.5156405658495
亳州市,1239,1454.0546884168523
淮北市,890,3246.990149580445
合肥市,29922,26144.167758846655
淮南市,1008,1822.0270050431104
铜陵市,637,2117.686170212766
芜湖市,5435,9019.24991702622
蚌埠市,1575,2646.6140144513524
黄山市,500,509.8399102681758
阜阳市,3085,3049.0215457600316
南平市,1224,465.75342465753425
宿州市,1858,1869.403360499044
池州市,510,607.2151446600785
