城市,全部企业,企业密度
北京市,15054,9173.372722652635
石家庄市,648,460.88193456614505
天津市,3085,2578.1380578305198
长治市,107,76.67502687208886
唐山市,267,198.18883610451303
巴彦淖尔市,41,6.294135707706478
锡林郭勒盟,41,2.0511896900202116
赤峰市,98,10.886348740849357
邢台市,47,37.802622054210566
太原市,963,1378.07670291929
衡水市,56,63.36992191920335
临汾市,93,45.80829474928578
运城市,98,69.09680603539448
阿拉善盟,10,0.4030957755562722
晋中市,108,65.88579795021963
吕梁市,52,24.597918637653734
包头市,217,78.14750792278882
保定市,220,99.16610322289834
承德市,56,14.180805267156241
呼伦贝尔市,46,1.8181818181818181
廊坊市,165,257.0493846393519
乌兰察布市,29,5.325400323196709
鄂尔多斯市,174,20.027163278930043
秦皇岛市,86,110.21402024862232
沧州市,92,64.31767337807605
朔州市,51,48.0
阳泉市,52,114.06010089932002
乌海市,26,155.78190533253442
邯郸市,119,98.63240779113136
忻州市,41,16.300890585241728
兴安盟,18,3.2649507536594653
呼和浩特市,501,291.5163505178634
大同市,52,36.994877632327835
通辽市,67,11.382749188766756
张家口市,73,19.83857379677691
晋城市,106,112.46684350132625
山西转型综合改革示范区,1,16.961514323998845
沈阳市,1371,1056.2403697996917
七台河市,6,9.693053311793214
长春市,1010,408.1797607500808
大连市,981,741.1044798670393
伊春市,3,0.9146341463414633
朝阳市,50,25.383287643415574
铁岭市,31,23.87370042356565
吉林市,174,62.79094944245967
葫芦岛市,35,33.624747814391384
四平市,32,31.24389767623511
阜新市,25,24.20838578483587
佳木斯市,26,8.007391438250693
牡丹江市,50,12.877636696113528
齐齐哈尔市,32,7.573068275943675
大庆市,126,59.419948125442104
抚顺市,37,32.827610682281964
锦州市,59,58.764940239043824
双鸭山市,6,2.720965035599292
鞍山市,125,135.06212857914642
白山市,27,15.424164524421592
本溪市,28,33.277870216306155
松原市,46,20.909090909090907
辽阳市,33,69.57621758380772
鸡西市,17,7.5575709077976345
丹东市,75,49.05166775670372
哈尔滨市,697,131.34092108238485
辽源市,16,31.1284046692607
绥化市,26,7.455624695323029
延边朝鲜族自治州,56,12.924369360012923
白城市,16,6.211421250824953
鹤岗市,11,7.500852369587452
大兴安岭地区,3,0.36175523640704693
上海市,7546,11901.269615960886
黑河市,20,2.9912356794591846
营口市,63,116.67098781436349
盘锦市,54,132.84132841328412
通化市,27,17.294388931591083
南京市,3223,4892.7407393913445
乌鲁木齐市,880,619.007758699521
苏州市,2901,3350.921532298679
徐州市,573,487.0378240543986
扬州市,378,573.4910585461546
无锡市,1150,2485.1646475604325
南通市,441,418.04910418049104
连云港市,194,254.7603414313854
常州市,610,1395.242451967063
湖州市,246,422.68041237113397
宿迁市,220,258.09479117785077
杭州市,5063,3004.111295114329
镇江市,243,632.8125
泰州市,217,374.9783998617591
温州市,859,711.9767923746373
嘉兴市,549,1300.0236798484489
盐城市,310,182.65378270091915
金华市,506,462.4383110948638
淮安市,199,198.40478564307077
绍兴市,303,365.9862302210411
舟山市,72,494.8453608247422
宁波市,1388,1482.0224695106976
衢州市,114,128.8863764838892
丽水市,126,72.93777134587555
马鞍山市,128,316.127438873796
安庆市,100,73.86615452799526
滁州市,99,73.24652263983427
台州市,257,256.02709703128113
亳州市,47,55.15784532331885
淮北市,64,233.49142648668368
合肥市,2291,2001.74748798602
淮南市,66,119.29938723496556
铜陵市,39,129.65425531914894
芜湖市,208,345.170925987388
蚌埠市,80,134.43118803562425
黄山市,34,34.669113898235956
阜阳市,143,141.33227910654279
南平市,103,39.19330289193303
宿州市,60,60.368246302444916
池州市,37,44.052863436123346
龙岩市,177,93.02081143577885
莆田市,215,520.4550956184943
厦门市,3844,20104.60251046025
三明市,147,64.01045068582626
六安市,86,55.659827842858064
宁德市,265,197.29005360333528
福州市,3112,2540.2007999346993
宣城市,47,38.17103873954357
宜春市,150,80.34709946970915
九江市,168,88.05954502568403
赣州市,242,61.47905393389731
枣庄市,188,411.9193689745837
抚州市,74,39.36588998829662
萍乡市,51,133.1245105716523
南昌市,904,1256.4280750521195
景德镇市,30,57.01254275940707
漳州市,361,280.23011472356967
吉安市,109,43.13244430374738
上饶市,163,71.68931697233583
青岛市,2530,2240.325865580448
泉州市,843,746.8769380703463
新余市,51,161.39240506329114
鹰潭市,27,75.84269662921348
