城市,全部企业,企业密度
北京市,9591,5844.41462620974
石家庄市,370,263.1578947368421
天津市,1779,1486.7123516630452
长治市,66,47.29487638839126
唐山市,164,121.73396674584322
巴彦淖尔市,19,2.9167945962542214
锡林郭勒盟,23,1.150667387084509
赤峰市,49,5.443174370424678
邢台市,21,16.890533258264295
太原市,589,842.8734974241556
衡水市,28,31.684960959601675
临汾市,43,21.18017929268052
运城市,47,33.13826411901572
阿拉善盟,4,0.16123831022250887
晋中市,63,38.43338213762811
吕梁市,29,13.718070009460735
包头市,130,46.81647940074906
保定市,114,51.38607167004733
承德市,27,6.837173968093188
呼伦贝尔市,22,0.8695652173913043
廊坊市,91,141.76663031624864
乌兰察布市,14,2.570882914646687
鄂尔多斯市,98,11.279666674339909
秦皇岛市,57,73.04882737408688
沧州市,53,37.05257270693512
朔州市,28,26.352941176470587
阳泉市,36,78.96468523799078
乌海市,19,113.84062312762131
邯郸市,64,53.04600082884376
忻州市,19,7.554071246819338
兴安盟,8,1.4510892238486512
呼和浩特市,281,163.50517863377166
大同市,35,24.900398406374503
通辽市,32,5.436536925978152
张家口市,36,9.783406255944778
晋城市,65,68.96551724137932
山西转型综合改革示范区,1,16.961514323998845
沈阳市,824,634.8228043143297
长春市,602,243.29130294212737
大连市,617,466.1177003852836
伊春市,1,0.3048780487804878
朝阳市,30,15.229972586049346
铁岭市,19,14.632268001540238
吉林市,103,37.169355129731876
葫芦岛市,24,23.05696992986838
四平市,17,16.598320640499903
阜新市,18,17.430037765081824
佳木斯市,14,4.311672312904219
牡丹江市,36,9.27189842120174
齐齐哈尔市,19,4.4965092888415565
大庆市,77,36.31219052110351
抚顺市,16,14.195723538284092
锦州市,36,35.85657370517928
双鸭山市,3,1.360482517799646
鞍山市,88,95.08373851971908
白山市,14,7.997714938588974
本溪市,16,19.01592583788923
松原市,23,10.454545454545453
辽阳市,21,44.275774826059454
鸡西市,10,4.445629945763314
丹东市,55,35.97122302158273
哈尔滨市,433,81.59342730082159
辽源市,12,23.346303501945524
绥化市,10,2.8675479597396265
延边朝鲜族自治州,38,8.77010778000877
白城市,9,3.4939244535890364
鹤岗市,5,3.4094783498124785
大兴安岭地区,2,0.24117015760469795
上海市,5080,8011.9864364009145
黑河市,14,2.093864975621429
营口市,42,77.780658542909
盘锦市,37,91.02091020910208
通化市,11,7.045862157314885
南京市,2030,3081.6828113448432
乌鲁木齐市,576,405.168714785141
苏州市,1826,2109.1977655902747
徐州市,337,286.4428389290268
扬州市,238,361.08696278831957
无锡市,725,1566.734234331577
南通市,284,269.2198312636269
连云港市,117,153.6441234405778
常州市,379,866.8801463860932
湖州市,148,254.2955326460481
宿迁市,130,152.51055842327546
杭州市,3021,1792.4985626190771
镇江市,151,393.2291666666667
泰州市,130,224.64143770520133
温州市,548,454.20638209697466
