城市,全部企业,企业密度
北京市,963,586.817984051713
石家庄市,31,22.048364153627308
天津市,173,144.57629951529333
长治市,7,5.016123253314224
唐山市,15,11.13420427553444
赤峰市,2,0.2221703824663134
邢台市,4,3.21724443014558
太原市,57,81.56840297653119
衡水市,1,1.1316057485572026
临汾市,6,2.955373854792631
运城市,2,1.41013889868152
晋中市,5,3.0502684236212785
包头市,10,3.601267646211466
保定市,13,5.859815190443993
承德市,5,1.2661433274246643
呼伦贝尔市,2,0.07905138339920949
廊坊市,6,9.347250350521888
乌兰察布市,1,0.18363449390333478
鄂尔多斯市,3,0.3452959186022421
秦皇岛市,10,12.815583749839805
沧州市,9,6.291946308724832
朔州市,4,3.764705882352941
阳泉市,3,6.580390436499232
乌海市,1,5.991611743559017
邯郸市,2,1.6576875259013675
忻州市,1,0.3975826972010178
呼和浩特市,20,11.637379262190153
大同市,6,4.2686397268070575
张家口市,3,0.8152838546620649
晋城市,2,2.1220159151193636
沈阳市,75,57.78120184899846
长春市,45,18.18622696411251
大连市,45,33.995618342524736
伊春市,1,0.3048780487804878
朝阳市,1,0.5076657528683115
锡林郭勒盟,1,0.050029016829761255
吉林市,11,3.9695427808451518
葫芦岛市,2,1.921414160822365
四平市,2,1.9527436047646944
阜新市,1,0.9683354313934347
大庆市,9,4.24428200896015
锦州市,4,3.9840637450199203
双鸭山市,1,0.453494172599882
吕梁市,1,0.4730368968779564
鞍山市,15,16.207455429497568
本溪市,4,4.753981459472308
辽阳市,3,6.325110689437065
丹东市,11,7.194244604316546
哈尔滨市,55,10.36406120449235
辽源市,1,1.9455252918287937
延边朝鲜族自治州,2,0.4615846200004615
上海市,513,809.0844570617459
营口市,4,7.407681765991333
通化市,3,1.921598770176787
佳木斯市,1,0.30797659377887276
牡丹江市,1,0.25755273392227057
南京市,190,288.433366579074
苏州市,136,157.0924951370632
徐州市,28,23.799405014874626
无锡市,80,172.88101896072573
南通市,21,19.907100199071003
常州市,38,86.9167429094236
湖州市,24,41.23711340206185
宿迁市,5,5.865790708587517
杭州市,257,152.4899472337315
扬州市,29,43.99799126412297
镇江市,18,46.875
泰州市,13,22.46414377052013
温州市,89,73.76709490261085
嘉兴市,39,92.35140895098272
盐城市,15,8.838086259721894
金华市,30,27.41729117163224
淮安市,9,8.973080757726818
绍兴市,22,26.57325763981157
舟山市,5,34.36426116838488
宁波市,86,91.82559969590778
连云港市,4,5.252790544977018
衢州市,5,5.6529112492933855
丽水市,8,4.630969609261939
马鞍山市,4,9.878982464806125
安庆市,7,5.170630816959669
台州市,22,21.916716477385933
淮北市,1,3.6483035388544325
合肥市,70,61.16207951070336
淮南市,2,3.615132946514108
铜陵市,2,6.648936170212766
芜湖市,4,6.637902422834384
蚌埠市,2,3.3607797008906064
黄山市,2,2.039359641072703
阜阳市,5,4.941688080648349
南平市,3,1.1415525114155252
滁州市,3,2.219591595146493
宿州市,2,2.012274876748164
池州市,1,1.1906179307060363
龙岩市,6,3.153247845280639
莆田市,5,12.103606874848705
厦门市,170,889.1213389121339
六安市,2,1.294414600996699
宁德市,8,5.9559261465157824
福州市,136,111.0113460125704
宣城市,1,0.8121497604158207
宜春市,5,2.6782366489903047
九江市,5,2.6208197924310723
赣州市,5,1.270228387063994
枣庄市,9,19.719544259421557
抚州市,1,0.5319714863283328
萍乡市,5,13.051422605063951
南昌市,42,58.37387074357192
漳州市,24,18.630256934530948
吉安市,2,0.7914209963990345
上饶市,2,0.8796235211329549
三明市,5,2.177226213803614
青岛市,155,137.25316567785353
泉州市,54,47.84265083724639
新余市,1,3.1645569620253164
鹰潭市,3,8.42696629213483
潍坊市,20,12.38927089140804
日照市,3,5.598059339428998
济宁市,17,15.196209886475373
景德镇市,2,3.800836183960471
东营市,17,20.62355938371952
济南市,127,123.97500976181179
烟台市,38,10.453345070422534
淄博市,28,46.940486169321034
鹤壁市,2,9.345794392523363
聊城市,8,9.272137227630969
平顶山市,5,6.321112515802781
新乡市,8,9.649017006392473
临沂市,22,12.797393985224826
漯河市,2,7.6423385555980134
洛阳市,15,9.845103701758992
许昌市,1,2.008435428800964
三门峡市,2,2.0128824476650564
德州市,10,9.654373431164316
威海市,10,17.250301880282905
郑州市,89,117.6131663314471
开封市,3,4.8076923076923075
泰安市,13,16.75041876046901
菏泽市,6,4.936240230357877
滨州市,5,5.451373746184038
安阳市,7,9.521218715995646
南阳市,4,1.508807664742937
荆门市,4,3.2417537887997407
黄冈市,2,1.145672223176949
荆州市,10,7.092701610043265
湘潭市,7,13.983220135836994
濮阳市,4,9.365488176071176
襄阳市,8,4.0551500405515
潜江市,1,4.99001996007984
商丘市,1,0.9342301943198804
仙桃市,1,3.940110323089046
株洲市,10,8.155276463872125
黄石市,8,17.524644030668128
孝感市,5,5.615453728661275
鄂州市,1,6.265664160401002
衡阳市,3,1.9609124779397347
周口市,3,2.508151492350138
邵阳市,2,0.9604302727621974
焦作市,3,7.552870090634441
十堰市,11,4.648018254035325
宜昌市,9,4.2686397268070575
咸宁市,2,2.0509602082955185
驻马店市,1,0.6629980773055758
济源市,1,5.178663904712583
恩施土家族苗族自治州,4,1.6666666666666667
随州市,2,2.0802995631370917
武汉市,190,221.72560872431922
信阳市,1,0.5286529921759356
揭阳市,7,13.29534662867996
阳江市,1,1.257071024512885
韶关市,6,3.2585673165698146
怀化市,1,0.3626736300003626
益阳市,5,4.058441558441558
肇庆市,8,5.3723725740380095
郴州市,2,1.0340192327577291
常德市,4,2.200583154535952
珠海市,107,616.1961692178339
岳阳市,9,6.057342845605061
张家界市,2,2.097755401720159
汕头市,24,109.13853317811407
湛江市,9,6.785795068988916
娄底市,3,3.699136868064118
潮州市,4,12.714558169103624
江门市,14,14.73063973063973
北海市,6,15.04136375031336
茂名市,8,7.00096263236195
长沙市,100,84.60236886632825
梅州市,4,2.5213511164227573
永州市,1,0.44925648052473155
湘西土家族苗族自治州,2,1.2928248222365868
汕尾市,2,4.113533525298231
佛山市,61,160.62268940311554
惠州市,20,17.6273576590869
东莞市,40,162.59633833046078
深圳市,267,1302.4390243902437
中山市,18,100.91552809656493
广州市,564,758.6355321209512
梧州市,4,3.1816735602927135
南宁市,55,24.888003982080633
柳州市,14,7.528095929450986
桂林市,14,5.0601799978313515
贵港市,5,4.716091303527636
百色市,5,1.3811391635821224
澄迈县,1,4.816306085884369
玉林市,5,3.8989394884591393
重庆市,190,23.086269744835963
海口市,46,199.58001423092273
三亚市,6,31.25683743318851
西藏自治区,1,0.008316914358237778
