城市,全部企业,企业密度
北京市,701,427.1644930636042
石家庄市,26,18.492176386913226
天津市,136,113.65535684439243
长治市,2,1.4331780723754928
唐山市,12,8.907363420427552
赤峰市,1,0.1110851912331567
邢台市,4,3.21724443014558
太原市,46,65.8271322266743
衡水市,1,1.1316057485572026
临汾市,4,1.9702492365284205
运城市,2,1.41013889868152
晋中市,4,2.440214738897023
包头市,7,2.5208873523480264
保定市,10,4.5075501464953796
承德市,3,0.7596859964547986
廊坊市,6,9.347250350521888
鄂尔多斯市,1,0.1150986395340807
秦皇岛市,9,11.534025374855824
沧州市,7,4.8937360178970915
朔州市,4,3.764705882352941
阳泉市,2,4.386926957666154
乌海市,1,5.991611743559017
邯郸市,2,1.6576875259013675
忻州市,1,0.3975826972010178
呼和浩特市,15,8.728034446642615
大同市,5,3.5571997723392146
张家口市,2,0.5435225697747099
晋城市,2,2.1220159151193636
沈阳市,61,46.995377503852076
长春市,33,13.336566440349175
大连市,33,24.930120117851477
伊春市,1,0.3048780487804878
朝阳市,1,0.5076657528683115
锡林郭勒盟,1,0.050029016829761255
吉林市,9,3.2478077297823966
葫芦岛市,1,0.9607070804111825
四平市,2,1.9527436047646944
阜新市,1,0.9683354313934347
大庆市,8,3.772695119075689
锦州市,1,0.9960159362549801
双鸭山市,1,0.453494172599882
吕梁市,1,0.4730368968779564
鞍山市,13,14.046461372231226
本溪市,3,3.565486094604231
呼伦贝尔市,1,0.039525691699604744
辽阳市,2,4.2167404596247104
丹东市,7,4.578155657292347
哈尔滨市,46,8.668123916484511
延边朝鲜族自治州,2,0.4615846200004615
上海市,394,621.4020976263702
营口市,3,5.5557613244935
通化市,2,1.2810658467845246
佳木斯市,1,0.30797659377887276
牡丹江市,1,0.25755273392227057
南京市,143,217.0840601095136
苏州市,100,115.50918760078176
徐州市,25,21.249468763280916
无锡市,61,131.82177695755337
南通市,15,14.219357285050716
常州市,33,75.48032936870997
湖州市,18,30.92783505154639
宿迁市,4,4.692632566870014
杭州市,188,111.54906645891641
扬州市,22,33.37778647623122
镇江市,17,44.270833333333336
泰州市,10,17.280110592707793
温州市,75,62.16328222130128
嘉兴市,31,73.40753019180677
盐城市,14,8.248880509073768
金华市,21,19.19210382014257
淮安市,8,7.976071784646061
绍兴市,19,22.94963159801908
舟山市,5,34.36426116838488
宁波市,67,71.53854860030025
连云港市,4,5.252790544977018
衢州市,3,3.3917467495760314
丽水市,6,3.4732272069464543
安庆市,5,3.6933077263997633
台州市,18,17.931858936043035
淮北市,1,3.6483035388544325
合肥市,54,47.182175622542594
淮南市,2,3.615132946514108
铜陵市,1,3.324468085106383
芜湖市,3,4.978426817125788
蚌埠市,2,3.3607797008906064
黄山市,2,2.039359641072703
阜阳市,5,4.941688080648349
滁州市,1,0.739863865048831
宿州市,1,1.006137438374082
池州市,1,1.1906179307060363
龙岩市,3,1.5766239226403196
莆田市,5,12.103606874848705
厦门市,135,706.0669456066945
六安市,2,1.294414600996699
宁德市,7,5.211435378201309
福州市,108,88.15606889233531
宣城市,1,0.8121497604158207
南平市,1,0.380517503805175
宜春市,5,2.6782366489903047
九江市,4,2.0966558339448578
赣州市,4,1.0161827096511953
枣庄市,8,17.528483786152496
抚州市,1,0.5319714863283328
