城市,全部企业,企业密度
北京市,42123,25668.259545389727
石家庄市,1927,1370.5547652916073
天津市,16934,14151.763329433394
长治市,638,457.18380508778216
唐山市,876,650.2375296912113
巴彦淖尔市,158,24.255449800429844
锡林郭勒盟,157,7.854555642272517
赤峰市,414,45.989269170526875
邢台市,282,226.8157323252634
太原市,5411,7743.274184315969
衡水市,275,311.19158085323073
临汾市,537,264.50596000394046
运城市,666,469.57625326094615
阿拉善盟,44,1.7736214124475975
晋中市,552,336.7496339677892
吕梁市,349,165.08987701040678
包头市,767,276.21722846441946
保定市,1202,541.8075276087446
承德市,195,49.37958976956191
呼伦贝尔市,212,8.379446640316205
廊坊市,667,1039.1026639663498
乌兰察布市,190,34.89055384163361
鄂尔多斯市,744,85.63338781335605
秦皇岛市,242,310.1371267461233
沧州市,330,230.70469798657717
朔州市,186,175.05882352941177
阳泉市,235,515.4639175257731
乌海市,104,623.1276213301377
邯郸市,483,400.3315375051802
忻州市,232,92.23918575063612
兴安盟,121,21.94772451071085
呼和浩特市,1965,1143.3725125101826
大同市,379,269.63574274331245
雄安新区,1,8.547008547008547
通辽市,295,50.11807478636109
张家口市,400,108.70451395494197
晋城市,457,484.8806366047745
山西转型综合改革示范区,101,1713.1129467238832
沈阳市,7416,5713.405238828967
七台河市,46,74.31340872374798
长春市,4711,1903.8958939540898
大连市,4733,3575.583591448213
伊春市,30,9.146341463414634
朝阳市,385,195.45131485429994
铁岭市,177,136.31112822487486
吉林市,619,223.37699830392262
葫芦岛市,269,258.4302046306081
四平市,140,136.6920523335286
阜新市,189,183.01539653335917
佳木斯市,126,38.80505081613797
牡丹江市,231,59.4946815360445
齐齐哈尔市,163,38.5753165305881
大庆市,454,214.10044800754537
抚顺市,466,413.45044805252417
锦州市,336,334.6613545816733
双鸭山市,29,13.151331005396578
鞍山市,555,599.67585089141
白山市,111,63.410454155955435
本溪市,149,177.08580936534347
松原市,230,104.54545454545453
辽阳市,199,419.56567573265863
鸡西市,78,34.67591357695385
丹东市,326,213.2112491824722
哈尔滨市,3512,661.7924172759479
辽源市,66,128.4046692607004
绥化市,146,41.86620021219854
延边朝鲜族自治州,269,62.08313139006208
白城市,89,34.55103070771381
鹤岗市,41,27.957722468462322
大兴安岭地区,24,2.8940418912563755
上海市,37339,58889.67747023106
黑河市,94,14.058807693458167
营口市,489,905.5890958924405
盘锦市,306,752.7675276752767
通化市,154,98.64207020240839
杭州市,28786,17080.060782374298
南京市,21164,32128.44089620801
中国（江苏）自由贸易试验区苏州片区,1,35.97122302158273
南通市,3054,2895.0611432363257
乌鲁木齐市,3878,2727.854645723571
苏州市,18914,21847.40774281186
徐州市,4739,4028.0492987675307
扬州市,2331,3536.5281943679533
镇江市,1546,4026.0416666666665
无锡市,5749,12423.662225065153
连云港市,1416,1859.4878529218645
常州市,3453,7897.987191216834
湖州市,1975,3393.4707903780063
宿迁市,1697,1990.8493664946034
泰州市,1506,2602.384655261794
温州市,5162,4278.491504351429
嘉兴市,3369,7977.740942457968
盐城市,2011,1184.892764553382
金华市,4508,4119.9049533906045
淮安市,1451,1446.6600199401794
绍兴市,2288,2763.618794540403
舟山市,533,3663.2302405498276
宁波市,8614,9197.508323029648
衢州市,751,849.0672696438666
丽水市,907,525.0361794500724
马鞍山市,598,1476.9078784885155
安庆市,731,539.9615895996454
滁州市,618,457.2358686001775
台州市,1947,1939.629408248655
亳州市,422,495.2470367327778
淮北市,357,1302.4443633710325
合肥市,14657,12806.465705548273
淮南市,393,710.3736239900222
铜陵市,221,734.7074468085106
芜湖市,1719,2852.6385662130765
蚌埠市,600,1008.2339102671818
黄山市,184,187.62108697868868
阜阳市,1087,1074.3229887329512
南平市,507,192.92237442922374
宿州市,672,676.1243585873831
池州市,219,260.74532682462194
龙岩市,1404,737.8599957956695
莆田市,1574,3810.215444202372
厦门市,16970,88755.23012552301
三明市,849,369.6930111038537
六安市,675,436.86492783638596
宁德市,1365,1016.2298987492554
福州市,14595,11913.313198922537
宣城市,340,276.130918541379
宜春市,1242,665.2739836091918
九江市,1651,865.3946954607401
赣州市,2248,571.0946828239718
枣庄市,1581,3464.0666082383873
抚州市,713,379.2956697521013
萍乡市,1048,2735.5781780214043
南昌市,5051,7020.152883947185
景德镇市,274,520.7145572025846
漳州市,2051,1592.1107071967906
吉安市,963,381.0692097661351
上饶市,1275,560.7599947222589
青岛市,13922,12327.990790755335
海口市,14719,63861.26585793374
江西省赣江新区直管区,1,21.50537634408602
泉州市,4264,3777.7974661114554
新余市,399,1262.6582278481012
鹰潭市,265,744.38202247191
潍坊市,3954,2449.3588552313695
日照市,1409,2629.221869751819
济宁市,3024,2703.1375703942076
威海市,1600,2760.0483008452647
东营市,1499,1818.512677423268
济南市,17010,16604.841858648964
