城市,全部企业,企业密度
北京市,21833,13304.254460852597
石家庄市,1025,729.0184921763869
天津市,5243,4381.581146581982
长治市,202,144.75098530992477
唐山市,422,313.2422802850356
巴彦淖尔市,60,9.2109303039607
锡林郭勒盟,65,3.251886093934482
赤峰市,161,17.88471578853823
邢台市,101,81.2354218611759
太原市,1533,2193.760732684602
衡水市,123,139.1875070725359
临汾市,153,75.3620332972121
运城市,165,116.3364591412254
阿拉善盟,21,0.8465011286681715
晋中市,174,106.1493411420205
吕梁市,98,46.357615894039725
包头市,341,122.803226735811
保定市,507,228.53279242731574
承德市,97,24.56318055203849
呼伦贝尔市,80,3.1620553359683794
廊坊市,273,425.2998909487459
乌兰察布市,75,13.772587042750109
鄂尔多斯市,303,34.874887778826455
秦皇岛市,135,173.01038062283737
沧州市,153,106.96308724832214
朔州市,75,70.58823529411765
阳泉市,82,179.86400526431234
乌海市,43,257.6393049730377
邯郸市,211,174.88603398259426
忻州市,65,25.842875318066156
兴安盟,36,6.529901507318931
呼和浩特市,801,466.0770394507157
大同市,98,69.7211155378486
通辽市,120,20.38701347241807
张家口市,165,44.840612006413565
晋城市,175,185.6763925729443
山西转型综合改革示范区,7,118.7306002679919
沈阳市,2315,1783.513097072419
七台河市,13,21.001615508885298
长春市,1633,659.957969608794
大连市,1526,1152.8291909042835
伊春市,5,1.5243902439024388
朝阳市,92,46.70524926388466
铁岭市,45,34.6553715825953
吉林市,278,100.32117209772292
葫芦岛市,67,64.36737438754923
四平市,50,48.81859011911736
阜新市,51,49.38510700106517
佳木斯市,42,12.935016938712657
牡丹江市,84,21.63442964947073
齐齐哈尔市,55,13.016211099278191
大庆市,204,96.20372553643007
抚顺市,77,68.3169195279922
锦州市,104,103.58565737051792
双鸭山市,10,4.53494172599882
鞍山市,186,200.97244732576985
白山市,48,27.420736932305054
本溪市,54,64.17874970287616
松原市,79,35.90909090909091
辽阳市,55,115.96036263967953
鸡西市,31,13.781452831866275
丹东市,115,75.2125572269457
哈尔滨市,1140,214.8187231476596
辽源市,27,52.52918287937743
绥化市,46,13.19072061480228
延边朝鲜族自治州,85,19.617346350019616
白城市,35,13.587483986179587
鹤岗市,20,13.637913399249914
大兴安岭地区,7,0.8440955516164429
上海市,11202,17667.376389874615
黑河市,34,5.0851006550806135
营口市,106,196.3035667987703
盘锦市,102,250.92250922509223
通化市,47,30.105047399436327
南京市,5412,8215.79673645236
乌鲁木齐市,1280,900.3749217447578
苏州市,4822,5569.853026109697
徐州市,971,825.3293667658307
扬州市,638,967.9558078107053
无锡市,1790,3868.2127992462383
南通市,736,697.6964641198218
连云港市,301,395.27248850952066
常州市,997,2280.4208600182983
湖州市,465,798.9690721649483
宿迁市,357,418.81745659314873
杭州市,8782,5210.765434267042
镇江市,393,1023.4375
泰州市,367,634.180058752376
温州市,1407,1166.183174471612
嘉兴市,955,2261.425526876628
盐城市,505,297.5489040773038
金华市,963,880.0950466093949
淮安市,330,329.01296111665
绍兴市,545,658.2920642589684
