城市,全部企业,企业密度
北京市,26634,16229.813278539277
石家庄市,1274,906.1166429587481
天津市,6838,5714.524486043791
长治市,264,189.17950555356504
唐山市,562,417.1615201900237
巴彦淖尔市,77,11.820693890082898
锡林郭勒盟,79,3.952292329551139
赤峰市,197,21.883782672931872
邢台市,140,112.6035550550953
太原市,2124,3039.496279336004
衡水市,169,191.24137150616724
临汾市,201,99.00502413555314
运城市,244,172.03694563914544
阿拉善盟,26,1.0480490164463077
晋中市,222,135.43191800878478
吕梁市,119,56.29139072847681
包头市,421,151.61336790550274
保定市,742,334.46022086995714
承德市,120,30.387439858191946
呼伦贝尔市,101,3.992094861660079
廊坊市,360,560.8350210313133
乌兰察布市,104,19.097987365946818
鄂尔多斯市,382,43.96768030201883
秦皇岛市,164,210.1755734973728
沧州市,213,148.90939597315435
朔州市,95,89.41176470588235
阳泉市,102,223.73327484097388
乌海市,52,311.56381066506884
邯郸市,273,226.27434728553666
忻州市,94,37.37277353689567
兴安盟,49,8.88792149607299
呼和浩特市,984,572.5590596997556
大同市,146,103.87023335230506
通辽市,146,24.80419972477532
张家口市,219,59.51572139033073
晋城市,234,248.27586206896552
山西转型综合改革示范区,16,271.3842291839815
沈阳市,2989,2302.773497688752
七台河市,18,29.079159935379646
长春市,2232,902.0368574199805
大连市,1938,1464.077963284732
伊春市,14,4.268292682926829
朝阳市,134,68.02721088435374
铁岭市,55,42.35656526761648
吉林市,329,118.72541589982318
葫芦岛市,91,87.4243443174176
四平市,63,61.511423550087876
阜新市,71,68.75181562893387
佳木斯市,49,15.090853095164766
牡丹江市,110,28.330800731449763
齐齐哈尔市,69,16.32942847000355
大庆市,266,125.44211270926667
抚顺市,124,110.01685742170172
锦州市,132,131.47410358565736
双鸭山市,12,5.441930071198584
鞍山市,226,244.19232847109672
白山市,66,37.70351328191945
本溪市,70,83.19467554076539
松原市,105,47.72727272727273
辽阳市,71,149.69428631667722
鸡西市,36,16.004267804747933
丹东市,139,90.9090909090909
哈尔滨市,1541,290.3821512022311
辽源市,35,68.09338521400778
绥化市,60,17.20528775843776
延边朝鲜族自治州,113,26.07953103002608
白城市,43,16.693194611592062
鹤岗市,29,19.774974428912376
大兴安岭地区,10,1.2058507880234899
上海市,13811,21782.193833293903
黑河市,51,7.627650982620921
营口市,149,275.93614578317715
盘锦市,124,305.0430504305043
通化市,77,49.321035101204195
南京市,7181,10901.26318633858
中国（江苏）自由贸易试验区苏州片区,1,35.97122302158273
乌鲁木齐市,1591,1119.1378910124295
苏州市,6078,7020.648422375515
徐州市,1273,1082.0229494262642
扬州市,820,1244.081132295891
无锡市,2243,4847.151569111348
南通市,940,891.0797231965115
连云港市,366,480.6303348653972
常州市,1222,2795.0594693504113
湖州市,635,1091.0652920962198
宿迁市,478,560.7695917409667
杭州市,11618,6893.49496872176
镇江市,496,1291.6666666666667
泰州市,482,832.9013305685156
温州市,1912,1584.7492747617073
嘉兴市,1264,2993.132843949799
盐城市,628,370.0212114070233
金华市,1314,1200.8773533174922
淮安市,433,431.70488534396804
绍兴市,740,893.82775697548
舟山市,179,1230.2405498281785
宁波市,3167,3381.5310957783713
衢州市,252,284.9067269643866
丽水市,311,180.02894356005788
马鞍山市,232,572.9809829587552
安庆市,303,223.81444821982566
滁州市,246,182.0065108020124
台州市,578,575.8119147240486
亳州市,129,151.39068184485387
淮北市,127,463.33454943451295
合肥市,5808,5074.705111402359
淮南市,162,292.82576866764276
铜陵市,90,299.20212765957444
芜湖市,459,761.6993030202456
蚌埠市,234,393.2112250042009
黄山市,76,77.49566636076273
阜阳市,410,405.21842261316465
南平市,216,82.1917808219178
宿州市,220,221.350236442298
池州市,78,92.86819859507084
龙岩市,577,303.2373344544881
莆田市,600,1452.4328249818445
厦门市,7123,37254.18410041841
三明市,398,173.30720661876768
六安市,237,153.38813021810884
宁德市,742,552.4121500893389
福州市,7355,6003.591543547465
宣城市,125,101.51872005197758
宜春市,349,186.9409180995233
九江市,381,199.7064681832477
赣州市,699,177.57792851154636
枣庄市,478,1047.3269062226116
抚州市,205,109.05415469730822
萍乡市,176,459.4100756982511
南昌市,1837,2553.16191799861
景德镇市,96,182.44013683010263
漳州市,1018,790.2333983063544
吉安市,264,104.46757152467255
上饶市,371,163.17016317016316
青岛市,5476,4849.021517754361
泉州市,1924,1704.6159298307787
新余市,127,401.8987341772152
鹰潭市,83,233.1460674157303
潍坊市,1311,812.116706931797
日照市,574,1071.0953536107481
济宁市,1105,987.7536426208992
威海市,597,1029.8430222528893
东营市,695,843.1396336285333
济南市,6626,6468.176493557205
泰安市,731,941.8889318386806
烟台市,1487,409.0558978873239
淄博市,930,1559.094719195306
鹤壁市,130,607.4766355140187
聊城市,605,701.205377839592
平顶山市,210,265.4867256637168
新乡市,339,408.87709564588107
临沂市,1497,870.8044907218894
南阳市,498,187.84655426049565
漯河市,142,542.6060374474589
洛阳市,760,498.8185875557889
濮阳市,134,313.74385389838443
许昌市,223,447.88110062261495
三门峡市,89,89.573268921095
德州市,564,544.5066615176675
郑州市,5667,7488.919253936076
开封市,246,394.2307692307692
焦作市,158,397.78449144008056
菏泽市,487,400.6581653640477
滨州市,573,624.7274313126908
安阳市,233,316.9205658324265
荆门市,143,115.89269794959073
黄冈市,285,163.25829180271523
荆州市,216,153.20235477693453
湘潭市,170,339.59248901318415
襄阳市,480,243.30900243309
潜江市,23,114.77045908183632
商丘市,157,146.67414050822123
仙桃市,57,224.58628841607563
株洲市,387,315.60919915185127
神农架林区,8,24.746579558706618
黄石市,197,431.5443592552026
孝感市,205,230.2336028751123
天门市,30,114.41647597254006
鄂州市,95,595.2380952380952
衡阳市,226,147.72207333812668
周口市,234,195.63581640331074
邵阳市,165,79.23549750288129
十堰市,373,157.61007352319783
宜昌市,609,288.8446215139442
咸宁市,191,195.86669989222202
济源市,56,290.0051786639047
驻马店市,144,95.47172313200292
恩施土家族苗族自治州,286,119.16666666666667
随州市,121,125.85812356979405
武汉市,7804,9107.087634129406
信阳市,277,146.43687883273418
揭阳市,118,224.12155745489076
阳江市,88,110.62225015713388
云浮市,55,70.64868336544636
韶关市,212,115.13604518546678
