城市,经度,纬度,面积
芜湖市,118.433065,31.352614,6026.0
海口市,110.198418,20.045805,2304.84
廊坊市,116.683546,39.538304,6419.0
宜春市,114.416826,27.816245,18669.0
东营市,118.674633,37.433992,8243.0
梅州市,116.122046,24.288832,15864.51
百色市,106.61869,23.90307,36202.0
榆林市,109.734104,38.28576,42920.0
遵义市,107.031922,27.721931,30767.0
邢台市,114.49742,37.060227,12433.0
黄冈市,114.872425,30.453722,17457.0
沧州市,116.838715,38.304676,14304.0
三亚市,109.511709,18.252865,1919.58
鹰潭市,117.039532,28.272092,3560.0
淮南市,117.018603,32.585384,5532.3
丽水市,119.923249,28.467694,17275.0
安阳市,114.39248,36.098779,7352.0
宝鸡市,107.237682,34.362862,18117.0
红河哈尼族彝族自治州,103.374873,23.363129,32174.0
中卫市,105.19677,37.500185,17441.6
伊犁哈萨克自治州,81.323691,43.917106,278851.95
巴音郭楞蒙古自治州,86.145298,41.764115,471526.0
眉山市,103.848417,30.077113,7140.0
普洱市,100.966011,22.825229,44266.0
泉州市,118.675724,24.874452,11287.0
湖州市,120.086881,30.894178,5820.0
连云港市,119.221487,34.596639,7615.0
银川市,106.230977,38.487783,9025.38
南阳市,112.528549,32.990218,26511.0
信阳市,114.091058,32.148624,18916.0
益阳市,112.355994,28.554853,12320.0
岳阳市,113.128922,29.35648,14858.0
孝感市,113.956962,30.918311,8904.0
秦皇岛市,119.52022,39.888243,7803.0
营口市,122.219148,40.625027,5399.8
揭阳市,116.372732,23.550968,5265.0
葫芦岛市,120.836783,40.710974,10409.0
儋州市,109.580812,19.520948,3394.0
乌海市,106.79415,39.655048,1669.0
运城市,111.007051,35.02667,14183.0
清远市,113.056098,23.682064,19036.0
玉林市,110.18097,22.654001,12824.0
漯河市,114.0166,33.58038,2617.0
长治市,,,13955
锡林郭勒盟,,,199884
赤峰市,,,90021
临汾市,,,20302
阿拉善盟,,,248080
晋中市,,,16392
吕梁市,,,21140
朔州市,,,10625
山西省,,,156000
阳泉市,,,4559
忻州市,,,25152
兴安盟,,,55131
七台河市,,,6190
朝阳市,,,19698
铁岭市,,,12985
