Domain,Model,RMSE,MAE,MAPE,SMAPE
软件开发,S-Curve (Logistic),5950.208710727009,5147.734587092081,0.8974255530620211,0.897724046097739
机器人,Auto ARIMA,5230.573836914014,2578.4905841217196,9.208798012225293,13.432208551505934
半导体,Auto ARIMA,485.45079202187384,217.4391456416418,10.199344319477792,14.535062722814152
物联网,Auto ARIMA,85.6269651297145,50.728440106332556,16.280534221647105,21.899620541299107
数据服务,Auto ARIMA,19.931490751531445,10.202809130081828,23.54870672207153,29.988456610328353
深度学习,SimpleExponentialSmoothing,5.861740411624086,3.160000039935112,14.901245583672834,17.78294477383158
自然语言处理,SimpleExponentialSmoothing,0.4,0.08,2.6666666666666665,4.0
大数据分析,ARIMA,18.20988742414406,16.0,7.321877678413018,7.648531577189489
